,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-duun1242-1-one-1,numerals-duun1242-1,Chan2019,one,1,sɔʔi,soi,,false,1,,
2,numerals-duun1242-1-two-1,numerals-duun1242-1,Chan2019,two,2,fíʔi,fii,,false,2,,
3,numerals-duun1242-1-three-1,numerals-duun1242-1,Chan2019,three,3,ʒiʔi,zii,,false,3,,
4,numerals-duun1242-1-four-1,numerals-duun1242-1,Chan2019,four,4,naai,naai,,false,4,,
5,numerals-duun1242-1-five-1,numerals-duun1242-1,Chan2019,five,5,nũ,nu,,false,5,,
6,numerals-duun1242-1-six-1,numerals-duun1242-1,Chan2019,six,6,tũmɛ̃,tume,,false,6,,
7,numerals-duun1242-1-seven-1,numerals-duun1242-1,Chan2019,seven,7,ɲɛ̃ːnũ,nenu,,false,7,,2’+5
8,numerals-duun1242-1-eight-1,numerals-duun1242-1,Chan2019,eight,8,ŋaai,ngaai,,false,[4]+4’,4’=possibly sound change,
9,numerals-duun1242-1-nine-1,numerals-duun1242-1,Chan2019,nine,9,kleːlo,klelo,,false,9,likely -1,
10,numerals-duun1242-1-ten-1,numerals-duun1242-1,Chan2019,ten,10,ceũ,ceu,,false,10,,
11,numerals-duun1242-1-eleven-1,numerals-duun1242-1,Chan2019,eleven,11,ceu ko sɔʔi,ceukosoi,,false,10+{and}1,,
12,numerals-duun1242-1-twelve-1,numerals-duun1242-1,Chan2019,twelve,12,ceu ko fíʔi,ceukofii,,false,10+{and}2,,
13,numerals-duun1242-1-thirteen-1,numerals-duun1242-1,Chan2019,thirteen,13,ceu ko ʒiʔi,ceukozii,,false,10+{and}3,,
14,numerals-duun1242-1-fourteen-1,numerals-duun1242-1,Chan2019,fourteen,14,ceu ko naai,ceukonaai,,false,10+{and}4,,
15,numerals-duun1242-1-fifteen-1,numerals-duun1242-1,Chan2019,fifteen,15,ceu ko nũ,ceukonu,,false,10+{and}5,,
16,numerals-duun1242-1-sixteen-1,numerals-duun1242-1,Chan2019,sixteen,16,ceu ko tũmɛ̃,ceukotume,,false,10+{and}6,,
17,numerals-duun1242-1-seventeen-1,numerals-duun1242-1,Chan2019,seventeen,17,ceu ko ɲɛ̃ːnũ,ceukonenu,,false,10+{and}7,,
18,numerals-duun1242-1-eighteen-1,numerals-duun1242-1,Chan2019,eighteen,18,ceu ko ŋaai,ceukongaai,,false,10+{and}[4]+4’,,
19,numerals-duun1242-1-nineteen-1,numerals-duun1242-1,Chan2019,nineteen,19,ceu ko kleːlo,ceukoklelo,,false,10+{and}9,,
20,numerals-duun1242-1-twenty-1,numerals-duun1242-1,Chan2019,twenty,20,muʔɔ,muo,,false,20,,
21,numerals-duun1242-1-twenty-2,numerals-duun1242-1,Chan2019,twenty,20,fɛ̃ː,fe,,false,20’,=c>f eu>e,
22,numerals-duun1242-1-twentyone-1,numerals-duun1242-1,Chan2019,twentyone,21,fɛ̃ː fíʔi ko sɔʔi,fefiikosoi,,false,20'+{and}1,,
23,numerals-duun1242-1-twentytwo-1,numerals-duun1242-1,Chan2019,twentytwo,22,fɛ̃ː fíʔi ko fíʔi,fefiikofii,,false,20'+{and}2,,
24,numerals-duun1242-1-twentythree-1,numerals-duun1242-1,Chan2019,twentythree,23,fɛ̃ː fíʔi ko ʒiʔi,fefiikozii,,false,20'+{and}3,,
25,numerals-duun1242-1-twentyfour-1,numerals-duun1242-1,Chan2019,twentyfour,24,fɛ̃ː fíʔi ko naai,fefiikonaai,,false,20'+{and}4,,
26,numerals-duun1242-1-twentyfive-1,numerals-duun1242-1,Chan2019,twentyfive,25,fɛ̃ː fíʔi ko nũ,fefiikonu,,false,20'+{and}5,,
27,numerals-duun1242-1-twentysix-1,numerals-duun1242-1,Chan2019,twentysix,26,fɛ̃ː fíʔi ko ɲɛ̃ːnũ,fefiikonenu,,false,20'+{and}6,,
28,numerals-duun1242-1-twentyseven-1,numerals-duun1242-1,Chan2019,twentyseven,27,fɛ̃ː fíʔi ko ɲɛ̃ːnũ,fefiikonenu,,false,20'+{and}7,,
29,numerals-duun1242-1-twentyeight-1,numerals-duun1242-1,Chan2019,twentyeight,28,fɛ̃ː fíʔi ko ŋaai,fefiikongaai,,false,20'+{and}[4]+4’,,
30,numerals-duun1242-1-twentynine-1,numerals-duun1242-1,Chan2019,twentynine,29,fɛ̃ː fíʔi ko kleːlo,fefiikoklelo,,false,20'+{and}9,,
