,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-sara1322-1-one-1,numerals-sara1322-1,Chan2019,one,1,ɗíyá,diya,,false,1,,
2,numerals-sara1322-1-two-1,numerals-sara1322-1,Chan2019,two,2,jó,jo,,false,2,,
3,numerals-sara1322-1-three-1,numerals-sara1322-1,Chan2019,three,3,mùtɔ́,muto,,false,3,,
4,numerals-sara1322-1-four-1,numerals-sara1322-1,Chan2019,four,4,sɔ̀ɔ́,soo,,false,4,,
5,numerals-sara1322-1-five-1,numerals-sara1322-1,Chan2019,five,5,mìí,mii,,false,5,,
6,numerals-sara1322-1-six-1,numerals-sara1322-1,Chan2019,six,6,mìi kàlí,miikali,( 5 + 1 ),false,5+1',,
7,numerals-sara1322-1-seven-1,numerals-sara1322-1,Chan2019,seven,7,mìí já jó,miijajo,( 5 + 2 ),false,5+2,,
8,numerals-sara1322-1-eight-1,numerals-sara1322-1,Chan2019,eight,8,sàlānjā,salanja,,false,8,,
9,numerals-sara1322-1-nine-1,numerals-sara1322-1,Chan2019,nine,9,dɔ̀ kám,dokam,,false,"10-1""",,
10,numerals-sara1322-1-ten-1,numerals-sara1322-1,Chan2019,ten,10,dɔ̀ɡɔ̀,dogo,,false,10,,
11,numerals-sara1322-1-ten-2,numerals-sara1322-1,Chan2019,ten,10,kùtù,kutu,,false,10’,,
12,numerals-sara1322-1-eleven-1,numerals-sara1322-1,Chan2019,eleven,11,dɔ̀ɡɔ̀-ɡìdì-ɗíyá,dogogididiya,,false,10+{LIG}1,,
13,numerals-sara1322-1-twelve-1,numerals-sara1322-1,Chan2019,twelve,12,dɔ̀ɡɔ̀-ɡìdì-jōó,dogogidijoo,,false,10+{LIG}2,,
14,numerals-sara1322-1-thirteen-1,numerals-sara1322-1,Chan2019,thirteen,13,dɔ̀ɡɔ̀-ɡìdì-mùtɔ́,dogogidimuto,,false,10+{LIG}3,,
15,numerals-sara1322-1-fourteen-1,numerals-sara1322-1,Chan2019,fourteen,14,dɔ̀ɡɔ̀-ɡìdì-sɔ̀ɔ́,dogogidisoo,,false,10+{LIG}4,,
16,numerals-sara1322-1-fifteen-1,numerals-sara1322-1,Chan2019,fifteen,15,dɔ̀ɡɔ̀-ɡìdì-mìí,dogogidimii,,false,10+{LIG}5,,
17,numerals-sara1322-1-sixteen-1,numerals-sara1322-1,Chan2019,sixteen,16,dɔ̀ɡɔ̀-ɡìdì-mìi kàlí,dogogidimiikali,,false,10+{LIG}5+1',,
18,numerals-sara1322-1-seventeen-1,numerals-sara1322-1,Chan2019,seventeen,17,dɔ̀ɡɔ̀-ɡìdì-mìí já jó,dogogidimiijajo,,false,10+{LIG}5+2,,
19,numerals-sara1322-1-eighteen-1,numerals-sara1322-1,Chan2019,eighteen,18,dɔ̀ɡɔ̀-ɡìdì-sàlānjā,dogogidisalanja,,false,10+{LIG}8,,
20,numerals-sara1322-1-nineteen-1,numerals-sara1322-1,Chan2019,nineteen,19,dɔ̀ɡɔ̀-ɡìdì-dɔ̀ kám,dogogididokam,,false,"10+{LIG}10-1""",,
21,numerals-sara1322-1-twenty-1,numerals-sara1322-1,Chan2019,twenty,20,dɔ̀ɡɔ̀-jó,dogojo,,false,10·2,,
22,numerals-sara1322-1-twentyone-1,numerals-sara1322-1,Chan2019,twentyone,21,dɔ̀ɡɔ̀-jó-ɡìdì-,dogojogidi,,false,(10·2)+[1],,
23,numerals-sara1322-1-twentytwo-1,numerals-sara1322-1,Chan2019,twentytwo,22,dɔ̀ɡɔ̀-jó-ɡìdì-jó,dogojogidijo,,false,(10·2)+2,,
24,numerals-sara1322-1-twentythree-1,numerals-sara1322-1,Chan2019,twentythree,23,dɔ̀ɡɔ̀-jó-ɡìdì-mùtɔ́,dogojogidimuto,,false,(10·2)+3,,
25,numerals-sara1322-1-twentyfour-1,numerals-sara1322-1,Chan2019,twentyfour,24,dɔ̀ɡɔ̀-jó-ɡìdì-sɔ̀ɔ́,dogojogidisoo,,false,(10·2)+4,,
26,numerals-sara1322-1-twentyfive-1,numerals-sara1322-1,Chan2019,twentyfive,25,dɔ̀ɡɔ̀-jó-ɡìdì-mìí,dogojogidimii,,false,(10·2)+5,,
27,numerals-sara1322-1-twentysix-1,numerals-sara1322-1,Chan2019,twentysix,26,dɔ̀ɡɔ̀-jó-ɡìdì-mìí já jó,dogojogidimiijajo,,false,(10·2)+5+1',,
28,numerals-sara1322-1-twentyseven-1,numerals-sara1322-1,Chan2019,twentyseven,27,dɔ̀ɡɔ̀-jó-ɡìdì-mìi kàlí,dogojogidimiikali,,false,(10·2)+5+2,,
29,numerals-sara1322-1-twentyeight-1,numerals-sara1322-1,Chan2019,twentyeight,28,dɔ̀ɡɔ̀-jó-ɡìdì-sàlānjā,dogojogidisalanja,,false,(10·2)+8,,
30,numerals-sara1322-1-twentynine-1,numerals-sara1322-1,Chan2019,twentynine,29,dɔ̀ɡɔ̀-jó-ɡìdì-dɔ̀ kám,dogojogididokam,,false,(10·2)+10-1’,,
31,numerals-sara1322-1-thirty-1,numerals-sara1322-1,Chan2019,thirty,30,dɔ̀ɡɔ̀-mùtɔ́,dogomuto,,false,10·3,,
32,numerals-sara1322-1-forty-1,numerals-sara1322-1,Chan2019,forty,40,dɔ̀ɡɔ̀-sɔ̀ɔ́,dogosoo,,false,10·4,,
33,numerals-sara1322-1-fifty-1,numerals-sara1322-1,Chan2019,fifty,50,dɔ̀ɡɔ̀-mìí,dogomii,,false,10·5,,
34,numerals-sara1322-1-sixty-1,numerals-sara1322-1,Chan2019,sixty,60,dɔ̀ɡɔ̀-mìi kàlí,dogomiikali,,false,10·(5+1’),,
35,numerals-sara1322-1-seventy-1,numerals-sara1322-1,Chan2019,seventy,70,dɔ̀ɡɔ̀-mìí já jó,dogomiijajo,,false,10·(5+2),,
36,numerals-sara1322-1-eighty-1,numerals-sara1322-1,Chan2019,eighty,80,dɔ̀ɡɔ̀-sàlānjā,dogosalanja,,false,10·8,,
37,numerals-sara1322-1-ninety-1,numerals-sara1322-1,Chan2019,ninety,90,dɔ̀ɡɔ̀-dɔ̀ kám,dogodokam,,false,10·(10-1’),,
38,numerals-sara1322-1-hundred-1,numerals-sara1322-1,Chan2019,hundred,100,lò dèbē ɗiyá,lodebediya,,false,100·1,,
39,numerals-sara1322-1-twohundred-1,numerals-sara1322-1,Chan2019,twohundred,200,lò dèbē jó,lodebejo,,false,100·2,,
40,numerals-sara1322-1-thousand-1,numerals-sara1322-1,Chan2019,thousand,1000,álìf,alif,( < Arabic),true,1000,,
41,numerals-sara1322-1-twothousand-1,numerals-sara1322-1,Chan2019,twothousand,2000,álìf jó,alifjo,,false,1000·2,,
