ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Comment_glosser;Alternate_gloss
numerals-abur1244-1-one-1;numerals-abur1244-1;Chan2019;one;1;ònín;onin;;FALSE;1;;
numerals-abur1244-1-two-1;numerals-abur1244-1;Chan2019;two;2;ìwàl;iwal;;FALSE;2;;
numerals-abur1244-1-three-1;numerals-abur1244-1;Chan2019;three;3;ìsàr;isar;;FALSE;3;;
numerals-abur1244-1-four-1;numerals-abur1244-1;Chan2019;four;4;ìɲə̀;ina;;FALSE;4;;
numerals-abur1244-1-five-1;numerals-abur1244-1;Chan2019;five;5;òɣò;ogo;;FALSE;5;;
numerals-abur1244-1-six-1;numerals-abur1244-1;Chan2019;six;6;òdìn;odin;;FALSE;6;;
numerals-abur1244-1-seven-1;numerals-abur1244-1;Chan2019;seven;7;òɖùə̀l;odual;;FALSE;7;CHECK;
numerals-abur1244-1-eight-1;numerals-abur1244-1;Chan2019;eight;8;ɔ̀βàβàɲâ;obabana;;FALSE;8;;
numerals-abur1244-1-nine-1;numerals-abur1244-1;Chan2019;nine;9;ésùɣó;esugo;;FALSE;9;;
numerals-abur1244-1-ten-1;numerals-abur1244-1;Chan2019;ten;10;ɖìòβ;diob;;FALSE;10;;
numerals-abur1244-1-eleven-1;numerals-abur1244-1;Chan2019;eleven;11;ɖìòβnə̀ònín;diobnaonin;[10+1];FALSE;10+{and}1;;
numerals-abur1244-1-twelve-1;numerals-abur1244-1;Chan2019;twelve;12;ɖìòβnə̀ìwàl;diobnaiwal;[10+2];FALSE;10+{and}2;;
numerals-abur1244-1-thirteen-1;numerals-abur1244-1;Chan2019;thirteen;13;ɖìòβnə̀ìsàr;diobnaisar;[10+3];FALSE;10+{and}3;;
numerals-abur1244-1-fourteen-1;numerals-abur1244-1;Chan2019;fourteen;14;ɖìòβnə̀ìɲə̀;diobnaina;[10+4];FALSE;10+{and}4;;
numerals-abur1244-1-fifteen-1;numerals-abur1244-1;Chan2019;fifteen;15;ɖìòβnə̀òɣò;diobnaogo;[10+5];FALSE;10+{and}5;;
numerals-abur1244-1-sixteen-1;numerals-abur1244-1;Chan2019;sixteen;16;ɖìòβnə̀òdìn;diobnaodin;[10+6];FALSE;10+{and}6;;
numerals-abur1244-1-seventeen-1;numerals-abur1244-1;Chan2019;seventeen;17;ɖìòβnə̀òɖùə̀l;diobnaodual;[10+7];FALSE;10+{and}7;;
numerals-abur1244-1-eighteen-1;numerals-abur1244-1;Chan2019;eighteen;18;ɖìòβnə̀ɔ̀βàβàɲâ;diobnaobabana;[10+8];FALSE;10+{and}8;;
numerals-abur1244-1-nineteen-1;numerals-abur1244-1;Chan2019;nineteen;19;ɖìòβnə̀ésùɣó;diobnaesugo;[10+9];FALSE;10+{and}9;;
numerals-abur1244-1-twenty-1;numerals-abur1244-1;Chan2019;twenty;20;ə̀ɖùsúβ;adusub;;FALSE;20;10·2;
numerals-abur1244-1-twentyone-1;numerals-abur1244-1;Chan2019;twentyone;21;ə̀ɖùsúβnə̀ònín;adusubnaonin;[20+1];FALSE;20+{and}1;;
numerals-abur1244-1-twentytwo-1;numerals-abur1244-1;Chan2019;twentytwo;22;ə̀ɖùsúβnə̀ìwàl;adusubnaiwal;[20+2];FALSE;20+{and}2;;
numerals-abur1244-1-twentythree-1;numerals-abur1244-1;Chan2019;twentythree;23;ə̀ɖùsúβnə̀ìsàr;adusubnaisar;[20+3];FALSE;20+{and}3;;
numerals-abur1244-1-twentyfour-1;numerals-abur1244-1;Chan2019;twentyfour;24;ə̀ɖùsúβnə̀ìɲə̀;adusubnaina;[20+4];FALSE;20+{and}4;;
numerals-abur1244-1-twentyfive-1;numerals-abur1244-1;Chan2019;twentyfive;25;ə̀ɖùsúβnə̀òɣò;adusubnaogo;[20+5];FALSE;20+{and}5;;
numerals-abur1244-1-twentysix-1;numerals-abur1244-1;Chan2019;twentysix;26;ə̀ɖùsúβnə̀òdìn;adusubnaodin;[20+6];FALSE;20+{and}6;;
numerals-abur1244-1-twentyseven-1;numerals-abur1244-1;Chan2019;twentyseven;27;ə̀ɖùsúβnə̀òɖùə̀l;adusubnaodual;[20+7];FALSE;20+{and}7;;
numerals-abur1244-1-twentyeight-1;numerals-abur1244-1;Chan2019;twentyeight;28;ə̀ɖùsúβnə̀ɔ̀βàβàɲâ;adusubnaobabana;[20+8];FALSE;20+{and}8;;
numerals-abur1244-1-twentynine-1;numerals-abur1244-1;Chan2019;twentynine;29;ə̀ɖùsúβnə̀ésùɣó;adusubnaesugo;[20+9];FALSE;20+{and}9;;
numerals-abur1244-1-thirty-1;numerals-abur1244-1;Chan2019;thirty;30;ə̀ɖùsúβɖìòβ;adusubdiob;[20+10];FALSE;20+10;;
numerals-abur1244-1-forty-1;numerals-abur1244-1;Chan2019;forty;40;èrúbə̀l;erubal;;FALSE;20·2';;
numerals-abur1244-1-fifty-1;numerals-abur1244-1;Chan2019;fifty;50;èrúbə̀lnə̀ɖìòβ;erubalnadiob;[40+10];FALSE;(20·2')+{and}10;;
numerals-abur1244-1-fifty-2;numerals-abur1244-1;Chan2019;fifty;50;èrúbə̀lnùɖìòβ;erubalnudiob;[40+10];FALSE;(20·2')+{and}10;;
numerals-abur1244-1-sixty-1;numerals-abur1244-1;Chan2019;sixty;60;ɛ̀ráβàraβ;erabarab;;FALSE;20·3;;
numerals-abur1244-1-seventy-1;numerals-abur1244-1;Chan2019;seventy;70;ɛ̀ráβàraβnə̀ɖìòβ;erabarabnadiob;[60+10];FALSE;(20·3)+10;;
numerals-abur1244-1-seventy-2;numerals-abur1244-1;Chan2019;seventy;70;ɛ̀ráβàraβnùɖìòβ;erabarabnudiob;[60+10];FALSE;(20·3)+10;;
numerals-abur1244-1-eighty-1;numerals-abur1244-1;Chan2019;eighty;80;ìwàlɛ̀wálá;iwalewala;;FALSE;2·40;;
numerals-abur1244-1-ninety-1;numerals-abur1244-1;Chan2019;ninety;90;ìwàlɛ̀wálánə̀ɖìòβ;iwalewalanadiob;[80+10];FALSE;(2·40)+10;;
