ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Comment_glosser;Alternate_gloss
numerals-kaba1281-1-one-1;numerals-kaba1281-1;Chan2019;one;1;kaára;kaara;;FALSE;1;;
numerals-kaba1281-1-two-1;numerals-kaba1281-1;Chan2019;two;2;jooà;jooa;;FALSE;2;;
numerals-kaba1281-1-three-1;numerals-kaba1281-1;Chan2019;three;3;moètaà;moetaa;;FALSE;3;;
numerals-kaba1281-1-four-1;numerals-kaba1281-1;Chan2019;four;4;sóà;soa;;FALSE;4;;
numerals-kaba1281-1-five-1;numerals-kaba1281-1;Chan2019;five;5;mïù;miu;;FALSE;5;;
numerals-kaba1281-1-six-1;numerals-kaba1281-1;Chan2019;six;6;mïìsaàn;miisaan;;FALSE;6;;
numerals-kaba1281-1-seven-1;numerals-kaba1281-1;Chan2019;seven;7;sirïù;siriu;;FALSE;7;;
numerals-kaba1281-1-eight-1;numerals-kaba1281-1;Chan2019;eight;8;jijooà;jijooa;( 4 + 4 );FALSE;4’+4;;
numerals-kaba1281-1-nine-1;numerals-kaba1281-1;Chan2019;nine;9;jikaàra;jikaara;( 10 - 1);FALSE;10’-1;;
numerals-kaba1281-1-ten-1;numerals-kaba1281-1;Chan2019;ten;10;dóèkuè;doekue;;FALSE;10;;
numerals-kaba1281-1-eleven-1;numerals-kaba1281-1;Chan2019;eleven;11;dóèkuè ɡeèreà kaára;doekuegeereakaara;;FALSE;10+{LIG}1;;
numerals-kaba1281-1-twelve-1;numerals-kaba1281-1;Chan2019;twelve;12;dóèkuè ɡeèreà jooà;doekuegeereajooa;;FALSE;10+{LIG}2;;
numerals-kaba1281-1-thirteen-1;numerals-kaba1281-1;Chan2019;thirteen;13;dóèkuè ɡeèreà moètaà;doekuegeereamoetaa;;FALSE;10+{LIG}3;;
numerals-kaba1281-1-fourteen-1;numerals-kaba1281-1;Chan2019;fourteen;14;dóèkuè ɡeèreà sóà;doekuegeereasoa;;FALSE;10+{LIG}4;;
numerals-kaba1281-1-fifteen-1;numerals-kaba1281-1;Chan2019;fifteen;15;dóèkuè ɡeèreà mïù;doekuegeereamiu;;FALSE;10+{LIG}5;;
numerals-kaba1281-1-sixteen-1;numerals-kaba1281-1;Chan2019;sixteen;16;dóèkuè ɡeèreà mïìsaàn;doekuegeereamiisaan;;FALSE;10+{LIG}6;;
numerals-kaba1281-1-seventeen-1;numerals-kaba1281-1;Chan2019;seventeen;17;dóèkuè ɡeèreà sirïù;doekuegeereasiriu;;FALSE;10+{LIG}7;;
