ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Comment_glosser;Alternate_gloss
numerals-moss1236-1-one-1;numerals-moss1236-1;Chan2019;one;1;yé;ye;;FALSE;1;;
numerals-moss1236-1-one-2;numerals-moss1236-1;Chan2019;one;1;yémbre;yembre;;FALSE;1;;
numerals-moss1236-1-two-1;numerals-moss1236-1;Chan2019;two;2;yì;yi;;FALSE;2;;
numerals-moss1236-1-two-2;numerals-moss1236-1;Chan2019;two;2;yìibú;yiibu;;FALSE;2;;
numerals-moss1236-1-three-1;numerals-moss1236-1;Chan2019;three;3;tã̀;ta;;FALSE;3;;
numerals-moss1236-1-three-2;numerals-moss1236-1;Chan2019;three;3;tã́abo;taabo;;FALSE;3;;
numerals-moss1236-1-four-1;numerals-moss1236-1;Chan2019;four;4;náase;naase;;FALSE;4;;
numerals-moss1236-1-five-1;numerals-moss1236-1;Chan2019;five;5;nú;nu;;FALSE;5;;
numerals-moss1236-1-six-1;numerals-moss1236-1;Chan2019;six;6;yòobé;yoobe;;FALSE;6;;
numerals-moss1236-1-seven-1;numerals-moss1236-1;Chan2019;seven;7;yòpoé;yopoe;;FALSE;7;;
numerals-moss1236-1-eight-1;numerals-moss1236-1;Chan2019;eight;8;níi;nii;;FALSE;8;;
numerals-moss1236-1-nine-1;numerals-moss1236-1;Chan2019;nine;9;wɛ́;we;;FALSE;9;;
numerals-moss1236-1-ten-1;numerals-moss1236-1;Chan2019;ten;10;píiɡa;piiga;;FALSE;10;;
numerals-moss1236-1-eleven-1;numerals-moss1236-1;Chan2019;eleven;11;píiɡ la a yé;piiglaaye;;FALSE;10+{LIG}1;;
numerals-moss1236-1-eleven-2;numerals-moss1236-1;Chan2019;eleven;11;píiɡ la a yémbre;yembre;;FALSE;10+{LIG}1;;
numerals-moss1236-1-twelve-1;numerals-moss1236-1;Chan2019;twelve;12;píiɡ la a yí;piiglaayi;;FALSE;10+{LIG}2;;
numerals-moss1236-1-twelve-2;numerals-moss1236-1;Chan2019;twelve;12;píiɡ la a yíibu;yiibu;;FALSE;10+{LIG}2;edited;
numerals-moss1236-1-thirteen-1;numerals-moss1236-1;Chan2019;thirteen;13;píiɡ la a tã́;piiglaata;;FALSE;10+{LIG}3;;
numerals-moss1236-1-thirteen-2;numerals-moss1236-1;Chan2019;thirteen;13;píiɡ la a tã́abo;taabo;;FALSE;10+{LIG}3;edited;
numerals-moss1236-1-fourteen-1;numerals-moss1236-1;Chan2019;fourteen;14;píiɡ la a náase;piiglaanaase;;FALSE;10+{LIG}4;;
numerals-moss1236-1-fifteen-1;numerals-moss1236-1;Chan2019;fifteen;15;píiɡ la a nú;piiglaanu;;FALSE;10+{LIG}5;;
numerals-moss1236-1-sixteen-1;numerals-moss1236-1;Chan2019;sixteen;16;píiɡ la a yóobe;piiglaayoobe;;FALSE;10+{LIG}6;;
numerals-moss1236-1-seventeen-1;numerals-moss1236-1;Chan2019;seventeen;17;píiɡ la a yópoe;piiglaayopoe;;FALSE;10+{LIG}7;;
numerals-moss1236-1-eighteen-1;numerals-moss1236-1;Chan2019;eighteen;18;píiɡ la a níi;piiglaanii;;FALSE;10+{LIG}8;;
numerals-moss1236-1-nineteen-1;numerals-moss1236-1;Chan2019;nineteen;19;píiɡ la a wɛ́;piiglaawe;;FALSE;10+{LIG}9;;
numerals-moss1236-1-twenty-1;numerals-moss1236-1;Chan2019;twenty;20;písì;pisi;;FALSE;10’·2’;;
numerals-moss1236-1-twenty-2;numerals-moss1236-1;Chan2019;twenty;20;pís-yì;pisyi;;FALSE;10’·2;;
numerals-moss1236-1-twentyone-1;numerals-moss1236-1;Chan2019;twentyone;21;písì la a yé;pisilaaye;;FALSE;(10’·2)+{LIG}1;;
