;ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Comment_glosser;Alternate_gloss
1;numerals-kara1481-1-one-1;numerals-kara1481-1;Chan2019;one;1;shimwi;shimwi;;FALSE;1;;
2;numerals-kara1481-1-two-1;numerals-kara1481-1;Chan2019;two;2;shibili;shibili;;FALSE;2;;
3;numerals-kara1481-1-three-1;numerals-kara1481-1;Chan2019;three;3;shitatu;shitatu;;FALSE;3;;
4;numerals-kara1481-1-four-1;numerals-kara1481-1;Chan2019;four;4;shinna;shinna;;FALSE;4;;
5;numerals-kara1481-1-five-1;numerals-kara1481-1;Chan2019;five;5;shitanu;shitanu;;FALSE;5;;
6;numerals-kara1481-1-six-1;numerals-kara1481-1;Chan2019;six;6;shimɡaɡa;shimgaga;;FALSE;6;;
7;numerals-kara1481-1-seven-1;numerals-kara1481-1;Chan2019;seven;7;shimusanju;shimusanju;;FALSE;7;;
8;numerals-kara1481-1-eight-1;numerals-kara1481-1;Chan2019;eight;8;shimunana;shimunana;;FALSE;8;;
9;numerals-kara1481-1-nine-1;numerals-kara1481-1;Chan2019;nine;9;shimwenda;shimwenda;;FALSE;9;;
10;numerals-kara1481-1-ten-1;numerals-kara1481-1;Chan2019;ten;10;shikumi;shikumi;;FALSE;10;;
11;numerals-kara1481-1-eleven-1;numerals-kara1481-1;Chan2019;eleven;11;shikumi na shimwi;shikuminashimwi;;FALSE;10+{and}1;;
12;numerals-kara1481-1-twelve-1;numerals-kara1481-1;Chan2019;twelve;12;shikumi na shibili;shikuminashibili;;FALSE;10+{and}2;;
13;numerals-kara1481-1-thirteen-1;numerals-kara1481-1;Chan2019;thirteen;13;shikumi na shitatu;shikuminashitatu;;FALSE;10+{and}3;;
14;numerals-kara1481-1-fourteen-1;numerals-kara1481-1;Chan2019;fourteen;14;shikumi na shinna;shikuminashinna;;FALSE;10+{and}4;;
15;numerals-kara1481-1-fifteen-1;numerals-kara1481-1;Chan2019;fifteen;15;shikumi na shitanu;shikuminashitanu;;FALSE;10+{and}5;;
16;numerals-kara1481-1-sixteen-1;numerals-kara1481-1;Chan2019;sixteen;16;shikumi na mɡaɡa;shikuminamgaga;;FALSE;10+{and}6;;
17;numerals-kara1481-1-seventeen-1;numerals-kara1481-1;Chan2019;seventeen;17;shikumi na musanju;shikuminamusanju;;FALSE;10+{and}7;;
18;numerals-kara1481-1-eighteen-1;numerals-kara1481-1;Chan2019;eighteen;18;shikumi na mnana;shikuminamnana;;FALSE;10+{and}8;;
19;numerals-kara1481-1-nineteen-1;numerals-kara1481-1;Chan2019;nineteen;19;shikumi na mwenda;shikuminamwenda;;FALSE;10+{and}9;;
20;numerals-kara1481-1-twenty-1;numerals-kara1481-1;Chan2019;twenty;20;makumi ɡabili;makumigabili;;FALSE;10·2;;
21;numerals-kara1481-1-twentyone-1;numerals-kara1481-1;Chan2019;twentyone;21;makumi ɡabili na shimwi;makumigabilinashimwi;;FALSE;(10·2)+{and}1;;
22;numerals-kara1481-1-twentytwo-1;numerals-kara1481-1;Chan2019;twentytwo;22;makumi ɡabili na shibili;makumigabilinashibili;;FALSE;(10·2)+{and}2;;
23;numerals-kara1481-1-twentythree-1;numerals-kara1481-1;Chan2019;twentythree;23;makumi ɡabili na shitatu;makumigabilinashitatu;;FALSE;(10·2)+{and}3;;
24;numerals-kara1481-1-twentyfour-1;numerals-kara1481-1;Chan2019;twentyfour;24;makumi ɡabili na shinna;makumigabilinashinna;;FALSE;(10·2)+{and}4;;
25;numerals-kara1481-1-twentyfive-1;numerals-kara1481-1;Chan2019;twentyfive;25;makumi ɡabili na shitanu;makumigabilinashitanu;;FALSE;(10·2)+{and}5;;
26;numerals-kara1481-1-twentysix-1;numerals-kara1481-1;Chan2019;twentysix;26;makumi ɡabili na mɡaɡa;makumigabilinamgaga;;FALSE;(10·2)+{and}6;;
27;numerals-kara1481-1-twentyseven-1;numerals-kara1481-1;Chan2019;twentyseven;27;makumi ɡabili na musanju;makumigabilinamusanju;;FALSE;(10·2)+{and}7;;
28;numerals-kara1481-1-twentyeight-1;numerals-kara1481-1;Chan2019;twentyeight;28;makumi ɡabili na munana;makumigabilinamunana;;FALSE;(10·2)+{and}8;;
29;numerals-kara1481-1-twentynine-1;numerals-kara1481-1;Chan2019;twentynine;29;makumi ɡabili na menda;makumigabilinamenda;;FALSE;(10·2)+{and}9;;
30;numerals-kara1481-1-thirty-1;numerals-kara1481-1;Chan2019;thirty;30;makumi ɡasatu;makumigasatu;;FALSE;10·3;;
31;numerals-kara1481-1-forty-1;numerals-kara1481-1;Chan2019;forty;40;makumi ɡana;makumigana;;FALSE;10·4;;
32;numerals-kara1481-1-fifty-1;numerals-kara1481-1;Chan2019;fifty;50;makumi ɡatanu;makumigatanu;;FALSE;10·5;;
33;numerals-kara1481-1-sixty-1;numerals-kara1481-1;Chan2019;sixty;60;makumi mɡaɡa;makumimgaga;;FALSE;10·6;;
34;numerals-kara1481-1-seventy-1;numerals-kara1481-1;Chan2019;seventy;70;makumi musanju;makumimusanju;;FALSE;10·7;;
35;numerals-kara1481-1-eighty-1;numerals-kara1481-1;Chan2019;eighty;80;makumi mnana;makumimnana;;FALSE;10·8;;
36;numerals-kara1481-1-ninety-1;numerals-kara1481-1;Chan2019;ninety;90;makumi mwenda;makumimwenda;;FALSE;10·9;;
37;numerals-kara1481-1-hundred-1;numerals-kara1481-1;Chan2019;hundred;100;iɡana;igana;;FALSE;100;;
38;numerals-kara1481-1-twohundred-1;numerals-kara1481-1;Chan2019;twohundred;200;maɡana ɡabili;maganagabili;;FALSE;100·2;;
39;numerals-kara1481-1-thousand-1;numerals-kara1481-1;Chan2019;thousand;1000;ishiˈiumbi;ishiiumbi;;FALSE;1000;;
40;numerals-kara1481-1-twothousand-1;numerals-kara1481-1;Chan2019;twothousand;2000;shiumbi shibili;shiumbishibili;;FALSE;1000·2;;
