ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
numerals-kono1268-1-one-1,numerals-kono1268-1,Chan2019,one,1,ncélen,ncelen,,FALSE,1,,
numerals-kono1268-1-one-2,numerals-kono1268-1,Chan2019,one,1,ncéle,ncele,,FALSE,1’,,
numerals-kono1268-1-one-3,numerals-kono1268-1,Chan2019,one,1,dɔ́ndo,dondo,,FALSE,"1""",,
numerals-kono1268-1-two-1,numerals-kono1268-1,Chan2019,two,2,fèa,fea,,FALSE,2,,
numerals-kono1268-1-three-1,numerals-kono1268-1,Chan2019,three,3,sàwa,sawa,,FALSE,3,,
numerals-kono1268-1-four-1,numerals-kono1268-1,Chan2019,four,4,náani,naani,,FALSE,4,,
numerals-kono1268-1-five-1,numerals-kono1268-1,Chan2019,five,5,dúʔu,duu,,FALSE,5,,
numerals-kono1268-1-six-1,numerals-kono1268-1,Chan2019,six,6,wɔ́ɔlɔ,woolo,,FALSE,"5'+1""'","5’=d>w, uu>oo?, 1’’’=d>l - segment reduction?",
numerals-kono1268-1-seven-1,numerals-kono1268-1,Chan2019,seven,7,wɔ́nfèa,wonfea,,FALSE,5”+2,5”=o/u>n,
numerals-kono1268-1-seven-2,numerals-kono1268-1,Chan2019,seven,7,ɔ́ɱfèa,omfea,,FALSE,5”'+2,"5”’=o/u/n>m, w/d>… lost!",
numerals-kono1268-1-eight-1,numerals-kono1268-1,Chan2019,eight,8,séi,sei,,FALSE,8,,
numerals-kono1268-1-eight-2,numerals-kono1268-1,Chan2019,eight,8,séin,sein,,FALSE,8',8’=…>n final nasal,
numerals-kono1268-1-nine-1,numerals-kono1268-1,Chan2019,nine,9,kɔ̀nɔ́ntɔn,kononton,,FALSE,9,,
numerals-kono1268-1-ten-1,numerals-kono1268-1,Chan2019,ten,10,tán,tan,,FALSE,10,,
numerals-kono1268-1-eleven-1,numerals-kono1268-1,Chan2019,eleven,11,tán kuma dɔ́ndo,tankumadondo,,FALSE,10+{+}1,,
numerals-kono1268-1-twelve-1,numerals-kono1268-1,Chan2019,twelve,12,tán kuma fèa,tankumafea,,FALSE,10+{+}2,,
numerals-kono1268-1-thirteen-1,numerals-kono1268-1,Chan2019,thirteen,13,tán kuma sàwa,tankumasawa,,FALSE,10+{+}3,,
numerals-kono1268-1-fourteen-1,numerals-kono1268-1,Chan2019,fourteen,14,tán kuma náani,tankumanaani,,FALSE,10+{+}4,,
numerals-kono1268-1-fifteen-1,numerals-kono1268-1,Chan2019,fifteen,15,tán kuma dúʔu,tankumaduu,,FALSE,10+{+}5,,
numerals-kono1268-1-sixteen-1,numerals-kono1268-1,Chan2019,sixteen,16,tán kuma wɔ́ɔlɔ,tankumawoolo,,FALSE,"10+{+}5’+1""'",,
numerals-kono1268-1-seventeen-1,numerals-kono1268-1,Chan2019,seventeen,17,tán kuma wɔ́nfèa,tankumawonfea,,FALSE,"10+{+}5""+2",,
numerals-kono1268-1-eighteen-1,numerals-kono1268-1,Chan2019,eighteen,18,tán kuma séi,tankumasei,,FALSE,10+{+}8,,
numerals-kono1268-1-eighteen-2,numerals-kono1268-1,Chan2019,eighteen,18,tán kuma sein,sein,,FALSE,10+{+}8’,,
numerals-kono1268-1-nineteen-1,numerals-kono1268-1,Chan2019,nineteen,19,tán kuma kɔ̀nɔ́ntɔn,tankumakononton,,FALSE,10+{+}9,,
numerals-kono1268-1-twenty-1,numerals-kono1268-1,Chan2019,twenty,20,bíifea,biifea,,FALSE,10'·2,10’=new form?,
numerals-kono1268-1-twentyone-1,numerals-kono1268-1,Chan2019,twentyone,21,bíifea kùma(m) dɔ́ndo,biifeakumamdondo,,FALSE,(10’·2)+{+}1,,
numerals-kono1268-1-twentytwo-1,numerals-kono1268-1,Chan2019,twentytwo,22,bíifea kùma(m) fèa,biifeakumamfea,,FALSE,(10’·2)+{+}2,,
numerals-kono1268-1-twentythree-1,numerals-kono1268-1,Chan2019,twentythree,23,bíifea kùma(m) sàwa,biifeakumamsawa,,FALSE,(10’·2)+{+}3,,
numerals-kono1268-1-twentyfour-1,numerals-kono1268-1,Chan2019,twentyfour,24,bíifea kùma(m) náani,biifeakumamnaani,,FALSE,(10’·2)+{+}4,,
numerals-kono1268-1-twentyfive-1,numerals-kono1268-1,Chan2019,twentyfive,25,bíifea kùma(m) dúʔu,biifeakumamduu,,FALSE,(10’·2)+{+}5,,
numerals-kono1268-1-twentysix-1,numerals-kono1268-1,Chan2019,twentysix,26,bíifea kùma(m) wɔ́ɔlɔ,biifeakumamwoolo,,FALSE,"(10’·2)+{+}5'+1'""",,
numerals-kono1268-1-twentyseven-1,numerals-kono1268-1,Chan2019,twentyseven,27,bíifea kùma(m) wɔ́nfèa,biifeakumamwonfea,,FALSE,"(10’·2)+{+}5""+2",,
numerals-kono1268-1-twentyeight-1,numerals-kono1268-1,Chan2019,twentyeight,28,bíifea kùma(m) séi ,biifeakumamsei,,FALSE,(10’·2)+{+}8,,
numerals-kono1268-1-twentyeight-2,numerals-kono1268-1,Chan2019,twentyeight,28,bíifea kùma(m) séin,sein,,FALSE,(10’·2)+{+}8',,
numerals-kono1268-1-twentynine-1,numerals-kono1268-1,Chan2019,twentynine,29,bíifea kùma(m) kɔ̀nɔ́ntɔn,biifeakumamkononton,,FALSE,(10’·2)+{+}9,,
numerals-kono1268-1-thirty-1,numerals-kono1268-1,Chan2019,thirty,30,bíisàwa,biisawa,,FALSE,10'·3,,
numerals-kono1268-1-forty-1,numerals-kono1268-1,Chan2019,forty,40,bíináani,biinaani,,FALSE,10’·4,,
numerals-kono1268-1-fifty-1,numerals-kono1268-1,Chan2019,fifty,50,bi-loli,biloli,,FALSE,"10'·5""'",,
numerals-kono1268-1-sixty-1,numerals-kono1268-1,Chan2019,sixty,60,bíi(w)ɔlɔ,biiwolo,,FALSE,10'·(5’+1”'),,
numerals-kono1268-1-seventy-1,numerals-kono1268-1,Chan2019,seventy,70,bi-wɔrɔnfila,biworonfila,,FALSE,"10'·(5""+2)",,
numerals-kono1268-1-eighty-1,numerals-kono1268-1,Chan2019,eighty,80,bíisei,biisei,,FALSE,10'·8,,
numerals-kono1268-1-ninety-1,numerals-kono1268-1,Chan2019,ninety,90,bi-kɔnɔnt,bikonont,,FALSE,10'·9,,
numerals-kono1268-1-hundred-1,numerals-kono1268-1,Chan2019,hundred,100,kɛmɛ,keme,,FALSE,100,,
numerals-kono1268-1-twohundred-1,numerals-kono1268-1,Chan2019,twohundred,200,kɛmɛ fèa,kemefea,,FALSE,100·2,,
numerals-kono1268-1-thousand-1,numerals-kono1268-1,Chan2019,thousand,1000,wúl,wul,,FALSE,1000,,
numerals-kono1268-1-twothousand-1,numerals-kono1268-1,Chan2019,twothousand,2000,wúl fèa,wulfea,,FALSE,1000·2,,
