,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-ling1263-1-one-1,numerals-ling1263-1,Chan2019,one,1,mɔ́kɔ́,moko,,FALSE,1,,
2,numerals-ling1263-1-two-1,numerals-ling1263-1,Chan2019,two,2,míbalɛ́,mibale,,FALSE,2,,
3,numerals-ling1263-1-three-1,numerals-ling1263-1,Chan2019,three,3,mísátu,misatu,,FALSE,3,,
4,numerals-ling1263-1-four-1,numerals-ling1263-1,Chan2019,four,4,mínɛ,mine,,FALSE,4,,
5,numerals-ling1263-1-five-1,numerals-ling1263-1,Chan2019,five,5,mítánu,mitanu,,FALSE,5,,
6,numerals-ling1263-1-six-1,numerals-ling1263-1,Chan2019,six,6,mɔtɔ́bá,motoba,,FALSE,6,,
7,numerals-ling1263-1-seven-1,numerals-ling1263-1,Chan2019,seven,7,sambɔ,sambo,,FALSE,7,,
8,numerals-ling1263-1-eight-1,numerals-ling1263-1,Chan2019,eight,8,mwambɛ,mwambe,,FALSE,8,,
9,numerals-ling1263-1-nine-1,numerals-ling1263-1,Chan2019,nine,9,libwá,libwa,,FALSE,9,,
10,numerals-ling1263-1-ten-1,numerals-ling1263-1,Chan2019,ten,10,zɔ́mi,zomi,,FALSE,10,,
11,numerals-ling1263-1-eleven-1,numerals-ling1263-1,Chan2019,eleven,11,zɔ́mi na ùmwɛ̀,zominaumwe,,FALSE,10+{and}1,,
12,numerals-ling1263-1-twelve-1,numerals-ling1263-1,Chan2019,twelve,12,zɔ́mi na míbalɛ́,zominamibale,,FALSE,10+{and}2,,
13,numerals-ling1263-1-thirteen-1,numerals-ling1263-1,Chan2019,thirteen,13,zɔ́mi na mísátu,zominamisatu,,FALSE,10+{and}3,,
14,numerals-ling1263-1-fourteen-1,numerals-ling1263-1,Chan2019,fourteen,14,zɔ́mi na mínɛ,zominamine,,FALSE,10+{and}4,,
15,numerals-ling1263-1-fifteen-1,numerals-ling1263-1,Chan2019,fifteen,15,zɔ́mi na mítánu,zominamitanu,,FALSE,10+{and}5,,
16,numerals-ling1263-1-sixteen-1,numerals-ling1263-1,Chan2019,sixteen,16,zɔ́mi na mɔtɔ́bá,zominamotoba,,FALSE,10+{and}6,,
17,numerals-ling1263-1-seventeen-1,numerals-ling1263-1,Chan2019,seventeen,17,zɔ́mi na sambɔ,zominasambo,,FALSE,10+{and}7,,
18,numerals-ling1263-1-eighteen-1,numerals-ling1263-1,Chan2019,eighteen,18,zɔ́mi na mwambɛ,zominamwambe,,FALSE,10+{and}8,,
19,numerals-ling1263-1-nineteen-1,numerals-ling1263-1,Chan2019,nineteen,19,zɔ́mi na libwá,zominalibwa,,FALSE,10+{and}9,,
20,numerals-ling1263-1-twenty-1,numerals-ling1263-1,Chan2019,twenty,20,túkú míbalɛ́,tukumibale,,FALSE,10·2,,
21,numerals-ling1263-1-twentyone-1,numerals-ling1263-1,Chan2019,twentyone,21,túkú míbalɛ́ na ùmwɛ̀,tukumibalenaumwe,,FALSE,(10·2)+1,,
22,numerals-ling1263-1-twentytwo-1,numerals-ling1263-1,Chan2019,twentytwo,22,túkú míbalɛ́ na míbalɛ́,tukumibalenamibale,,FALSE,(10·2)+2,,
23,numerals-ling1263-1-twentythree-1,numerals-ling1263-1,Chan2019,twentythree,23,túkú míbalɛ́ na mísátu,tukumibalenamisatu,,FALSE,(10·2)+3,,
24,numerals-ling1263-1-twentyfour-1,numerals-ling1263-1,Chan2019,twentyfour,24,túkú míbalɛ́ na mínɛ,tukumibalenamine,,FALSE,(10·2)+4,,
25,numerals-ling1263-1-twentyfive-1,numerals-ling1263-1,Chan2019,twentyfive,25,túkú míbalɛ́ na mítánu,tukumibalenamitanu,,FALSE,(10·2)+5,,
26,numerals-ling1263-1-twentysix-1,numerals-ling1263-1,Chan2019,twentysix,26,túkú míbalɛ́ na mɔtɔ́bá,tukumibalenamotoba,,FALSE,(10·2)+6,,
27,numerals-ling1263-1-twentyseven-1,numerals-ling1263-1,Chan2019,twentyseven,27,túkú míbalɛ́ na sambɔ,tukumibalenasambo,,FALSE,(10·2)+7,,
28,numerals-ling1263-1-twentyeight-1,numerals-ling1263-1,Chan2019,twentyeight,28,túkú míbalɛ́ na mwambɛ,tukumibalenamwambe,,FALSE,(10·2)+8,,
29,numerals-ling1263-1-twentynine-1,numerals-ling1263-1,Chan2019,twentynine,29,túkú míbalɛ́ na libwá,tukumibalenalibwa,,FALSE,(10·2)+9,,
30,numerals-ling1263-1-thirty-1,numerals-ling1263-1,Chan2019,thirty,30,túkú mísátu,tukumisatu,,FALSE,10·3,,
31,numerals-ling1263-1-forty-1,numerals-ling1263-1,Chan2019,forty,40,túkú mínɛ,tukumine,,FALSE,10·4,,
32,numerals-ling1263-1-fifty-1,numerals-ling1263-1,Chan2019,fifty,50,túkú mítánu,tukumitanu,,FALSE,10·5,,
33,numerals-ling1263-1-sixty-1,numerals-ling1263-1,Chan2019,sixty,60,túkú mɔtɔ́bá,tukumotoba,,FALSE,10·6,,
34,numerals-ling1263-1-seventy-1,numerals-ling1263-1,Chan2019,seventy,70,túkú sambɔ,tukusambo,,FALSE,10·7,,
35,numerals-ling1263-1-eighty-1,numerals-ling1263-1,Chan2019,eighty,80,túkú mwambɛ,tukumwambe,,FALSE,10·8,,
36,numerals-ling1263-1-ninety-1,numerals-ling1263-1,Chan2019,ninety,90,túkú libwá,tukulibwa,,FALSE,10·9,,
37,numerals-ling1263-1-hundred-1,numerals-ling1263-1,Chan2019,hundred,100,mɔkámá,mokama,,FALSE,100,,
38,numerals-ling1263-1-twohundred-1,numerals-ling1263-1,Chan2019,twohundred,200,kama míbalɛ́,kamamibale,,FALSE,100·2,,
39,numerals-ling1263-1-thousand-1,numerals-ling1263-1,Chan2019,thousand,1000,ŋkɔ́tɔ jɔ́kɔ́,ngkotojoko,,FALSE,1000·1,,
40,numerals-ling1263-1-twothousand-1,numerals-ling1263-1,Chan2019,twothousand,2000,ŋkɔ́tɔ ibalɛ,ngkotoibale,,FALSE,1000·2,,
