"Language_ID","ID","Parameter_ID","Value","Form","Gloss","Alternate_Gloss","Comment_Glosser"
"rund1242-1","rund1242-1-1-1",1,"rimwé","rimwé","{CL}1","1",NA
"rund1242-1","rund1242-1-2-1",2,"kabiri","kabiri","{CL’}2","2",NA
"rund1242-1","rund1242-1-3-1",3,"ɡatatu","ɡatatu","{CL”}3","3",NA
"rund1242-1","rund1242-1-4-1",4,"kané","kané","{CL’}4","4",NA
"rund1242-1","rund1242-1-5-1",5,"ɡataanu","ɡataanu","{CL”}5","5",NA
"rund1242-1","rund1242-1-6-1",6,"ɡataandátu","ɡataandátu","{CL”}6","?",NA
"rund1242-1","rund1242-1-7-1",7,"indwi","indwi","{CL”’}7","7",NA
"rund1242-1","rund1242-1-8-1",8,"umunaáni","umunaáni","{CL””}8","{CL””}4’+4",NA
"rund1242-1","rund1242-1-9-1",9,"itʃeénda","itʃeénda","{CL””’}9","10-1?","has form of 10"
"rund1242-1","rund1242-1-10-1",10,"itʃúmi","itʃúmi","{CL”’}10","10",NA
"rund1242-1","rund1242-1-11-1",11,"itʃúmi na rímwe","itʃúmi na rímwe","{CL”’}10+{and}{CL}1","10+1",NA
"rund1242-1","rund1242-1-12-1",12,"itʃúmi na kábiri","itʃúmi na kábiri","{CL”’}10+{and}{CL’}2","10+2",NA
"rund1242-1","rund1242-1-13-1",13,"itʃúmi na ɡátatu","itʃúmi na ɡátatu","{CL”’}10+{and}{CL”}3","10+3",NA
"rund1242-1","rund1242-1-14-1",14,"itʃúmi na káne","itʃúmi na káne","{CL”’}10+{and}{CL’}4","10+4",NA
"rund1242-1","rund1242-1-15-1",15,"itʃúmi na ɡátaanu","itʃúmi na ɡátaanu","{CL”’}10+{and}{CL”}5","10+5",NA
"rund1242-1","rund1242-1-16-1",16,"itʃúmi na ɡátaandátu","itʃúmi na ɡátaandátu","{CL”’}10+{and}{CL”}6","10+x",NA
"rund1242-1","rund1242-1-17-1",17,"itʃúmi n-índwi","itʃúmi n-índwi","{CL”’}10+{and}{CL”’}7","10+7",NA
"rund1242-1","rund1242-1-18-1",18,"itʃúmi n-úmunaáni","itʃúmi n-úmunaáni","{CL””’}10+{and}{CL””}8","10+(x4)",NA
"rund1242-1","rund1242-1-19-1",19,"itʃúmi n-ítʃeénda","itʃúmi n-ítʃeénda","{CL”’}10+{and}{CL”’}9","10+(10-1)",NA
"rund1242-1","rund1242-1-20-1",20,"mirooŋɡo ibiri","mirooŋɡo ibiri","{CL””}10’·{CL”’}2","10·2","mirooŋɡo = 10? new form for ten"
"rund1242-1","rund1242-1-21-1",21,"mirooŋɡo ibiri na rímwe","mirooŋɡo ibiri na rímwe","{CL””}10’·{CL”’}2+{and}{CL}1","(10·2)+1",NA
"rund1242-1","rund1242-1-22-1",22,"mirooŋɡo ibiri na kábiri","mirooŋɡo ibiri na kábiri","{CL””}10’·{CL”’}2+{and}{CL’}2","(10·2)+2",NA
"rund1242-1","rund1242-1-23-1",23,"mirooŋɡo ibiri na ɡátatu","mirooŋɡo ibiri na ɡátatu","{CL””}10’·{CL”’}2+{and}{CL”}3","(10·2)+3",NA
"rund1242-1","rund1242-1-24-1",24,"mirooŋɡo ibiri na káne","mirooŋɡo ibiri na káne","{CL””}10’·{CL”’}2+{and}{CL’}4","(10·2)+4",NA
"rund1242-1","rund1242-1-25-1",25,"mirooŋɡo ibiri na ɡátaanu","mirooŋɡo ibiri na ɡátaanu","{CL””}10’·{CL”’}2+{and}{CL”}5","(10·2)+5",NA
"rund1242-1","rund1242-1-26-1",26,"mirooŋɡo ibiri na ɡátaandátu","mirooŋɡo ibiri na ɡátaandátu","{CL””}10’·{CL”’}2+{and}{CL”}6","(10·2)+x",NA
"rund1242-1","rund1242-1-27-1",27,"mirooŋɡo ibiri n-índwi","mirooŋɡo ibiri n-índwi","{CL””}10’·{CL”’}2+{and}{CL”’}7","(10·2)+7",NA
"rund1242-1","rund1242-1-28-1",28,"mirooŋɡo ibiri n-úmunaáni","mirooŋɡo ibiri n-úmunaáni","{CL””}10’·{CL”’}2+{and}{CL”’}8","(10·2)+x4",NA
"rund1242-1","rund1242-1-29-1",29,"mirooŋɡo ibiri n-ítʃeénda","mirooŋɡo ibiri n-ítʃeénda","{CL””}10’·{CL”’}2+{and}{CL”’}9","(10·2)+9",NA
"rund1242-1","rund1242-1-30-1",30,"mirooŋɡo itatu","mirooŋɡo itatu","{CL””}10·{CL”’}3","10·3",NA
"rund1242-1","rund1242-1-40-1",40,"mirooŋɡo iné","mirooŋɡo iné","{CL””}10·{CL”’}4","10·4",NA
"rund1242-1","rund1242-1-50-1",50,"mirooŋɡo itaanu","mirooŋɡo itaanu","{CL””}10·{CL”’}5","10·5",NA
"rund1242-1","rund1242-1-60-1",60,"mirooŋɡo itaandátu","mirooŋɡo itaandátu","{CL””}10·{CL”’}6","10·x",NA
"rund1242-1","rund1242-1-70-1",70,"mirooŋɡo indwi","mirooŋɡo indwi","{CL””}10·{CL”’}7","10·7",NA
"rund1242-1","rund1242-1-80-1",80,"mirooŋɡo umunaáni","mirooŋɡo umunaáni","{CL””}10·{CL”’}8","10·(x4)",NA
"rund1242-1","rund1242-1-90-1",90,"mirooŋɡo itʃeénda","mirooŋɡo itʃeénda","{CL””}10·{CL”’}9","10·(10-1)",NA
"rund1242-1","rund1242-1-100-1",100,"iʒana","iʒana","{CL""'}10","100",NA
"rund1242-1","rund1242-1-200-1",200,"amaʒana abiri","amaʒana abiri","{CL””’}100·{CL””’}2","100·2",NA
"rund1242-1","rund1242-1-1000-1",1000,"iɡihuumbi","iɡihuumbi","{CL”’}1000","1000",NA
"rund1242-1","rund1242-1-2000-1",2000,"ibihuumbi bibiri","ibihuumbi bibiri","{CL”’}1000·{CL’}2","1000·2",NA
