ID	Language_ID	Source	Parameter_ID	NumberValue	Value	Form	Comment_contributor	Loan	Gloss	Comment_glosser	Alternate_gloss
numerals-west2454-1-one-1	numerals-west2454-1	Chan2019	one	1	ɡoʔo	goo		FALSE	1		
numerals-west2454-1-two-1	numerals-west2454-1	Chan2019	two	2	ɗiɗi	didi		FALSE	2		
numerals-west2454-1-three-1	numerals-west2454-1	Chan2019	three	3	tati	tati		FALSE	3		
numerals-west2454-1-four-1	numerals-west2454-1	Chan2019	four	4	naj	naj		FALSE	4		
numerals-west2454-1-five-1	numerals-west2454-1	Chan2019	five	5	d͡ʒoj	dzoj		FALSE	5		
numerals-west2454-1-six-1	numerals-west2454-1	Chan2019	six	6	d͡ʒeeɡom	dzeegom	( 5 + 1 )	FALSE	5’+1’		
numerals-west2454-1-seven-1	numerals-west2454-1	Chan2019	seven	7	d͡ʒeɗɗi	dzeddi	( 5 + 2 )	FALSE	5”+2		
numerals-west2454-1-eight-1	numerals-west2454-1	Chan2019	eight	8	d͡ʒeetati	dzeetati	( 5 + 3 )	FALSE	5’+3		
numerals-west2454-1-nine-1	numerals-west2454-1	Chan2019	nine	9	d͡ʒeenaj	dzeenaj	( 5 + 4 )	FALSE	5’+4		
numerals-west2454-1-ten-1	numerals-west2454-1	Chan2019	ten	10	sappo	sappo		FALSE	10		
numerals-west2454-1-eleven-1	numerals-west2454-1	Chan2019	eleven	11	sappo e ɡoʔo	sappoegoo		FALSE	10+{+}1		
numerals-west2454-1-twelve-1	numerals-west2454-1	Chan2019	twelve	12	sappo e ɗiɗi	sappoedidi		FALSE	10+{+}2		
numerals-west2454-1-thirteen-1	numerals-west2454-1	Chan2019	thirteen	13	sappo e tati	sappoetati		FALSE	10+{+}3		
numerals-west2454-1-fourteen-1	numerals-west2454-1	Chan2019	fourteen	14	sappo e naj	sappoenaj		FALSE	10+{+}4		
numerals-west2454-1-fifteen-1	numerals-west2454-1	Chan2019	fifteen	15	sappo e d͡ʒoj	sappoedzoj		FALSE	10+{+}5		
numerals-west2454-1-sixteen-1	numerals-west2454-1	Chan2019	sixteen	16	sappo e d͡ʒeeɡom	sappoedzeegom		FALSE	10+{+}5’+1’		
