,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-lish1247-1-one-1,numerals-lish1247-1,Chan2019,one,1,xa,xa,,FALSE,1,NA,NA
2,numerals-lish1247-1-one-2,numerals-lish1247-1,Chan2019,one,1,xaʔ,xa,,FALSE,1,NA,NA
3,numerals-lish1247-1-two-1,numerals-lish1247-1,Chan2019,two,2,tre,tre,,FALSE,2,NA,NA
4,numerals-lish1247-1-two-2,numerals-lish1247-1,Chan2019,two,2,treʔ,tre,(f. tərteʔ ),FALSE,2,NA,NA
5,numerals-lish1247-1-three-1,numerals-lish1247-1,Chan2019,three,3,tˁlˁaːha,tlaha,,FALSE,3,NA,NA
6,numerals-lish1247-1-four-1,numerals-lish1247-1,Chan2019,four,4,ʔarba,arba,,FALSE,4,NA,NA
7,numerals-lish1247-1-five-1,numerals-lish1247-1,Chan2019,five,5,xamʃa,xamsa,,FALSE,5,NA,NA
8,numerals-lish1247-1-six-1,numerals-lish1247-1,Chan2019,six,6,ʔəʃta,asta,,FALSE,6,NA,NA
9,numerals-lish1247-1-seven-1,numerals-lish1247-1,Chan2019,seven,7,ʃøʔa,soa,,FALSE,7,NA,NA
10,numerals-lish1247-1-eight-1,numerals-lish1247-1,Chan2019,eight,8,tmanya,tmanya,,FALSE,8,NA,NA
11,numerals-lish1247-1-nine-1,numerals-lish1247-1,Chan2019,nine,9,ʔət͡ʃˁa,atsa,,FALSE,9,NA,NA
12,numerals-lish1247-1-ten-1,numerals-lish1247-1,Chan2019,ten,10,ʔəsˁrˁa,asra,,FALSE,10,NA,NA
13,numerals-lish1247-1-eleven-1,numerals-lish1247-1,Chan2019,eleven,11,xadeʔsar,xadesar,,FALSE,1{AND?}+10,NA,NA
14,numerals-lish1247-1-twelve-1,numerals-lish1247-1,Chan2019,twelve,12,treʔsar,tresar,,FALSE,2+10,NA,NA
15,numerals-lish1247-1-thirteen-1,numerals-lish1247-1,Chan2019,thirteen,13,təltaʔsar,taltasar,,FALSE,3+10,NA,NA
16,numerals-lish1247-1-fourteen-1,numerals-lish1247-1,Chan2019,fourteen,14,ʔarbaʔsar,arbasar,,FALSE,4+10,NA,NA
17,numerals-lish1247-1-fifteen-1,numerals-lish1247-1,Chan2019,fifteen,15,xamʃaʔsar,xamsasar,,FALSE,5+10,NA,NA
