,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-besi1244-1-one-1,numerals-besi1244-1,Chan2019,one,1,mũy,muy,,false,1,,
2,numerals-besi1244-1-two-1,numerals-besi1244-1,Chan2019,two,2,m̥a,ma,,false,2,,
3,numerals-besi1244-1-three-1,numerals-besi1244-1,Chan2019,three,3,m̥peʔ,mpe,,false,3,,
4,numerals-besi1244-1-four-1,numerals-besi1244-1,Chan2019,four,4,mpat,mpat,,false,4,,
5,numerals-besi1244-1-five-1,numerals-besi1244-1,Chan2019,five,5,limãʔ,lima,,false,5,,
6,numerals-besi1244-1-six-1,numerals-besi1244-1,Chan2019,six,6,nãm,nam,,false,6,,
7,numerals-besi1244-1-seven-1,numerals-besi1244-1,Chan2019,seven,7,tud͡ʒuh,tudzuh,,false,7,,
8,numerals-besi1244-1-eight-1,numerals-besi1244-1,Chan2019,eight,8,lapa̰n,lapan,,false,8,,
9,numerals-besi1244-1-nine-1,numerals-besi1244-1,Chan2019,nine,9,səmila̤n,samilan,,false,9,,
10,numerals-besi1244-1-ten-1,numerals-besi1244-1,Chan2019,ten,10,mpuluh,mpuluh,,false,1⋅10,,
11,numerals-besi1244-1-eleven-1,numerals-besi1244-1,Chan2019,eleven,11,mu bəlas,mubalas,,false,1+10′,,
12,numerals-besi1244-1-twelve-1,numerals-besi1244-1,Chan2019,twelve,12,m̥a bəlas,mabalas,,false,2+10′,,
13,numerals-besi1244-1-thirteen-1,numerals-besi1244-1,Chan2019,thirteen,13,m̥peʔ bəlas,mpebalas,,false,3+10′,,
14,numerals-besi1244-1-fourteen-1,numerals-besi1244-1,Chan2019,fourteen,14,mpat bəlas,mpatbalas,,false,4+10′,,
15,numerals-besi1244-1-fifteen-1,numerals-besi1244-1,Chan2019,fifteen,15,limãʔ bəlas,limabalas,,false,5+10′,,
16,numerals-besi1244-1-sixteen-1,numerals-besi1244-1,Chan2019,sixteen,16,nãm bəlas,nambalas,,false,6+10′,,
17,numerals-besi1244-1-seventeen-1,numerals-besi1244-1,Chan2019,seventeen,17,tud͡ʒuh bəlas,tudzuhbalas,,false,7+10′,,
18,numerals-besi1244-1-eighteen-1,numerals-besi1244-1,Chan2019,eighteen,18,lapa̤n bəlas,lapanbalas,,false,8+10′,,
19,numerals-besi1244-1-nineteen-1,numerals-besi1244-1,Chan2019,nineteen,19,səmila̤n bəlas,samilanbalas,,false,9+10′,,
20,numerals-besi1244-1-twenty-1,numerals-besi1244-1,Chan2019,twenty,20,m̥a puluh,mapuluh,,false,2⋅10,,
21,numerals-besi1244-1-twentyone-1,numerals-besi1244-1,Chan2019,twentyone,21,m̥a puluh mũy,mapuluhmuy,,false,(2⋅10)+1,,
22,numerals-besi1244-1-twentytwo-1,numerals-besi1244-1,Chan2019,twentytwo,22,m̥a puluh m̥a,mapuluhma,,false,(2⋅10)+2,,
23,numerals-besi1244-1-twentythree-1,numerals-besi1244-1,Chan2019,twentythree,23,m̥a puluh m̥peʔ,mapuluhmpe,,false,(2⋅10)+3,,
24,numerals-besi1244-1-twentyfour-1,numerals-besi1244-1,Chan2019,twentyfour,24,m̥a puluh mpat,mapuluhmpat,,false,(2⋅10)+4,,
25,numerals-besi1244-1-twentyfive-1,numerals-besi1244-1,Chan2019,twentyfive,25,m̥a puluh limãʔ,mapuluhlima,,false,(2⋅10)+5,,
26,numerals-besi1244-1-twentysix-1,numerals-besi1244-1,Chan2019,twentysix,26,m̥a puluh nãm,mapuluhnam,,false,(2⋅10)+6,,
27,numerals-besi1244-1-twentyseven-1,numerals-besi1244-1,Chan2019,twentyseven,27,m̥a puluh tud͡ʒuh,mapuluhtudzuh,,false,(2⋅10)+7,,
28,numerals-besi1244-1-twentyeight-1,numerals-besi1244-1,Chan2019,twentyeight,28,m̥a puluh lapa̤n,mapuluhlapan,,false,(2⋅10)+8,,
29,numerals-besi1244-1-twentynine-1,numerals-besi1244-1,Chan2019,twentynine,29,m̥a puluh səmila̤n,mapuluhsamilan,,false,(2⋅10)+9,,
30,numerals-besi1244-1-thirty-1,numerals-besi1244-1,Chan2019,thirty,30,m̥peʔ puluh,mpepuluh,,false,3⋅10,,
31,numerals-besi1244-1-forty-1,numerals-besi1244-1,Chan2019,forty,40,mpat puluh,mpatpuluh,,false,4⋅10,,
