,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-cent1990-1-one-1,numerals-cent1990-1,Chan2019,one,1,xiˑəŋ,xiang,,false,1,,
2,numerals-cent1990-1-two-1,numerals-cent1990-1,Chan2019,two,2,ʔɑ̃ː,a,,false,2,,
3,numerals-cent1990-1-three-1,numerals-cent1990-1,Chan2019,three,3,luˑəj,luaj,,false,3,,
4,numerals-cent1990-1-four-1,numerals-cent1990-1,Chan2019,four,4,fuˑɑn,fuan,,false,4,,
5,numerals-cent1990-1-five-1,numerals-cent1990-1,Chan2019,five,5,t̪ɑːnɑˑj,tanaj,,false,5,,
6,numerals-cent1990-1-six-1,numerals-cent1990-1,Chan2019,six,6,t̪ɑfuˑə,tafua,,false,6,,
7,numerals-cent1990-1-seven-1,numerals-cent1990-1,Chan2019,seven,7,ʔisɑˑt,isat,,false,7,,
8,numerals-cent1990-1-eight-1,numerals-cent1990-1,Chan2019,eight,8,ʔinfuˑɑn,infuan,,false,8,,
9,numerals-cent1990-1-nine-1,numerals-cent1990-1,Chan2019,nine,9,xeˑɑŋxɑt̪ə,xeangxata,,false,9,,
10,numerals-cent1990-1-ten-1,numerals-cent1990-1,Chan2019,ten,10,səˑm,sam,,false,10,,
11,numerals-cent1990-1-twenty-1,numerals-cent1990-1,Chan2019,twenty,20,ʔɑ̃ː ʔinɑˑj,ainaj,,false,2⋅10′,,
12,numerals-cent1990-1-hundred-1,numerals-cent1990-1,Chan2019,hundred,100,t̪ɑsoː,taso,,false,100,,
