,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-chew1245-1-one-1,numerals-chew1245-1,Chan2019,one,1,nãy,nay,,false,1,,
2,numerals-chew1245-1-two-1,numerals-chew1245-1,Chan2019,two,2,ber,ber,,false,2,,
3,numerals-chew1245-1-three-1,numerals-chew1245-1,Chan2019,three,3,pɛd,ped,,false,3,,
4,numerals-chew1245-1-four-1,numerals-chew1245-1,Chan2019,four,4,pan,pan,,false,4,,
5,numerals-chew1245-1-five-1,numerals-chew1245-1,Chan2019,five,5,limãʔ,lima,,false,5,,
6,numerals-chew1245-1-six-1,numerals-chew1245-1,Chan2019,six,6,ʔənãm,anam,,false,6,,
7,numerals-chew1245-1-seven-1,numerals-chew1245-1,Chan2019,seven,7,tud͡ʒoh,tudzoh,,false,7,,
8,numerals-chew1245-1-seven-2,numerals-chew1245-1,Chan2019,seven,7,tuɟoh,tujoh,,false,7′,,
9,numerals-chew1245-1-eight-1,numerals-chew1245-1,Chan2019,eight,8,lapan,lapan,,false,8,,
10,numerals-chew1245-1-nine-1,numerals-chew1245-1,Chan2019,nine,9,səmilan,samilan,,false,9,,
11,numerals-chew1245-1-ten-1,numerals-chew1245-1,Chan2019,ten,10,səpuluh,sapuluh,,false,10,,
12,numerals-chew1245-1-eleven-1,numerals-chew1245-1,Chan2019,eleven,11,sabəlas,sabalas,,false,1′+10′,,
13,numerals-chew1245-1-twelve-1,numerals-chew1245-1,Chan2019,twelve,12,duwə bəlas,duwabalas,,false,2′+10′,,
14,numerals-chew1245-1-thirteen-1,numerals-chew1245-1,Chan2019,thirteen,13,tigə bəlas,tigabalas,,false,3′+10′,,
15,numerals-chew1245-1-fourteen-1,numerals-chew1245-1,Chan2019,fourteen,14,əmpat bəlas,ampatbalas,,false,4′+10′,,
16,numerals-chew1245-1-fifteen-1,numerals-chew1245-1,Chan2019,fifteen,15,limã bəlas,limabalas,,false,5+10′,,
17,numerals-chew1245-1-sixteen-1,numerals-chew1245-1,Chan2019,sixteen,16,ənãm bəlas,anambalas,,false,6+10′,,
18,numerals-chew1245-1-seventeen-1,numerals-chew1245-1,Chan2019,seventeen,17,tud͡ʒoh bəlas,tudzohbalas,,false,7+10′,,
19,numerals-chew1245-1-eighteen-1,numerals-chew1245-1,Chan2019,eighteen,18,lapan bəlas,lapanbalas,,false,8+10′,,
20,numerals-chew1245-1-nineteen-1,numerals-chew1245-1,Chan2019,nineteen,19,səmilan bəlas,samilanbalas,,false,9+10′,,
