,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-taid1247-1-one-1,numerals-taid1247-1,Chan2019,one,1,nɨŋ5,ning5,,false,1,,
2,numerals-taid1247-1-two-1,numerals-taid1247-1,Chan2019,two,2,sɔŋ1,song1,,false,2,,
3,numerals-taid1247-1-three-1,numerals-taid1247-1,Chan2019,three,3,saːm1,sam1,,false,3,,
4,numerals-taid1247-1-four-1,numerals-taid1247-1,Chan2019,four,4,si2,si2,,false,4,,
5,numerals-taid1247-1-five-1,numerals-taid1247-1,Chan2019,five,5,haː3,ha3,,false,5,,
6,numerals-taid1247-1-six-1,numerals-taid1247-1,Chan2019,six,6,hok2,hok2,,false,6,,
7,numerals-taid1247-1-seven-1,numerals-taid1247-1,Chan2019,seven,7,cet2,cet2,,false,7,,
8,numerals-taid1247-1-eight-1,numerals-taid1247-1,Chan2019,eight,8,pɛt2,pet2,,false,8,,
9,numerals-taid1247-1-nine-1,numerals-taid1247-1,Chan2019,nine,9,kăw3,kaw3,,false,9,,
10,numerals-taid1247-1-ten-1,numerals-taid1247-1,Chan2019,ten,10,sip2,sip2,,false,10,,
11,numerals-taid1247-1-eleven-1,numerals-taid1247-1,Chan2019,eleven,11,sip2et2,sip2et2,,false,10+1′,,
12,numerals-taid1247-1-twelve-1,numerals-taid1247-1,Chan2019,twelve,12,sip2 sɔŋ1,sip2song1,,false,10+2,,
13,numerals-taid1247-1-thirteen-1,numerals-taid1247-1,Chan2019,thirteen,13,sip2saːm1,sip2sam1,,false,10+3,,
14,numerals-taid1247-1-fourteen-1,numerals-taid1247-1,Chan2019,fourteen,14,sip2si5,sip2si5,,false,10+4,,
15,numerals-taid1247-1-fifteen-1,numerals-taid1247-1,Chan2019,fifteen,15,sip2haː3,sip2ha3,,false,10+5,,
16,numerals-taid1247-1-sixteen-1,numerals-taid1247-1,Chan2019,sixteen,16,sip2hok2,sip2hok2,,false,10+6,,
17,numerals-taid1247-1-seventeen-1,numerals-taid1247-1,Chan2019,seventeen,17,sip2cet2,sip2cet2,,false,10+7,,
18,numerals-taid1247-1-eighteen-1,numerals-taid1247-1,Chan2019,eighteen,18,sip2pɛt2,sip2pet2,,false,10+8,,
19,numerals-taid1247-1-nineteen-1,numerals-taid1247-1,Chan2019,nineteen,19,sip2kăw3,sip2kaw3,,false,10+9,,
20,numerals-taid1247-1-twenty-1,numerals-taid1247-1,Chan2019,twenty,20,saːw4,saw4,,false,20,,
21,numerals-taid1247-1-twentyone-1,numerals-taid1247-1,Chan2019,twentyone,21,saːw4 et2,saw4et2,,false,20+1′,,
22,numerals-taid1247-1-twentytwo-1,numerals-taid1247-1,Chan2019,twentytwo,22,saːw4 sɔŋ1,saw4song1,,false,20+2,,
23,numerals-taid1247-1-twentythree-1,numerals-taid1247-1,Chan2019,twentythree,23,saːw4 saːm1,saw4sam1,,false,20+3,,
24,numerals-taid1247-1-twentyfour-1,numerals-taid1247-1,Chan2019,twentyfour,24,saːw4 si2,saw4si2,,false,20+4,,
25,numerals-taid1247-1-twentyfive-1,numerals-taid1247-1,Chan2019,twentyfive,25,saːw4 haː3,saw4ha3,,false,20+5,,
26,numerals-taid1247-1-twentysix-1,numerals-taid1247-1,Chan2019,twentysix,26,saːw4 hok2,saw4hok2,,false,20+6,,
27,numerals-taid1247-1-twentyseven-1,numerals-taid1247-1,Chan2019,twentyseven,27,saːw4 cet2,saw4cet2,,false,20+7,,
28,numerals-taid1247-1-twentyeight-1,numerals-taid1247-1,Chan2019,twentyeight,28,saːw4 pɛt2,saw4pet2,,false,20+8,,
29,numerals-taid1247-1-twentynine-1,numerals-taid1247-1,Chan2019,twentynine,29,saːw4 kăw3,saw4kaw3,,false,20+9,,
30,numerals-taid1247-1-thirty-1,numerals-taid1247-1,Chan2019,thirty,30,saːm1 sip2,sam1sip2,,false,3⋅10,,
31,numerals-taid1247-1-forty-1,numerals-taid1247-1,Chan2019,forty,40,si5 sip2,si5sip2,,false,4⋅10,,
32,numerals-taid1247-1-fifty-1,numerals-taid1247-1,Chan2019,fifty,50,haː3 sip2,ha3sip2,,false,5⋅10,,
33,numerals-taid1247-1-sixty-1,numerals-taid1247-1,Chan2019,sixty,60,hok2 sip2,hok2sip2,,false,6⋅10,,
34,numerals-taid1247-1-seventy-1,numerals-taid1247-1,Chan2019,seventy,70,cet2 sip2,cet2sip2,,false,7⋅10,,
35,numerals-taid1247-1-eighty-1,numerals-taid1247-1,Chan2019,eighty,80,pɛt2 sip2,pet2sip2,,false,8⋅10,,
36,numerals-taid1247-1-ninety-1,numerals-taid1247-1,Chan2019,ninety,90,kăw3 sip2,kaw3sip2,,false,9⋅10,,
37,numerals-taid1247-1-hundred-1,numerals-taid1247-1,Chan2019,hundred,100,hɔi6nɨŋ5,hoi6ning5,,false,100⋅1,,
38,numerals-taid1247-1-twohundred-1,numerals-taid1247-1,Chan2019,twohundred,200,sɔŋ1 hɔi6,song1hoi6,,false,2⋅100,,
39,numerals-taid1247-1-thousand-1,numerals-taid1247-1,Chan2019,thousand,1000,păn4nɨŋ5,pan4ning5,,false,1000⋅1,,
40,numerals-taid1247-1-twothousand-1,numerals-taid1247-1,Chan2019,twothousand,2000,sɔŋ1 păn4,song1pan4,,false,2⋅1000,,
