,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-chal1263-1-one-1,numerals-chal1263-1,Chan2019,one,1,je,je,,false,1,,
2,numerals-chal1263-1-two-1,numerals-chal1263-1,Chan2019,two,2,du,du,,false,2,,
3,numerals-chal1263-1-three-1,numerals-chal1263-1,Chan2019,three,3,ɬə,la,,false,3,,
4,numerals-chal1263-1-four-1,numerals-chal1263-1,Chan2019,four,4,t͡sor,tsor,,false,4,,
5,numerals-chal1263-1-five-1,numerals-chal1263-1,Chan2019,five,5,pa:jn,pajn,,false,5,,
6,numerals-chal1263-1-six-1,numerals-chal1263-1,Chan2019,six,6,t͡ʃə,tsa,,false,6,,
7,numerals-chal1263-1-seven-1,numerals-chal1263-1,Chan2019,seven,7,sa:t,sat,,false,7,,
8,numerals-chal1263-1-eight-1,numerals-chal1263-1,Chan2019,eight,8,a:ʃ,as,,false,8,,
9,numerals-chal1263-1-nine-1,numerals-chal1263-1,Chan2019,nine,9,na:w,naw,,false,9,,
10,numerals-chal1263-1-ten-1,numerals-chal1263-1,Chan2019,ten,10,da:j,daj,,false,10,,
11,numerals-chal1263-1-eleven-1,numerals-chal1263-1,Chan2019,eleven,11,juwo:j,juwoj,,false,1′+10′,,
12,numerals-chal1263-1-twelve-1,numerals-chal1263-1,Chan2019,twelve,12,duwoːj,duwoj,,false,2+10′,,
13,numerals-chal1263-1-thirteen-1,numerals-chal1263-1,Chan2019,thirteen,13,ɬəj,laj,,false,3+10′,,
14,numerals-chal1263-1-fourteen-1,numerals-chal1263-1,Chan2019,fourteen,14,t͡sa:daːj,tsadaj,,false,4+10′,,
15,numerals-chal1263-1-fifteen-1,numerals-chal1263-1,Chan2019,fifteen,15,paːziw,paziw,,false,5+10′,,
16,numerals-chal1263-1-sixteen-1,numerals-chal1263-1,Chan2019,sixteen,16,ʃuːɽ,sur,,false,6+[10′],,
17,numerals-chal1263-1-seventeen-1,numerals-chal1263-1,Chan2019,seventeen,17,satiw,satiw,,false,7+10′,,
18,numerals-chal1263-1-eighteen-1,numerals-chal1263-1,Chan2019,eighteen,18,aʃʈiw,astiw,,false,8+10′,,
19,numerals-chal1263-1-nineteen-1,numerals-chal1263-1,Chan2019,nineteen,19,nawiw,nawiw,,false,9+10′,,
20,numerals-chal1263-1-twenty-1,numerals-chal1263-1,Chan2019,twenty,20,wist,wist,,false,20,,
21,numerals-chal1263-1-twentyone-1,numerals-chal1263-1,Chan2019,twentyone,21,wista bi je,wistabije,,false,20+{LP}1,,
22,numerals-chal1263-1-twentytwo-1,numerals-chal1263-1,Chan2019,twentytwo,22,wista bi du,wistabidu,,false,20+{LP}2,,
23,numerals-chal1263-1-twentythree-1,numerals-chal1263-1,Chan2019,twentythree,23,wista bi ɬə,wistabila,,false,20+{LP}3,,
24,numerals-chal1263-1-twentyfour-1,numerals-chal1263-1,Chan2019,twentyfour,24,wista bi t͡sor,wistabitsor,,false,20+{LP}4,,
25,numerals-chal1263-1-twentyfive-1,numerals-chal1263-1,Chan2019,twentyfive,25,wista bi pa:jn,wistabipajn,,false,20+{LP}5,,
26,numerals-chal1263-1-twentysix-1,numerals-chal1263-1,Chan2019,twentysix,26,wista bi t͡ʃə,wistabitsa,,false,20+{LP}6,,
27,numerals-chal1263-1-twentyseven-1,numerals-chal1263-1,Chan2019,twentyseven,27,wista bi sa:t,wistabisat,,false,20+{LP}7,,
28,numerals-chal1263-1-twentyeight-1,numerals-chal1263-1,Chan2019,twentyeight,28,wista bi a:ʃ,wistabias,,false,20+{LP}8,,
29,numerals-chal1263-1-twentynine-1,numerals-chal1263-1,Chan2019,twentynine,29,wista bi na:w,wistabinaw,,false,20+{LP}9,,
