,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-khum1248-1-one-1,numerals-khum1248-1,Chan2019,one,1,hɑ ˩,ha,,false,1,,
2,numerals-khum1248-1-two-1,numerals-khum1248-1,Chan2019,two,2,n̥ɨŋ ˩,ning,,false,2,,
3,numerals-khum1248-1-three-1,numerals-khum1248-1,Chan2019,three,3,tʰuŋ ˩,thung,,false,3,,
4,numerals-khum1248-1-four-1,numerals-khum1248-1,Chan2019,four,4,pᵊlɨ ˩,pli,,false,4,,
5,numerals-khum1248-1-five-1,numerals-khum1248-1,Chan2019,five,5,pɑŋ ˧˩,pang,,false,5,,
6,numerals-khum1248-1-six-1,numerals-khum1248-1,Chan2019,six,6,tᵊreuʔ ˧,treu,,false,6,,
7,numerals-khum1248-1-seven-1,numerals-khum1248-1,Chan2019,seven,7,sᵊrɨʔ ˧,sri,,false,7,,
8,numerals-khum1248-1-eight-1,numerals-khum1248-1,Chan2019,eight,8,tᵊrjɑ ˥˧,trja,,false,8,,
9,numerals-khum1248-1-nine-1,numerals-khum1248-1,Chan2019,nine,9,tᵊkɔ ˥˧,tko,,false,9,,
10,numerals-khum1248-1-ten-1,numerals-khum1248-1,Chan2019,ten,10,ho ˩,ho,,false,10,,
11,numerals-khum1248-1-eleven-1,numerals-khum1248-1,Chan2019,eleven,11,ho ˩ lɑi˥ hɑ ˩,holaiha,,false,10+{LP}1,LP stands for linking particle.,
12,numerals-khum1248-1-twelve-1,numerals-khum1248-1,Chan2019,twelve,12,ho ˩ lɑi˥ n̥ɨŋ ˩,holaining,,false,10+{LP}2,,
13,numerals-khum1248-1-thirteen-1,numerals-khum1248-1,Chan2019,thirteen,13,ho ˩ lɑi˥ tʰuŋ ˩,holaithung,,false,10+{LP}3,,
14,numerals-khum1248-1-fourteen-1,numerals-khum1248-1,Chan2019,fourteen,14,ho ˩ lɑi˥ pᵊlɨ ˩,holaipli,,false,10+{LP}4,,
15,numerals-khum1248-1-fifteen-1,numerals-khum1248-1,Chan2019,fifteen,15,ho ˩ lɑi˥ pɑŋ ˧˩,holaipang,,false,10+{LP}5,,
16,numerals-khum1248-1-sixteen-1,numerals-khum1248-1,Chan2019,sixteen,16,ho ˩ lɑi˥ tᵊreuʔ ˧,holaitreu,,false,10+{LP}6,,
17,numerals-khum1248-1-seventeen-1,numerals-khum1248-1,Chan2019,seventeen,17,ho ˩ lɑi˥ sᵊrɨʔ ˧,holaisri,,false,10+{LP}7,,
18,numerals-khum1248-1-eighteen-1,numerals-khum1248-1,Chan2019,eighteen,18,ho ˩ lɑi˥ tᵊrjɑ ˥˧,holaitrja,,false,10+{LP}8,,
19,numerals-khum1248-1-nineteen-1,numerals-khum1248-1,Chan2019,nineteen,19,ho ˩ lɑi˥ tᵊkɔ ˥˧,holaitko,,false,10+{LP}9,,
20,numerals-khum1248-1-twenty-1,numerals-khum1248-1,Chan2019,twenty,20,ʔᵊpoŋ ˩,pong,,false,20,,
21,numerals-khum1248-1-twentytwo-1,numerals-khum1248-1,Chan2019,twentytwo,22,ʔᵊpoŋ ˩ lɑi˥ n̥ɨŋ ˩,ponglaining,,false,20+{LP}2,,
