,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-sang1320-1-one-1,numerals-sang1320-1,Chan2019,one,1,ti31,ti31,,false,1,,
2,numerals-sang1320-1-two-1,numerals-sang1320-1,Chan2019,two,2,ȵi̠̠31,ni31,,false,2,,
3,numerals-sang1320-1-three-1,numerals-sang1320-1,Chan2019,three,3,sem55,sem55,,false,3,,
4,numerals-sang1320-1-four-1,numerals-sang1320-1,Chan2019,four,4,xɯn55,xwn55,,false,4,,
5,numerals-sang1320-1-five-1,numerals-sang1320-1,Chan2019,five,5,ŋa31,nga31,,false,5,,
6,numerals-sang1320-1-six-1,numerals-sang1320-1,Chan2019,six,6,kʰo̠31,kho31,,false,6,,
7,numerals-sang1320-1-seven-1,numerals-sang1320-1,Chan2019,seven,7,si̠31,si31,,false,7,,
8,numerals-sang1320-1-eight-1,numerals-sang1320-1,Chan2019,eight,8,ɕe̠31,ce31,,false,8,,
9,numerals-sang1320-1-nine-1,numerals-sang1320-1,Chan2019,nine,9,qø31,qo31,,false,9,,
10,numerals-sang1320-1-ten-1,numerals-sang1320-1,Chan2019,ten,10,tsʰe55,tshe55,,false,10,,
11,numerals-sang1320-1-eleven-1,numerals-sang1320-1,Chan2019,eleven,11,tsʰe55tʰɯ̠31,tshe55thw31,,false,10+1′,,
12,numerals-sang1320-1-twelve-1,numerals-sang1320-1,Chan2019,twelve,12,tsʰe55ȵi̠̠31,tshe55ni31,,false,10+2,,
13,numerals-sang1320-1-thirteen-1,numerals-sang1320-1,Chan2019,thirteen,13,tsʰe55sem55,tshe55sem55,,false,10+3,,
14,numerals-sang1320-1-fourteen-1,numerals-sang1320-1,Chan2019,fourteen,14,tsʰe55xɯn55,tshe55xwn55,,false,10+4,,
15,numerals-sang1320-1-fifteen-1,numerals-sang1320-1,Chan2019,fifteen,15,tsʰe55ŋa31,tshe55nga31,,false,10+5,,
16,numerals-sang1320-1-sixteen-1,numerals-sang1320-1,Chan2019,sixteen,16,tsʰe55kʰo̠31,tshe55kho31,,false,10+6,,
17,numerals-sang1320-1-seventeen-1,numerals-sang1320-1,Chan2019,seventeen,17,tsʰe55si̠31,tshe55si31,,false,10+7,,
18,numerals-sang1320-1-eighteen-1,numerals-sang1320-1,Chan2019,eighteen,18,tsʰe55ɕe̠31,tshe55ce31,,false,10+8,,
19,numerals-sang1320-1-nineteen-1,numerals-sang1320-1,Chan2019,nineteen,19,tsʰe55qø31,tshe55qo31,,false,10+9,,
20,numerals-sang1320-1-twenty-1,numerals-sang1320-1,Chan2019,twenty,20,ȵi̠̠31tsʰe55,ni31tshe55,,false,2⋅10,,
21,numerals-sang1320-1-twentyone-1,numerals-sang1320-1,Chan2019,twentyone,21,ȵi̠̠31 tsʰe55 ti31,ni31tshe55ti31,,false,(2⋅10)+1,,
22,numerals-sang1320-1-twentytwo-1,numerals-sang1320-1,Chan2019,twentytwo,22,ȵi̠̠31 tsʰe55 ȵi̠̠31,ni31tshe55ni31,,false,(2⋅10)+2,,
