,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-tayy1238-1-one-1,numerals-tayy1238-1,Chan2019,one,1,nɯ̀ŋ,nwng,,false,1,,
2,numerals-tayy1238-1-two-1,numerals-tayy1238-1,Chan2019,two,2,sɔŋ,song,,false,2,,
3,numerals-tayy1238-1-three-1,numerals-tayy1238-1,Chan2019,three,3,saam,saam,,false,3,,
4,numerals-tayy1238-1-four-1,numerals-tayy1238-1,Chan2019,four,4,sì,si,,false,4,,
5,numerals-tayy1238-1-five-1,numerals-tayy1238-1,Chan2019,five,5,hǎa,haa,,false,5,,
6,numerals-tayy1238-1-six-1,numerals-tayy1238-1,Chan2019,six,6,hók,hok,,false,6,,
7,numerals-tayy1238-1-six-2,numerals-tayy1238-1,Chan2019,six,6,sók,sok,,false,6′,,
8,numerals-tayy1238-1-seven-1,numerals-tayy1238-1,Chan2019,seven,7,cét,cet,,false,7,,
9,numerals-tayy1238-1-eight-1,numerals-tayy1238-1,Chan2019,eight,8,pɛ́t,pet,,false,8,,
10,numerals-tayy1238-1-nine-1,numerals-tayy1238-1,Chan2019,nine,9,kǎw,kaw,,false,9,,
11,numerals-tayy1238-1-ten-1,numerals-tayy1238-1,Chan2019,ten,10,síp,sip,,false,10,,
12,numerals-tayy1238-1-eleven-1,numerals-tayy1238-1,Chan2019,eleven,11,síp ʔə́t,sipat,,false,10+1′,,
13,numerals-tayy1238-1-twelve-1,numerals-tayy1238-1,Chan2019,twelve,12,sípyî,sipyi,,false,10+2′,,
14,numerals-tayy1238-1-thirteen-1,numerals-tayy1238-1,Chan2019,thirteen,13,sípsaam,sipsaam,,false,10+3,,
15,numerals-tayy1238-1-fourteen-1,numerals-tayy1238-1,Chan2019,fourteen,14,sípsì,sipsi,,false,10+4,,
16,numerals-tayy1238-1-fifteen-1,numerals-tayy1238-1,Chan2019,fifteen,15,síphǎa,siphaa,,false,10+5,,
17,numerals-tayy1238-1-sixteen-1,numerals-tayy1238-1,Chan2019,sixteen,16,síphók,siphok,,false,10+6,,
18,numerals-tayy1238-1-seventeen-1,numerals-tayy1238-1,Chan2019,seventeen,17,sípcét,sipcet,,false,10+7,,
19,numerals-tayy1238-1-eighteen-1,numerals-tayy1238-1,Chan2019,eighteen,18,síppɛ́t,sippet,,false,10+8,,
20,numerals-tayy1238-1-nineteen-1,numerals-tayy1238-1,Chan2019,nineteen,19,sípkǎw,sipkaw,,false,10+9,,
21,numerals-tayy1238-1-twenty-1,numerals-tayy1238-1,Chan2019,twenty,20,yî síp,yisip,,false,2′⋅10,,
22,numerals-tayy1238-1-twentyone-1,numerals-tayy1238-1,Chan2019,twentyone,21,yî sípʔə́t,yisipat,,false,(2′⋅10)+1′,,
23,numerals-tayy1238-1-twentytwo-1,numerals-tayy1238-1,Chan2019,twentytwo,22,yî síp yî,yisipyi,,false,(2′⋅10)+2′,,
24,numerals-tayy1238-1-twentythree-1,numerals-tayy1238-1,Chan2019,twentythree,23,yî síp saam,yisipsaam,,false,(2′⋅10)+3,,
25,numerals-tayy1238-1-twentyfour-1,numerals-tayy1238-1,Chan2019,twentyfour,24,yî síp sì,yisipsi,,false,(2′⋅10)+4,,
26,numerals-tayy1238-1-twentyfive-1,numerals-tayy1238-1,Chan2019,twentyfive,25,yî síp hǎa,yisiphaa,,false,(2′⋅10)+5,,
27,numerals-tayy1238-1-twentysix-1,numerals-tayy1238-1,Chan2019,twentysix,26,yî síp hók,yisiphok,,false,(2′⋅10)+6,,
28,numerals-tayy1238-1-twentyseven-1,numerals-tayy1238-1,Chan2019,twentyseven,27,yî síp cét,yisipcet,,false,(2′⋅10)+7,,
29,numerals-tayy1238-1-twentyeight-1,numerals-tayy1238-1,Chan2019,twentyeight,28,yî síp pɛ́t,yisippet,,false,(2′⋅10)+8,,
30,numerals-tayy1238-1-twentynine-1,numerals-tayy1238-1,Chan2019,twentynine,29,yî síp kǎw,yisipkaw,,false,(2′⋅10)+9,,
31,numerals-tayy1238-1-thirty-1,numerals-tayy1238-1,Chan2019,thirty,30,saam síp,saamsip,,false,3⋅10,,
32,numerals-tayy1238-1-forty-1,numerals-tayy1238-1,Chan2019,forty,40,sì síp,sisip,,false,4⋅10,,
33,numerals-tayy1238-1-fifty-1,numerals-tayy1238-1,Chan2019,fifty,50,hǎa síp,haasip,,false,5⋅10,,
34,numerals-tayy1238-1-sixty-1,numerals-tayy1238-1,Chan2019,sixty,60,hóksíp,hoksip,,false,6⋅10,,
35,numerals-tayy1238-1-seventy-1,numerals-tayy1238-1,Chan2019,seventy,70,cét síp,cetsip,,false,7⋅10,,
36,numerals-tayy1238-1-eighty-1,numerals-tayy1238-1,Chan2019,eighty,80,pɛ́t síp,petsip,,false,8⋅10,,
37,numerals-tayy1238-1-ninety-1,numerals-tayy1238-1,Chan2019,ninety,90,kǎw síp,kawsip,,false,9⋅10,,
38,numerals-tayy1238-1-hundred-1,numerals-tayy1238-1,Chan2019,hundred,100,pàak,paak,,false,100,,
39,numerals-tayy1238-1-twohundred-1,numerals-tayy1238-1,Chan2019,twohundred,200,sɔŋ pàak,songpaak,,false,2⋅100,,
40,numerals-tayy1238-1-thousand-1,numerals-tayy1238-1,Chan2019,thousand,1000,sìn,sin,,false,1000,,
41,numerals-tayy1238-1-twothousand-1,numerals-tayy1238-1,Chan2019,twothousand,2000,sɔŋ sìn,songsin,,false,2⋅1000,,
