,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,sand-Khiamniungan-one-1,sand-Khiamniungan,Mamta2023,one,1,ʦa,tsa,,,1,,
2,sand-Khiamniungan-two-1,sand-Khiamniungan,Mamta2023,two,2,lɘme,leme,,,2,,
3,sand-Khiamniungan-three-1,sand-Khiamniungan,Mamta2023,three,3,sɘme,seme,,,3,,
4,sand-Khiamniungan-four-1,sand-Khiamniungan,Mamta2023,four,4,pɘle,pele,,,4,,
5,sand-Khiamniungan-five-1,sand-Khiamniungan,Mamta2023,five,5,puŋu,pungu,,,5,,
6,sand-Khiamniungan-six-1,sand-Khiamniungan,Mamta2023,six,6,lɘwok,lewok,,,6,,
7,sand-Khiamniungan-seven-1,sand-Khiamniungan,Mamta2023,seven,7,ʦɘɲet,tsenet,,,7,,
8,sand-Khiamniungan-eight-1,sand-Khiamniungan,Mamta2023,eight,8,pɘʧe,petse,,,8,,
9,sand-Khiamniungan-nine-1,sand-Khiamniungan,Mamta2023,nine,9,lɘkau,lekau,,,9,,
10,sand-Khiamniungan-ten-1,sand-Khiamniungan,Mamta2023,ten,10,ʦe,tse,,,10,,
11,sand-Khiamniungan-eleven-1,sand-Khiamniungan,Mamta2023,eleven,11,ʦɘ-kɘ-ʦa,tseketsa,,,10+{Lig}1,,
12,sand-Khiamniungan-twelve-1,sand-Khiamniungan,Mamta2023,twelve,12,ʦɘ-kɘ-lɘme,tsekeleme,,,10+{Lig}2,,
13,sand-Khiamniungan-thirteen-1,sand-Khiamniungan,Mamta2023,thirteen,13,ʦɘ-kɘ-sɘme,tsekeseme,,,10+{Lig}3,,
14,sand-Khiamniungan-fourteen-1,sand-Khiamniungan,Mamta2023,fourteen,14,ʦɘ-kɘ-pɘle,tsekepele,,,10+{Lig}4,,
15,sand-Khiamniungan-fifteen-1,sand-Khiamniungan,Mamta2023,fifteen,15,ʦɘ-kɘ-muŋu,tsekemungu,,,10+{Lig}5,,
