,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,sand-Lotha_2-one-1,sand-Lotha_2,Mamta2023,one,1,moʦɘŋa,motsenga,,,1,,
2,sand-Lotha_2-two-1,sand-Lotha_2,Mamta2023,two,2,ini,ini,,,2,,
3,sand-Lotha_2-three-1,sand-Lotha_2,Mamta2023,three,3,etʰəm,etham,,,3,,
4,sand-Lotha_2-four-1,sand-Lotha_2,Mamta2023,four,4,meʒɘ,meze,,,4,,
5,sand-Lotha_2-five-1,sand-Lotha_2,Mamta2023,five,5,moŋo,mongo,,,5,,
6,sand-Lotha_2-six-1,sand-Lotha_2,Mamta2023,six,6,tiɹok,tirok,,,6,,
7,sand-Lotha_2-seven-1,sand-Lotha_2,Mamta2023,seven,7,tijəŋ,tijang,,,7,,
8,sand-Lotha_2-eight-1,sand-Lotha_2,Mamta2023,eight,8,tiza,tiza,,,8,,
9,sand-Lotha_2-nine-1,sand-Lotha_2,Mamta2023,nine,9,tokfɘ,tokfe,,,9,,
10,sand-Lotha_2-ten-1,sand-Lotha_2,Mamta2023,ten,10,taɹo,taro,,,10,,
11,sand-Lotha_2-eleven-1,sand-Lotha_2,Mamta2023,eleven,11,taɹo-ekʰa,taroekha,,,10+1,,
12,sand-Lotha_2-twelve-1,sand-Lotha_2,Mamta2023,twelve,12,taɹo-ini,taroini,,,10+2,,
13,sand-Lotha_2-thirteen-1,sand-Lotha_2,Mamta2023,thirteen,13,taɹe-etʰəm,tareetham,,,10+3,,
14,sand-Lotha_2-fourteen-1,sand-Lotha_2,Mamta2023,fourteen,14,taɹo-meʒɘ,taromeze,,,10+4,,
15,sand-Lotha_2-fifteen-1,sand-Lotha_2,Mamta2023,fifteen,15,taɹo-moŋo,taromongo,,,10+5,,
16,sand-Lotha_2-sixteen-1,sand-Lotha_2,Mamta2023,sixteen,16,taɹo-tiɹok,tarotirok,,,10+6,,
17,sand-Lotha_2-seventeen-1,sand-Lotha_2,Mamta2023,seventeen,17,taɹo-tijəŋ,tarotijang,,,10+7,,
18,sand-Lotha_2-eighteen-1,sand-Lotha_2,Mamta2023,eighteen,18,taɹo-tiza,tarotiza,,,10+8,,
19,sand-Lotha_2-nineteen-1,sand-Lotha_2,Mamta2023,nineteen,19,taɹo-tokfɘ,tarotokfe,,,10+9,,
20,sand-Lotha_2-twenty-1,sand-Lotha_2,Mamta2023,twenty,20,mikju,mikju,,,20,,
21,sand-Lotha_2-twentyone-1,sand-Lotha_2,Mamta2023,twentyone,21,mikju-ekʰa,mikjuekha,,,20+1,,
22,sand-Lotha_2-twentytwo-1,sand-Lotha_2,Mamta2023,twentytwo,22,mikju-ini,mikjuini,,,20+2,,
23,sand-Lotha_2-twentythree-1,sand-Lotha_2,Mamta2023,twentythree,23,mikju-etʰəm,mikjuetham,,,20+3,,
24,sand-Lotha_2-twentyfour-1,sand-Lotha_2,Mamta2023,twentyfour,24,mikju-meʒɘ,mikjumeze,,,20+4,,
25,sand-Lotha_2-twentyfive-1,sand-Lotha_2,Mamta2023,twentyfive,25,mikju-moŋo,mikjumongo,,,20+5,,
26,sand-Lotha_2-twentysix-1,sand-Lotha_2,Mamta2023,twentysix,26,mikju-tiɹok,mikjutirok,,,20+6,,
27,sand-Lotha_2-twentyseven-1,sand-Lotha_2,Mamta2023,twentyseven,27,mikju-tijəŋ,mikjutijang,,,20+7,,
28,sand-Lotha_2-twentyeight-1,sand-Lotha_2,Mamta2023,twentyeight,28,mikju-tiza,mikjutiza,,,20+8,,
29,sand-Lotha_2-twentynine-1,sand-Lotha_2,Mamta2023,twentynine,29,mikju-tokfɘ,mikjutokfe,,,20+9,,
30,sand-Lotha_2-thirty-1,sand-Lotha_2,Mamta2023,thirty,30,tʰɘmɹo,themro,,,3⋅10,,
31,sand-Lotha_2-thirtyone-1,sand-Lotha_2,Mamta2023,thirtyone,31,tʰɘmɹo-ekʰa,themroekha,,,(3⋅10)+1,,
32,sand-Lotha_2-thirtytwo-1,sand-Lotha_2,Mamta2023,thirtytwo,32,tʰɘmɹo-ini,themroini,,,(3⋅10)+2,,
33,sand-Lotha_2-thirtythree-1,sand-Lotha_2,Mamta2023,thirtythree,33,tʰɘmɹo-etʰəm,themroetham,,,(3⋅10)+3,,
34,sand-Lotha_2-thirtyfour-1,sand-Lotha_2,Mamta2023,thirtyfour,34,tʰɘmɹo-meʒɘ,themromeze,,,(3⋅10)+4,,
35,sand-Lotha_2-thirtyfive-1,sand-Lotha_2,Mamta2023,thirtyfive,35,tʰɘmɹo-moŋo,themromongo,,,(3⋅10)+5,,
