,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-bana1305-1-one-1,numerals-bana1305-1,Chan2019,one,1,tánə̀,tana,,false,1,NA,NA
2,numerals-bana1305-1-two-1,numerals-bana1305-1,Chan2019,two,2,bákə̀,baka,,false,2,NA,NA
3,numerals-bana1305-1-three-1,numerals-bana1305-1,Chan2019,three,3,máhə̀kánə̀,mahakana,,false,3,NA,NA
4,numerals-bana1305-1-four-1,numerals-bana1305-1,Chan2019,four,4,fáɗə̀,fada,,false,4,NA,NA
5,numerals-bana1305-1-five-1,numerals-bana1305-1,Chan2019,five,5,cífə̀,cifa,,false,5,NA,NA
6,numerals-bana1305-1-six-1,numerals-bana1305-1,Chan2019,six,6,kwáŋ,kwang,,false,6,NA,NA
7,numerals-bana1305-1-seven-1,numerals-bana1305-1,Chan2019,seven,7,bə̀rfàŋ,barfang,,false,7,NA,NA
8,numerals-bana1305-1-eight-1,numerals-bana1305-1,Chan2019,eight,8,də̀ɣə̀sə̀,dagasa,,false,8,NA,NA
9,numerals-bana1305-1-nine-1,numerals-bana1305-1,Chan2019,nine,9,mə̀ɬísɗə̀,malisda,,false,9,NA,NA
10,numerals-bana1305-1-ten-1,numerals-bana1305-1,Chan2019,ten,10,mə̀ŋ,mang,,false,10,NA,NA
11,numerals-bana1305-1-eleven-1,numerals-bana1305-1,Chan2019,eleven,11,mə̀ŋ lə̀ tánə̀,manglatana,,false,10+{+}1,NA,NA
12,numerals-bana1305-1-twelve-1,numerals-bana1305-1,Chan2019,twelve,12,mə̀ŋ lə̀ bakə,manglabaka,,false,10+{+}2,NA,NA
13,numerals-bana1305-1-thirteen-1,numerals-bana1305-1,Chan2019,thirteen,13,mə̀ŋ lə̀ mahkan,manglamahkan,,false,10+{+}3,NA,NA
14,numerals-bana1305-1-fourteen-1,numerals-bana1305-1,Chan2019,fourteen,14,mə̀ŋ lə̀ faɗə,manglafada,,false,10+{+}4,NA,NA
15,numerals-bana1305-1-fifteen-1,numerals-bana1305-1,Chan2019,fifteen,15,mə̀ŋ lə̀ cifə,manglacifa,,false,10+{+}5,NA,NA
16,numerals-bana1305-1-sixteen-1,numerals-bana1305-1,Chan2019,sixteen,16,mə̀ŋ lə̀ kwaŋ,manglakwang,,false,10+{+}6,NA,NA
17,numerals-bana1305-1-seventeen-1,numerals-bana1305-1,Chan2019,seventeen,17,mə̀ŋ lə̀ mbərfəŋ,manglambarfang,,false,10+{+}7,NA,NA
18,numerals-bana1305-1-eighteen-1,numerals-bana1305-1,Chan2019,eighteen,18,mə̀ŋ lə̀ dəghəs,mangladaghas,,false,10+{+}8,NA,NA
19,numerals-bana1305-1-nineteen-1,numerals-bana1305-1,Chan2019,nineteen,19,mə̀ŋ lə̀ məsliɗ,manglamaslid,,false,10+{+}9,NA,NA
20,numerals-bana1305-1-twenty-1,numerals-bana1305-1,Chan2019,twenty,20,bákə̀ mə̀cə̀kə̀,bakamacaka,,false,2[⋅]10{⋅},NA,NA
21,numerals-bana1305-1-twentyone-1,numerals-bana1305-1,Chan2019,twentyone,21,bákə̀ mə̀cə̀kə̀ tánə̀tí,bakamacakatanati,,false,2[⋅]10{⋅}[+]1{+},NA,NA
22,numerals-bana1305-1-twentytwo-1,numerals-bana1305-1,Chan2019,twentytwo,22,bákə̀ mə̀cə̀kə̀ bákə̀tí,bakamacakabakati,,false,2[⋅]10{⋅}[+]2{+},NA,NA
23,numerals-bana1305-1-twentythree-1,numerals-bana1305-1,Chan2019,twentythree,23,bákə̀ mə̀cə̀kə̀ máhə̀kánə̀tí,bakamacakamahakanati,,false,2[⋅]10{⋅}[+]3{+},NA,NA
24,numerals-bana1305-1-twentyfour-1,numerals-bana1305-1,Chan2019,twentyfour,24,bákə̀ mə̀cə̀kə̀ fáɗə̀tí,bakamacakafadati,,false,2[⋅]10{⋅}[+]4{+},NA,NA
