,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-cadd1256-1-one-1,numerals-cadd1256-1,Chan2019,one,1,wístsʼiʔ,wistsi,,false,1,NA,NA
2,numerals-cadd1256-1-two-1,numerals-cadd1256-1,Chan2019,two,2,bit,bit,,false,2,NA,NA
3,numerals-cadd1256-1-three-1,numerals-cadd1256-1,Chan2019,three,3,dahawʔ,dahaw,,false,3,NA,NA
4,numerals-cadd1256-1-four-1,numerals-cadd1256-1,Chan2019,four,4,hiwiʔ,hiwi,,false,4,NA,NA
5,numerals-cadd1256-1-five-1,numerals-cadd1256-1,Chan2019,five,5,diːsikʼan,disikan,,false,5,NA,NA
6,numerals-cadd1256-1-six-1,numerals-cadd1256-1,Chan2019,six,6,dánkih,dankih,,false,6,NA,NA
7,numerals-cadd1256-1-seven-1,numerals-cadd1256-1,Chan2019,seven,7,bíssikah,bissikah,,false,2+5′,NA,NA
8,numerals-cadd1256-1-eight-1,numerals-cadd1256-1,Chan2019,eight,8,dahàːwsikah,dahawsikah,,false,3+5′,NA,NA
9,numerals-cadd1256-1-nine-1,numerals-cadd1256-1,Chan2019,nine,9,híwìːsikah,hiwisikah,,false,4+5′,NA,NA
10,numerals-cadd1256-1-ten-1,numerals-cadd1256-1,Chan2019,ten,10,bínáyʔah,binayah,,false,10,Possibly 2⋅5″ but the initial bí- may also be a coincidence.,NA
11,numerals-cadd1256-1-eleven-1,numerals-cadd1256-1,Chan2019,eleven,11,bínáyʔah háyú wístsʼiʔ,binayahhayuwistsi,,false,10+1,NA,NA
12,numerals-cadd1256-1-twelve-1,numerals-cadd1256-1,Chan2019,twelve,12,bínáyʔah háyú bit,binayahhayubit,,false,10+2,NA,NA
13,numerals-cadd1256-1-thirteen-1,numerals-cadd1256-1,Chan2019,thirteen,13,bínáyʔah háyú dahawʔ,binayahhayudahaw,,false,10+3,NA,NA
14,numerals-cadd1256-1-fourteen-1,numerals-cadd1256-1,Chan2019,fourteen,14,bínáyʔah háyú hiwiʔ,binayahhayuhiwi,,false,10+4,NA,NA
15,numerals-cadd1256-1-fifteen-1,numerals-cadd1256-1,Chan2019,fifteen,15,bínáyʔah háyú diːsikʼan,binayahhayudisikan,,false,10+5,NA,NA
16,numerals-cadd1256-1-sixteen-1,numerals-cadd1256-1,Chan2019,sixteen,16,bínáyʔah háyú dánkih,binayahhayudankih,,false,10+6,NA,NA
17,numerals-cadd1256-1-seventeen-1,numerals-cadd1256-1,Chan2019,seventeen,17,bínáyʔah háyú bíssikah,binayahhayubissikah,,false,10+2+5′,NA,NA
18,numerals-cadd1256-1-eighteen-1,numerals-cadd1256-1,Chan2019,eighteen,18,bínáyʔah háyú dahàːwsikah,binayahhayudahawsikah,,false,10+3+5′,NA,NA
19,numerals-cadd1256-1-nineteen-1,numerals-cadd1256-1,Chan2019,nineteen,19,bínáyʔah háyú híwìːsikah,binayahhayuhiwisikah,,false,10+4+5′,NA,NA
20,numerals-cadd1256-1-twenty-1,numerals-cadd1256-1,Chan2019,twenty,20,bínáyʔah bit,binayahbit,,false,10⋅2,NA,NA
21,numerals-cadd1256-1-twentyone-1,numerals-cadd1256-1,Chan2019,twentyone,21,bínáyʔah bit háyú wístsʼiʔ,binayahbithayuwistsi,,false,10⋅2+1,NA,NA
22,numerals-cadd1256-1-twentytwo-1,numerals-cadd1256-1,Chan2019,twentytwo,22,bínáyʔah bit háyú bit,binayahbithayubit,,false,10⋅2+2,NA,NA
23,numerals-cadd1256-1-twentythree-1,numerals-cadd1256-1,Chan2019,twentythree,23,bínáyʔah bit háyú dahawʔ,binayahbithayudahaw,,false,10⋅2+3,NA,NA
24,numerals-cadd1256-1-twentyfour-1,numerals-cadd1256-1,Chan2019,twentyfour,24,bínáyʔah bit háyú hiwiʔ,binayahbithayuhiwi,,false,10⋅2+4,NA,NA
25,numerals-cadd1256-1-twentyfive-1,numerals-cadd1256-1,Chan2019,twentyfive,25,bínáyʔah bit háyú diːsikʼan,binayahbithayudisikan,,false,10⋅2+5,NA,NA
26,numerals-cadd1256-1-twentysix-1,numerals-cadd1256-1,Chan2019,twentysix,26,bínáyʔah bit háyú dánkih,binayahbithayudankih,,false,10⋅2+6,NA,NA
27,numerals-cadd1256-1-twentyseven-1,numerals-cadd1256-1,Chan2019,twentyseven,27,bínáyʔah bit háyú bíssikah,binayahbithayubissikah,,false,10⋅2+2+5′,NA,NA
28,numerals-cadd1256-1-twentyeight-1,numerals-cadd1256-1,Chan2019,twentyeight,28,bínáyʔah bit háyú dahàːwsikah,binayahbithayudahawsikah,,false,10⋅2+3+5′,NA,NA
29,numerals-cadd1256-1-twentynine-1,numerals-cadd1256-1,Chan2019,twentynine,29,bínáyʔah bit háyú híwìːsikah,binayahbithayuhiwisikah,,false,10⋅2+4+5′,NA,NA
30,numerals-cadd1256-1-thirty-1,numerals-cadd1256-1,Chan2019,thirty,30,bínáyʔah dahawʔ,binayahdahaw,,false,10⋅3,NA,NA
31,numerals-cadd1256-1-forty-1,numerals-cadd1256-1,Chan2019,forty,40,bínáyʔah hiwiʔ,binayahhiwi,,false,10⋅4,NA,NA
32,numerals-cadd1256-1-fifty-1,numerals-cadd1256-1,Chan2019,fifty,50,bínáyʔah diːsikʼan,binayahdisikan,,false,10⋅5,NA,NA
33,numerals-cadd1256-1-sixty-1,numerals-cadd1256-1,Chan2019,sixty,60,bínáyʔah dánkih,binayahdankih,,false,10⋅6,NA,NA
34,numerals-cadd1256-1-seventy-1,numerals-cadd1256-1,Chan2019,seventy,70,bínáyʔah bíssikah,binayahbissikah,,false,10⋅(2+5′),NA,NA
35,numerals-cadd1256-1-eighty-1,numerals-cadd1256-1,Chan2019,eighty,80,bínáyʔah dahàːwsikah,binayahdahawsikah,,false,10⋅(3+5′),NA,NA
36,numerals-cadd1256-1-ninety-1,numerals-cadd1256-1,Chan2019,ninety,90,bínáyʔah híwìːsikah,binayahhiwisikah,,false,10⋅(4+5′),NA,NA
37,numerals-cadd1256-1-hundred-1,numerals-cadd1256-1,Chan2019,hundred,100,wístsʼiʔ haishuh,wistsihaishuh,,false,1⋅100,NA,NA
38,numerals-cadd1256-1-twohundred-1,numerals-cadd1256-1,Chan2019,twohundred,200,bit haishuh,bithaishuh,,false,2⋅100,NA,NA
39,numerals-cadd1256-1-thousand-1,numerals-cadd1256-1,Chan2019,thousand,1000,wístsʼiʔ hanistiʔ,wistsihanisti,,false,1⋅1000,NA,NA
40,numerals-cadd1256-1-twothousand-1,numerals-cadd1256-1,Chan2019,twothousand,2000,bit hanistiʔ,bithanisti,,false,2⋅1000,NA,NA
