,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-chal1275-1-one-1,numerals-chal1275-1,Chan2019,one,1,xaːʔ,xa,(f. ɣðaːʔ),false,1,NA,NA
2,numerals-chal1275-1-two-1,numerals-chal1275-1,Chan2019,two,2,treʔ,tre,(f. tətˈteʔ),false,2,NA,NA
3,numerals-chal1275-1-three-1,numerals-chal1275-1,Chan2019,three,3,tˁlaːθa,tlatha,(f. tˁəllaθ),false,3,NA,NA
4,numerals-chal1275-1-four-1,numerals-chal1275-1,Chan2019,four,4,ʔarba,arba,(f. ʔarbəʔ),false,4,NA,NA
5,numerals-chal1275-1-five-1,numerals-chal1275-1,Chan2019,five,5,xamʃa,xamsa,(f. xamməʃ),false,5,NA,NA
6,numerals-chal1275-1-six-1,numerals-chal1275-1,Chan2019,six,6,ʔəʃta,asta,(f. ʔəʃʃət),false,6,NA,NA
7,numerals-chal1275-1-seven-1,numerals-chal1275-1,Chan2019,seven,7,ʃoʔa,soa,(f. ʔəʃwaʔ),false,7,NA,NA
8,numerals-chal1275-1-eight-1,numerals-chal1275-1,Chan2019,eight,8,tmanya,tmanya,(f. tmaːnəʔ),false,8,NA,NA
9,numerals-chal1275-1-nine-1,numerals-chal1275-1,Chan2019,nine,9,təʃʔa,tasa,(f. təʃʃaʔ),false,9,NA,NA
10,numerals-chal1275-1-ten-1,numerals-chal1275-1,Chan2019,ten,10,ʔəsrˁa,asra,(f. ʔəssar),false,10,NA,NA
11,numerals-chal1275-1-eleven-1,numerals-chal1275-1,Chan2019,eleven,11,xadesar,xadesar,,false,1+10,NA,NA
12,numerals-chal1275-1-twelve-1,numerals-chal1275-1,Chan2019,twelve,12,tresar,tresar,,false,2+10,NA,NA
13,numerals-chal1275-1-thirteen-1,numerals-chal1275-1,Chan2019,thirteen,13,təltaːsar,taltasar,,false,3+10,NA,NA
14,numerals-chal1275-1-fourteen-1,numerals-chal1275-1,Chan2019,fourteen,14,ʔarbaːsar,arbasar,,false,4+10,NA,NA
15,numerals-chal1275-1-fifteen-1,numerals-chal1275-1,Chan2019,fifteen,15,xamʃaːsar,xamsasar,,false,5+10,NA,NA
16,numerals-chal1275-1-sixteen-1,numerals-chal1275-1,Chan2019,sixteen,16,ʔəʃtaːsar,astasar,,false,6+10,NA,NA
17,numerals-chal1275-1-seventeen-1,numerals-chal1275-1,Chan2019,seventeen,17,ʔəʃwaːsar,aswasar,,false,7+10,NA,NA
18,numerals-chal1275-1-eighteen-1,numerals-chal1275-1,Chan2019,eighteen,18,tmanesar,tmanesar,,false,8+10,NA,NA
19,numerals-chal1275-1-nineteen-1,numerals-chal1275-1,Chan2019,nineteen,19,ʔətʃaːsar,atsasar,,false,9+10,NA,NA
20,numerals-chal1275-1-twenty-1,numerals-chal1275-1,Chan2019,twenty,20,ʔəsri,asri,,false,10[⋅2]{PL},NA,NA
21,numerals-chal1275-1-twentyone-1,numerals-chal1275-1,Chan2019,twentyone,21,ˈxo-ʔəsri,xoasri,<*xa u ʔəsri ‘one and twenty’,false,1+{and}10[⋅2]{PL},NA,NA
22,numerals-chal1275-1-twentytwo-1,numerals-chal1275-1,Chan2019,twentytwo,22,ˈtreʔ-u-ʔəsri,treuasri,,false,2+{and}10[⋅2]{PL},NA,NA
23,numerals-chal1275-1-twentythree-1,numerals-chal1275-1,Chan2019,twentythree,23,tˁlaːˈθo-ʔəsri,tlathoasri,,false,3+{and}10[⋅2]{PL},NA,NA
