,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-fore1274-1-one-1,numerals-fore1274-1,Chan2019,one,1,ŋoːpʔ,ngop,,false,1,NA,NA
2,numerals-fore1274-1-two-1,numerals-fore1274-1,Chan2019,two,2,ʄitʲa,jitja,,false,2,NA,NA
3,numerals-fore1274-1-three-1,numerals-fore1274-1,Chan2019,three,3,nʲaɦaɬʔ,njahal,,false,3,NA,NA
4,numerals-fore1274-1-four-1,numerals-fore1274-1,Chan2019,four,4,tʲeʰt,tjeht,,false,4,NA,NA
5,numerals-fore1274-1-five-1,numerals-fore1274-1,Chan2019,five,5,hampɬaɧk,hamplahk,,false,5,NA,NA
6,numerals-fore1274-1-six-1,numerals-fore1274-1,Chan2019,six,6,mattʔ,matt,,false,6,NA,NA
7,numerals-fore1274-1-seven-1,numerals-fore1274-1,Chan2019,seven,7,ʄeʔew,jeew,,false,7,NA,NA
8,numerals-fore1274-1-eight-1,numerals-fore1274-1,Chan2019,eight,8,ʄattʲet,jattjet,,false,2⋅4,NA,NA
9,numerals-fore1274-1-nine-1,numerals-fore1274-1,Chan2019,nine,9,kaːʄemjuʔ,kajemju,,false,9,NA,NA
10,numerals-fore1274-1-ten-1,numerals-fore1274-1,Chan2019,ten,10,juʔ,ju,,false,10,NA,NA
11,numerals-fore1274-1-eleven-1,numerals-fore1274-1,Chan2019,eleven,11,ŋoːpʔ jaŋknʲa,ngopjangknja,,false,1+10,NA,NA
12,numerals-fore1274-1-twelve-1,numerals-fore1274-1,Chan2019,twelve,12,ʄitʲa jaŋknʲa,jitjajangknja,,false,2+10,NA,NA
13,numerals-fore1274-1-thirteen-1,numerals-fore1274-1,Chan2019,thirteen,13,nʲaɦaɬʔ jaŋknʲa,njahaljangknja,,false,3+10,NA,NA
14,numerals-fore1274-1-fourteen-1,numerals-fore1274-1,Chan2019,fourteen,14,tʲeʰt jaŋknʲa,tjehtjangknja,,false,4+10,NA,NA
15,numerals-fore1274-1-fifteen-1,numerals-fore1274-1,Chan2019,fifteen,15,hampɬaɧk jaŋknʲa,hamplahkjangknja,,false,5+10,NA,NA
16,numerals-fore1274-1-sixteen-1,numerals-fore1274-1,Chan2019,sixteen,16,mattʔ jaŋknʲa,mattjangknja,,false,6+10,NA,NA
17,numerals-fore1274-1-seventeen-1,numerals-fore1274-1,Chan2019,seventeen,17,ʄeʔew jaŋknʲa,jeewjangknja,,false,7+10,NA,NA
18,numerals-fore1274-1-eighteen-1,numerals-fore1274-1,Chan2019,eighteen,18,ʄattʲet jaŋknʲa,jattjetjangknja,,false,2⋅4+10,NA,NA
19,numerals-fore1274-1-nineteen-1,numerals-fore1274-1,Chan2019,nineteen,19,kaːʄemjuʔ jaŋknʲa,kajemjujangknja,,false,9+10,NA,NA
20,numerals-fore1274-1-twenty-1,numerals-fore1274-1,Chan2019,twenty,20,ʄitʲa juʔ,jitjaju,,false,2⋅10,NA,NA
21,numerals-fore1274-1-twentyone-1,numerals-fore1274-1,Chan2019,twentyone,21,ʄitʲa juɧ ŋoːpʔ,jitjajuhngop,,false,2⋅10+1,NA,NA
22,numerals-fore1274-1-twentytwo-1,numerals-fore1274-1,Chan2019,twentytwo,22,ʄitʲa juɧ ʄitʲa,jitjajuhjitja,,false,2⋅10+2,NA,NA
23,numerals-fore1274-1-twentythree-1,numerals-fore1274-1,Chan2019,twentythree,23,ʄitʲa juɧ nʲaɦaɬʔ,jitjajuhnjahal,,false,2⋅10+3,NA,NA
24,numerals-fore1274-1-twentyfour-1,numerals-fore1274-1,Chan2019,twentyfour,24,ʄitʲa juɧ tʲeʰt,jitjajuhtjeht,,false,2⋅10+4,NA,NA
25,numerals-fore1274-1-twentyfive-1,numerals-fore1274-1,Chan2019,twentyfive,25,ʄitʲa juɧ hampɬaɧk,jitjajuhhamplahk,,false,2⋅10+5,NA,NA
26,numerals-fore1274-1-twentysix-1,numerals-fore1274-1,Chan2019,twentysix,26,ʄitʲa juɧ mattʔ,jitjajuhmatt,,false,2⋅10+6,NA,NA
27,numerals-fore1274-1-twentyseven-1,numerals-fore1274-1,Chan2019,twentyseven,27,ʄitʲa juɧ ʄeʔew,jitjajuhjeew,,false,2⋅10+7,NA,NA
