,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-inar1241-1-one-1,numerals-inar1241-1,Chan2019,one,1,ohtâ,ohta,,false,1,NA,NA
2,numerals-inar1241-1-two-1,numerals-inar1241-1,Chan2019,two,2,kyehti,kyehti,,false,2,NA,NA
3,numerals-inar1241-1-three-1,numerals-inar1241-1,Chan2019,three,3,kulmâ,kulma,,false,3,NA,NA
4,numerals-inar1241-1-four-1,numerals-inar1241-1,Chan2019,four,4,nelji,nelji,,false,4,NA,NA
5,numerals-inar1241-1-five-1,numerals-inar1241-1,Chan2019,five,5,vittâ,vitta,,false,5,NA,NA
6,numerals-inar1241-1-six-1,numerals-inar1241-1,Chan2019,six,6,kuttǎ,kutta,,false,6,NA,NA
7,numerals-inar1241-1-seven-1,numerals-inar1241-1,Chan2019,seven,7,čiččâm,ciccam,,false,7,NA,NA
8,numerals-inar1241-1-eight-1,numerals-inar1241-1,Chan2019,eight,8,käävci,kaavci,,false,8,NA,NA
9,numerals-inar1241-1-nine-1,numerals-inar1241-1,Chan2019,nine,9,oovce,oovce,,false,9,NA,NA
10,numerals-inar1241-1-ten-1,numerals-inar1241-1,Chan2019,ten,10,love,love,,false,10,NA,NA
11,numerals-inar1241-1-eleven-1,numerals-inar1241-1,Chan2019,eleven,11,ohtnubáloh,ohtnubaloh,,false,1+10′,NA,NA
12,numerals-inar1241-1-twelve-1,numerals-inar1241-1,Chan2019,twelve,12,kyehtnubáloh,kyehtnubaloh,,false,2+10′,NA,NA
13,numerals-inar1241-1-thirteen-1,numerals-inar1241-1,Chan2019,thirteen,13,kulmânubáloh,kulmanubaloh,,false,3+10′,NA,NA
14,numerals-inar1241-1-fourteen-1,numerals-inar1241-1,Chan2019,fourteen,14,neljinubáloh,neljinubaloh,,false,4+10′,NA,NA
15,numerals-inar1241-1-fifteen-1,numerals-inar1241-1,Chan2019,fifteen,15,vittnubáloh,vittnubaloh,,false,5+10′,NA,NA
16,numerals-inar1241-1-sixteen-1,numerals-inar1241-1,Chan2019,sixteen,16,kuttnubáloh,kuttnubaloh,,false,6+10′,NA,NA
17,numerals-inar1241-1-seventeen-1,numerals-inar1241-1,Chan2019,seventeen,17,čiččâmnubáloh,ciccamnubaloh,,false,7+10′,NA,NA
18,numerals-inar1241-1-eighteen-1,numerals-inar1241-1,Chan2019,eighteen,18,käävcinubáloh,kaavcinubaloh,,false,8+10′,NA,NA
19,numerals-inar1241-1-nineteen-1,numerals-inar1241-1,Chan2019,nineteen,19,oovcinubáloh,oovcinubaloh,,false,9+10′,NA,NA
20,numerals-inar1241-1-twenty-1,numerals-inar1241-1,Chan2019,twenty,20,kyehtlov,kyehtlov,,false,2⋅10,NA,NA
21,numerals-inar1241-1-twentyone-1,numerals-inar1241-1,Chan2019,twentyone,21,kyehtlovohtâ,kyehtlovohta,,false,2⋅10+1,NA,NA
22,numerals-inar1241-1-twentytwo-1,numerals-inar1241-1,Chan2019,twentytwo,22,kyehtlovkyehti,kyehtlovkyehti,,false,2⋅10+2,NA,NA
23,numerals-inar1241-1-twentythree-1,numerals-inar1241-1,Chan2019,twentythree,23,kyehtlovkulmâ,kyehtlovkulma,,false,2⋅10+3,NA,NA
24,numerals-inar1241-1-twentyfour-1,numerals-inar1241-1,Chan2019,twentyfour,24,kyehtlovnelji,kyehtlovnelji,,false,2⋅10+4,NA,NA
25,numerals-inar1241-1-twentyfive-1,numerals-inar1241-1,Chan2019,twentyfive,25,kyehtlovvittâ,kyehtlovvitta,,false,2⋅10+5,NA,NA
26,numerals-inar1241-1-twentysix-1,numerals-inar1241-1,Chan2019,twentysix,26,kyehtlovkuttǎ,kyehtlovkutta,,false,2⋅10+6,NA,NA
27,numerals-inar1241-1-twentyseven-1,numerals-inar1241-1,Chan2019,twentyseven,27,kyehtlovčiččâm,kyehtlovciccam,,false,2⋅10+7,NA,NA
28,numerals-inar1241-1-twentyeight-1,numerals-inar1241-1,Chan2019,twentyeight,28,kyehtlovkäävci,kyehtlovkaavci,,false,2⋅10+8,NA,NA
29,numerals-inar1241-1-twentynine-1,numerals-inar1241-1,Chan2019,twentynine,29,kyehtlovoovce,kyehtlovoovce,,false,2⋅10+9,NA,NA
30,numerals-inar1241-1-thirty-1,numerals-inar1241-1,Chan2019,thirty,30,kulmâlov,kulmalov,,false,3⋅10,NA,NA
31,numerals-inar1241-1-forty-1,numerals-inar1241-1,Chan2019,forty,40,neljilov,neljilov,,false,4⋅10,NA,NA
32,numerals-inar1241-1-fifty-1,numerals-inar1241-1,Chan2019,fifty,50,vittlov,vittlov,,false,5⋅10,NA,NA
33,numerals-inar1241-1-sixty-1,numerals-inar1241-1,Chan2019,sixty,60,kuttlov,kuttlov,,false,6⋅10,NA,NA
34,numerals-inar1241-1-seventy-1,numerals-inar1241-1,Chan2019,seventy,70,čiččâmlov,ciccamlov,,false,7⋅10,NA,NA
35,numerals-inar1241-1-eighty-1,numerals-inar1241-1,Chan2019,eighty,80,kähcilov,kahcilov,,false,8⋅10,NA,NA
36,numerals-inar1241-1-ninety-1,numerals-inar1241-1,Chan2019,ninety,90,ohcelov,ohcelov,,false,9⋅10,NA,NA
37,numerals-inar1241-1-hundred-1,numerals-inar1241-1,Chan2019,hundred,100,tčyeti,tcyeti,,false,100,NA,NA
38,numerals-inar1241-1-twohundred-1,numerals-inar1241-1,Chan2019,twohundred,200,kyehtičyede,kyehticyede,,false,2⋅100,NA,NA
39,numerals-inar1241-1-twohundred-2,numerals-inar1241-1,Chan2019,twohundred,200,kyehtčyet-,kyehtcyet,,false,2⋅100,NA,NA
40,numerals-inar1241-1-thousand-1,numerals-inar1241-1,Chan2019,thousand,1000,tuhhát,tuhhat,,false,1000,NA,NA
41,numerals-inar1241-1-twothousand-1,numerals-inar1241-1,Chan2019,twothousand,2000,kyehttuhhát,kyehttuhhat,,false,2⋅1000,NA,NA
