,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-kalm1243-1-one-1,numerals-kalm1243-1,Chan2019,one,1,nege(n),negen,,false,1,NA,NA
2,numerals-kalm1243-1-one-2,numerals-kalm1243-1,Chan2019,one,1,nige(n),nigen,,false,1,NA,NA
3,numerals-kalm1243-1-two-1,numerals-kalm1243-1,Chan2019,two,2,xɔjra(n),xojran,,false,2,NA,NA
4,numerals-kalm1243-1-two-2,numerals-kalm1243-1,Chan2019,two,2,xujra(n),xujran,,false,2,NA,NA
5,numerals-kalm1243-1-three-1,numerals-kalm1243-1,Chan2019,three,3,ɡʊrwa(n),gurwan,,false,3,NA,NA
6,numerals-kalm1243-1-four-1,numerals-kalm1243-1,Chan2019,four,4,dørwe(n),dorwen,,false,4,NA,NA
7,numerals-kalm1243-1-five-1,numerals-kalm1243-1,Chan2019,five,5,tawa(n),tawan,,false,5,NA,NA
8,numerals-kalm1243-1-six-1,numerals-kalm1243-1,Chan2019,six,6,zʊrɡaː(n),zurgan,,false,6,NA,NA
9,numerals-kalm1243-1-six-2,numerals-kalm1243-1,Chan2019,six,6,dzʊrɡaː(n),dzurgan,,false,6,NA,NA
10,numerals-kalm1243-1-seven-1,numerals-kalm1243-1,Chan2019,seven,7,dɔlaː(n),dolan,,false,7,NA,NA
11,numerals-kalm1243-1-eight-1,numerals-kalm1243-1,Chan2019,eight,8,næːmæ(n),naemaen,,false,8,NA,NA
12,numerals-kalm1243-1-nine-1,numerals-kalm1243-1,Chan2019,nine,9,jise(n),jisen,,false,9,NA,NA
13,numerals-kalm1243-1-ten-1,numerals-kalm1243-1,Chan2019,ten,10,arwa(n),arwan,,false,10,NA,NA
14,numerals-kalm1243-1-eleven-1,numerals-kalm1243-1,Chan2019,eleven,11,arwannege(n),arwannegen,,false,10+1,NA,NA
15,numerals-kalm1243-1-eleven-2,numerals-kalm1243-1,Chan2019,eleven,11,arwan nigi(n),arwannigin,,false,10+1,NA,NA
16,numerals-kalm1243-1-twelve-1,numerals-kalm1243-1,Chan2019,twelve,12,arwanxɔjra(n),arwanxojran,,false,10+2,NA,NA
17,numerals-kalm1243-1-twelve-2,numerals-kalm1243-1,Chan2019,twelve,12,arwan xujra(n),arwanxujran,,false,10+2,NA,NA
18,numerals-kalm1243-1-thirteen-1,numerals-kalm1243-1,Chan2019,thirteen,13,arwanɡʊrwa(n),arwangurwan,,false,10+3,NA,NA
19,numerals-kalm1243-1-fourteen-1,numerals-kalm1243-1,Chan2019,fourteen,14,arwandørwe(n),arwandorwen,,false,10+4,NA,NA
20,numerals-kalm1243-1-fifteen-1,numerals-kalm1243-1,Chan2019,fifteen,15,arwan tawa(n),arwantawan,,false,10+5,NA,NA
21,numerals-kalm1243-1-sixteen-1,numerals-kalm1243-1,Chan2019,sixteen,16,arwandzʊrɡaː(n),arwandzurgan,,false,10+6,NA,NA
22,numerals-kalm1243-1-sixteen-2,numerals-kalm1243-1,Chan2019,sixteen,16,arwan dzʊɡaː(n),arwandzugan,,false,10+6,NA,NA
23,numerals-kalm1243-1-seventeen-1,numerals-kalm1243-1,Chan2019,seventeen,17,arwandɔlaː(n),arwandolan,,false,10+7,NA,NA
24,numerals-kalm1243-1-eighteen-1,numerals-kalm1243-1,Chan2019,eighteen,18,arwannæːmæ(n),arwannaemaen,,false,10+8,NA,NA
25,numerals-kalm1243-1-nineteen-1,numerals-kalm1243-1,Chan2019,nineteen,19,arwan jise(n),arwanjisen,,false,10+9,NA,NA
26,numerals-kalm1243-1-twenty-1,numerals-kalm1243-1,Chan2019,twenty,20,xori(n),xorin,,false,2⋅10’,NA,NA
27,numerals-kalm1243-1-twenty-2,numerals-kalm1243-1,Chan2019,twenty,20,xøri(n),xorin,,false,2⋅10’,NA,NA
28,numerals-kalm1243-1-twentyone-1,numerals-kalm1243-1,Chan2019,twentyone,21,xɔrin nege(n),xorinnegen,,false,2⋅10’+1,NA,NA
29,numerals-kalm1243-1-twentyone-2,numerals-kalm1243-1,Chan2019,twentyone,21,xørin nege(n),xorinnegen,,false,2⋅10’+1,NA,NA
30,numerals-kalm1243-1-twentytwo-1,numerals-kalm1243-1,Chan2019,twentytwo,22,xɔrin xɔjra(n),xorinxojran,,false,2⋅10’+2,NA,NA
31,numerals-kalm1243-1-twentytwo-2,numerals-kalm1243-1,Chan2019,twentytwo,22,xørin xujra,xorinxujra,,false,2⋅10’+2,NA,NA
32,numerals-kalm1243-1-twentythree-1,numerals-kalm1243-1,Chan2019,twentythree,23,xɔrinɡʊrwa(n),xoringurwan,,false,2⋅10’+3,NA,NA
33,numerals-kalm1243-1-twentythree-2,numerals-kalm1243-1,Chan2019,twentythree,23,xørin ɡʊrwa(n),xoringurwan,,false,2⋅10’+3,NA,NA
34,numerals-kalm1243-1-twentyfour-1,numerals-kalm1243-1,Chan2019,twentyfour,24,xɔrindørwe(n),xorindorwen,,false,2⋅10’+4,NA,NA
35,numerals-kalm1243-1-twentyfour-2,numerals-kalm1243-1,Chan2019,twentyfour,24,xørin dørwe(n),xorindorwen,,false,2⋅10’+4,NA,NA
36,numerals-kalm1243-1-twentyfive-1,numerals-kalm1243-1,Chan2019,twentyfive,25,xɔrin tawa(n),xorintawan,,false,2⋅10’+5,NA,NA
37,numerals-kalm1243-1-twentyfive-2,numerals-kalm1243-1,Chan2019,twentyfive,25,xørin tawa(n),xorintawan,,false,2⋅10’+5,NA,NA
38,numerals-kalm1243-1-twentysix-1,numerals-kalm1243-1,Chan2019,twentysix,26,xɔrinzʊrɡaː(n),xorinzurgan,,false,2⋅10’+6,NA,NA
39,numerals-kalm1243-1-twentysix-2,numerals-kalm1243-1,Chan2019,twentysix,26,xørin zʊrɡaː(n),xorinzurgan,,false,2⋅10’+6,NA,NA
40,numerals-kalm1243-1-twentyseven-1,numerals-kalm1243-1,Chan2019,twentyseven,27,xɔrindɔlaː(n),xorindolan,,false,2⋅10’+7,NA,NA
41,numerals-kalm1243-1-twentyseven-2,numerals-kalm1243-1,Chan2019,twentyseven,27,xørin dɔlaː(n),xorindolan,,false,2⋅10’+7,NA,NA
42,numerals-kalm1243-1-twentyeight-1,numerals-kalm1243-1,Chan2019,twentyeight,28,xɔrinnæːmæ(n),xorinnaemaen,,false,2⋅10’+8,NA,NA
43,numerals-kalm1243-1-twentyeight-2,numerals-kalm1243-1,Chan2019,twentyeight,28,xørin næːmæ(n),xorinnaemaen,,false,2⋅10’+8,NA,NA
44,numerals-kalm1243-1-twentynine-1,numerals-kalm1243-1,Chan2019,twentynine,29,xɔrin jisi(n),xorinjisin,,false,2⋅10’+9,NA,NA
45,numerals-kalm1243-1-twentynine-2,numerals-kalm1243-1,Chan2019,twentynine,29,xørin jisi(n),xorinjisin,,false,2⋅10’+9,NA,NA
46,numerals-kalm1243-1-thirty-1,numerals-kalm1243-1,Chan2019,thirty,30,ɡʊtʃi(n),gutsin,,false,3⋅10’,NA,NA
47,numerals-kalm1243-1-forty-1,numerals-kalm1243-1,Chan2019,forty,40,døtʃi(n),dotsin,,false,4⋅10’,NA,NA
48,numerals-kalm1243-1-fifty-1,numerals-kalm1243-1,Chan2019,fifty,50,tæːwi(n),taewin,,false,5⋅10’,NA,NA
49,numerals-kalm1243-1-sixty-1,numerals-kalm1243-1,Chan2019,sixty,60,dʒiri(n),dzirin,,false,6⋅10’,NA,NA
50,numerals-kalm1243-1-seventy-1,numerals-kalm1243-1,Chan2019,seventy,70,dala(n),dalan,,false,7⋅10’,NA,NA
51,numerals-kalm1243-1-eighty-1,numerals-kalm1243-1,Chan2019,eighty,80,naja(n),najan,,false,8⋅10’,NA,NA
52,numerals-kalm1243-1-ninety-1,numerals-kalm1243-1,Chan2019,ninety,90,jere(n),jeren,,false,9⋅10’,NA,NA
53,numerals-kalm1243-1-hundred-1,numerals-kalm1243-1,Chan2019,hundred,100,zʊː(n),zun,,false,100,NA,NA
