,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-kimr1241-1-one-1,numerals-kimr1241-1,Chan2019,one,1,pɔn,pon,,false,1,NA,NA
2,numerals-kimr1241-1-two-1,numerals-kimr1241-1,Chan2019,two,2,wɔ,wo,,false,2,NA,NA
3,numerals-kimr1241-1-three-1,numerals-kimr1241-1,Chan2019,three,3,subu,subu,,false,3,NA,NA
4,numerals-kimr1241-1-four-1,numerals-kimr1241-1,Chan2019,four,4,pɔrbu,porbu,,false,4,NA,NA
5,numerals-kimr1241-1-five-1,numerals-kimr1241-1,Chan2019,five,5,bai,bai,,false,5,NA,NA
6,numerals-kimr1241-1-six-1,numerals-kimr1241-1,Chan2019,six,6,dʒi,dzi,,false,6,NA,NA
7,numerals-kimr1241-1-seven-1,numerals-kimr1241-1,Chan2019,seven,7,dʒurɡəm,dzurgam,,false,7,NA,NA
8,numerals-kimr1241-1-eight-1,numerals-kimr1241-1,Chan2019,eight,8,marɡə,marga,,false,8,NA,NA
9,numerals-kimr1241-1-nine-1,numerals-kimr1241-1,Chan2019,nine,9,diŋɡɛsə,dinggesa,,false,9,NA,NA
10,numerals-kimr1241-1-ten-1,numerals-kimr1241-1,Chan2019,ten,10,mʷɔdʒ,mwodz,,false,10,NA,NA
11,numerals-kimr1241-1-eleven-1,numerals-kimr1241-1,Chan2019,eleven,11,mʷɔdʒ kibi pɔn,mwodzkibipon,,false,10+{+}1,NA,NA
12,numerals-kimr1241-1-twelve-1,numerals-kimr1241-1,Chan2019,twelve,12,mʷɔdʒ kibi wɔ,mwodzkibiwo,,false,10+{+}2,NA,NA
13,numerals-kimr1241-1-thirteen-1,numerals-kimr1241-1,Chan2019,thirteen,13,mʷɔdʒ kibi subu,mwodzkibisubu,,false,10+{+}3,NA,NA
14,numerals-kimr1241-1-fourteen-1,numerals-kimr1241-1,Chan2019,fourteen,14,mʷɔdʒ kibi pɔrbu,mwodzkibiporbu,,false,10+{+}4,NA,NA
15,numerals-kimr1241-1-fifteen-1,numerals-kimr1241-1,Chan2019,fifteen,15,mʷɔdʒ kibi bai,mwodzkibibai,,false,10+{+}5,NA,NA
16,numerals-kimr1241-1-sixteen-1,numerals-kimr1241-1,Chan2019,sixteen,16,mʷɔdʒ kibi dʒi,mwodzkibidzi,,false,10+{+}6,NA,NA
17,numerals-kimr1241-1-seventeen-1,numerals-kimr1241-1,Chan2019,seventeen,17,mʷɔdʒ kibi dʒurɡəm,mwodzkibidzurgam,,false,10+{+}7,NA,NA
18,numerals-kimr1241-1-eighteen-1,numerals-kimr1241-1,Chan2019,eighteen,18,mʷɔdʒ kibi marɡə,mwodzkibimarga,,false,10+{+}8,NA,NA
19,numerals-kimr1241-1-nineteen-1,numerals-kimr1241-1,Chan2019,nineteen,19,mʷɔdʒ kibi diŋɡɛsə,mwodzkibidinggesa,,false,10+{+}9,NA,NA
20,numerals-kimr1241-1-twenty-1,numerals-kimr1241-1,Chan2019,twenty,20,tɔrɔ wɔ,torowo,,false,10’[⋅]2,NA,NA
21,numerals-kimr1241-1-twentyone-1,numerals-kimr1241-1,Chan2019,twentyone,21,tɔrɔ wɔ kibi pɔn,torowokibipon,,false,10’[⋅]2+{+}1,NA,NA
22,numerals-kimr1241-1-twentytwo-1,numerals-kimr1241-1,Chan2019,twentytwo,22,tɔrɔ wɔ kibi wɔ,torowokibiwo,,false,10’[⋅]2+{+}2,NA,NA
23,numerals-kimr1241-1-twentythree-1,numerals-kimr1241-1,Chan2019,twentythree,23,tɔrɔ wɔ kibi subu,torowokibisubu,,false,10’[⋅]2+{+}3,NA,NA
24,numerals-kimr1241-1-twentyfour-1,numerals-kimr1241-1,Chan2019,twentyfour,24,tɔrɔ wɔ kibi pɔrbu,torowokibiporbu,,false,10’[⋅]2+{+}4,NA,NA
25,numerals-kimr1241-1-twentyfive-1,numerals-kimr1241-1,Chan2019,twentyfive,25,tɔrɔ wɔ kibi bai,torowokibibai,,false,10’[⋅]2+{+}5,NA,NA
26,numerals-kimr1241-1-twentysix-1,numerals-kimr1241-1,Chan2019,twentysix,26,tɔrɔ wɔ kibi dʒi,torowokibidzi,,false,10’[⋅]2+{+}6,NA,NA
27,numerals-kimr1241-1-twentyseven-1,numerals-kimr1241-1,Chan2019,twentyseven,27,tɔrɔ wɔ kibi dʒurɡəm,torowokibidzurgam,,false,10’[⋅]2+{+}7,NA,NA
28,numerals-kimr1241-1-twentyeight-1,numerals-kimr1241-1,Chan2019,twentyeight,28,tɔrɔ wɔ kibi marɡə,torowokibimarga,,false,10’[⋅]2+{+}8,NA,NA
29,numerals-kimr1241-1-twentynine-1,numerals-kimr1241-1,Chan2019,twentynine,29,tɔrɔ wɔ kibi diŋɡɛsə,torowokibidinggesa,,false,10’[⋅]2+{+}9,NA,NA
30,numerals-kimr1241-1-thirty-1,numerals-kimr1241-1,Chan2019,thirty,30,tɔrɔ subu,torosubu,,false,10’[⋅]3,NA,NA
31,numerals-kimr1241-1-forty-1,numerals-kimr1241-1,Chan2019,forty,40,tɔrɔ pɔrbu,toroporbu,,false,10’[⋅]4,NA,NA
32,numerals-kimr1241-1-fifty-1,numerals-kimr1241-1,Chan2019,fifty,50,tɔrɔ bai,torobai,,false,10’[⋅]5,NA,NA
33,numerals-kimr1241-1-sixty-1,numerals-kimr1241-1,Chan2019,sixty,60,tɔrɔ dʒi,torodzi,,false,10’[⋅]6,NA,NA
34,numerals-kimr1241-1-seventy-1,numerals-kimr1241-1,Chan2019,seventy,70,tɔrɔ dʒurɡəm,torodzurgam,,false,10’[⋅]7,NA,NA
