,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-komi1269-1-one-1,numerals-komi1269-1,Chan2019,one,1,ɤtik,utik,,false,1,NA,NA
2,numerals-komi1269-1-two-1,numerals-komi1269-1,Chan2019,two,2,kɯk,kwk,,false,2,NA,NA
3,numerals-komi1269-1-three-1,numerals-komi1269-1,Chan2019,three,3,kuim,kuim,,false,3,NA,NA
4,numerals-komi1269-1-four-1,numerals-komi1269-1,Chan2019,four,4,nʲolʲ,njolj,,false,4,NA,NA
5,numerals-komi1269-1-five-1,numerals-komi1269-1,Chan2019,five,5,vit,vit,,false,5,NA,NA
6,numerals-komi1269-1-six-1,numerals-komi1269-1,Chan2019,six,6,kvatʲ,kvatj,,false,6,NA,NA
7,numerals-komi1269-1-seven-1,numerals-komi1269-1,Chan2019,seven,7,sʲizʲim,sjizjim,,false,7,NA,NA
8,numerals-komi1269-1-eight-1,numerals-komi1269-1,Chan2019,eight,8,kɯkjamɯs,kwkjamws,,false,8,NA,NA
9,numerals-komi1269-1-nine-1,numerals-komi1269-1,Chan2019,nine,9,ɤkmɯs,ukmws,,false,9,NA,NA
10,numerals-komi1269-1-ten-1,numerals-komi1269-1,Chan2019,ten,10,das,das,,false,10,NA,NA
11,numerals-komi1269-1-eleven-1,numerals-komi1269-1,Chan2019,eleven,11,das ɤtik,dasutik,,false,10+1,NA,NA
12,numerals-komi1269-1-twelve-1,numerals-komi1269-1,Chan2019,twelve,12,das kɯk,daskwk,,false,10+2,NA,NA
13,numerals-komi1269-1-thirteen-1,numerals-komi1269-1,Chan2019,thirteen,13,das kuim,daskuim,,false,10+3,NA,NA
14,numerals-komi1269-1-fourteen-1,numerals-komi1269-1,Chan2019,fourteen,14,das nʲolʲ,dasnjolj,,false,10+4,NA,NA
15,numerals-komi1269-1-fifteen-1,numerals-komi1269-1,Chan2019,fifteen,15,das vit,dasvit,,false,10+5,NA,NA
16,numerals-komi1269-1-sixteen-1,numerals-komi1269-1,Chan2019,sixteen,16,das kvatʲ,daskvatj,,false,10+6,NA,NA
17,numerals-komi1269-1-seventeen-1,numerals-komi1269-1,Chan2019,seventeen,17,das sʲizʲim,dassjizjim,,false,10+7,NA,NA
18,numerals-komi1269-1-eighteen-1,numerals-komi1269-1,Chan2019,eighteen,18,das kɯkjamɯs,daskwkjamws,,false,10+8,NA,NA
19,numerals-komi1269-1-nineteen-1,numerals-komi1269-1,Chan2019,nineteen,19,das ɤkmɯs,dasukmws,,false,10+9,NA,NA
20,numerals-komi1269-1-twenty-1,numerals-komi1269-1,Chan2019,twenty,20,kɯk das,kwkdas,,false,2⋅10,NA,NA
21,numerals-komi1269-1-twentyone-1,numerals-komi1269-1,Chan2019,twentyone,21,kɯk das ɤtik,kwkdasutik,,false,2⋅10+1,NA,NA
22,numerals-komi1269-1-twentytwo-1,numerals-komi1269-1,Chan2019,twentytwo,22,kɯk das kɯk,kwkdaskwk,,false,2⋅10+2,NA,NA
23,numerals-komi1269-1-twentythree-1,numerals-komi1269-1,Chan2019,twentythree,23,kɯk das kuim,kwkdaskuim,,false,2⋅10+3,NA,NA
24,numerals-komi1269-1-twentyfour-1,numerals-komi1269-1,Chan2019,twentyfour,24,kɯk das nʲolʲ,kwkdasnjolj,,false,2⋅10+4,NA,NA
25,numerals-komi1269-1-twentyfive-1,numerals-komi1269-1,Chan2019,twentyfive,25,kɯk das vit,kwkdasvit,,false,2⋅10+5,NA,NA
26,numerals-komi1269-1-twentysix-1,numerals-komi1269-1,Chan2019,twentysix,26,kɯk das kvatʲ,kwkdaskvatj,,false,2⋅10+6,NA,NA
27,numerals-komi1269-1-twentyseven-1,numerals-komi1269-1,Chan2019,twentyseven,27,kɯk das sʲizʲim,kwkdassjizjim,,false,2⋅10+7,NA,NA
28,numerals-komi1269-1-twentyeight-1,numerals-komi1269-1,Chan2019,twentyeight,28,kɯk das kɯkjamɯs,kwkdaskwkjamws,,false,2⋅10+8,NA,NA
29,numerals-komi1269-1-twentynine-1,numerals-komi1269-1,Chan2019,twentynine,29,kɯk das ɤkmɯs,kwkdasukmws,,false,2⋅10+9,NA,NA
30,numerals-komi1269-1-thirty-1,numerals-komi1269-1,Chan2019,thirty,30,kuim das,kuimdas,,false,3⋅10,NA,NA
31,numerals-komi1269-1-forty-1,numerals-komi1269-1,Chan2019,forty,40,nʲolʲ das,njoljdas,,false,4⋅10,NA,NA
32,numerals-komi1269-1-fifty-1,numerals-komi1269-1,Chan2019,fifty,50,vit das,vitdas,,false,5⋅10,NA,NA
33,numerals-komi1269-1-sixty-1,numerals-komi1269-1,Chan2019,sixty,60,kvatʲ das,kvatjdas,,false,6⋅10,NA,NA
34,numerals-komi1269-1-seventy-1,numerals-komi1269-1,Chan2019,seventy,70,sʲizʲim das,sjizjimdas,,false,7⋅10,NA,NA
35,numerals-komi1269-1-eighty-1,numerals-komi1269-1,Chan2019,eighty,80,kɯkjamɯs das,kwkjamwsdas,,false,8⋅10,NA,NA
36,numerals-komi1269-1-ninety-1,numerals-komi1269-1,Chan2019,ninety,90,ɤkmɯs das,ukmwsdas,,false,9⋅10,NA,NA
37,numerals-komi1269-1-hundred-1,numerals-komi1269-1,Chan2019,hundred,100,sʲo,sjo,,false,100,NA,NA
38,numerals-komi1269-1-twohundred-1,numerals-komi1269-1,Chan2019,twohundred,200,kɯk sʲo,kwksjo,,false,2⋅100,NA,NA
39,numerals-komi1269-1-thousand-1,numerals-komi1269-1,Chan2019,thousand,1000,sʲurs,sjurs,,false,1000,NA,NA
40,numerals-komi1269-1-thousand-2,numerals-komi1269-1,Chan2019,thousand,1000,tɨsʲatʃa,tisjatsa,< Russian,true,1000,a loan from Russian,NA
41,numerals-komi1269-1-twothousand-1,numerals-komi1269-1,Chan2019,twothousand,2000,kɯk tɨsʲatʃa,kwktisjatsa,,false,2⋅1000,NA,NA
