,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-nort2628-1-one-1,numerals-nort2628-1,Chan2019,one,1,ʔɛˑɪns,eins,,false,1,NA,NA
2,numerals-nort2628-1-two-1,numerals-nort2628-1,Chan2019,two,2,tʰvɛˑɪ,thvei,,false,2,NA,NA
3,numerals-nort2628-1-three-1,numerals-nort2628-1,Chan2019,three,3,ˈdɾɛˑɪ,drei,,false,3,NA,NA
4,numerals-nort2628-1-four-1,numerals-nort2628-1,Chan2019,four,4,ˈfɛˑɪɜ˞,feier,,false,4,NA,NA
5,numerals-nort2628-1-five-1,numerals-nort2628-1,Chan2019,five,5,fiːf,fif,,false,5,NA,NA
6,numerals-nort2628-1-six-1,numerals-nort2628-1,Chan2019,six,6,zœs,zoes,,false,6,NA,NA
7,numerals-nort2628-1-seven-1,numerals-nort2628-1,Chan2019,seven,7,ˈzøːvm̩,zovm,,false,7,NA,NA
8,numerals-nort2628-1-eight-1,numerals-nort2628-1,Chan2019,eight,8,ʔaχt,akht,,false,8,NA,NA
9,numerals-nort2628-1-nine-1,numerals-nort2628-1,Chan2019,nine,9,ˈneːgŋ̩,negng,,false,9,NA,NA
10,numerals-nort2628-1-ten-1,numerals-nort2628-1,Chan2019,ten,10,tʰaˑɪn,thain,,false,10,NA,NA
11,numerals-nort2628-1-eleven-1,numerals-nort2628-1,Chan2019,eleven,11,ʔœˑlvm̩,oelvm,,false,11,Historically 1+10.,NA
12,numerals-nort2628-1-twelve-1,numerals-nort2628-1,Chan2019,twelve,12,ˈtvœˑlf,tvoelf,,false,12,Historically 2+10.,NA
13,numerals-nort2628-1-thirteen-1,numerals-nort2628-1,Chan2019,thirteen,13,ˈdœˑɜ˞taˑin,doeertain,,false,3+10,NA,NA
14,numerals-nort2628-1-fourteen-1,numerals-nort2628-1,Chan2019,fourteen,14,ˈfɛˑɪɜ˞taˑin,feiertain,,false,4+10,NA,NA
15,numerals-nort2628-1-fifteen-1,numerals-nort2628-1,Chan2019,fifteen,15,ˈfœftaˑin,foeftain,,false,5+10,NA,NA
16,numerals-nort2628-1-sixteen-1,numerals-nort2628-1,Chan2019,sixteen,16,ˈzœstaˑin,zoestain,,false,6+10,NA,NA
17,numerals-nort2628-1-seventeen-1,numerals-nort2628-1,Chan2019,seventeen,17,ˈzøːvm̩taˑin,zovmtain,,false,7+10,NA,NA
18,numerals-nort2628-1-eighteen-1,numerals-nort2628-1,Chan2019,eighteen,18,ˈʔaχ̩taˑin,akhtain,,false,8+10,NA,NA
19,numerals-nort2628-1-nineteen-1,numerals-nort2628-1,Chan2019,nineteen,19,ˈneːgŋ̩taˑin,negngtain,,false,9+10,NA,NA
20,numerals-nort2628-1-twenty-1,numerals-nort2628-1,Chan2019,twenty,20,ˈtvɪ(ˑ)nɪç,tvinic,,false,2′⋅10,NA,NA
21,numerals-nort2628-1-twentyone-1,numerals-nort2628-1,Chan2019,twentyone,21,ˈʔɛˑɪnʊnˌtvɪ(ˑ)nɪç,einuntvinic,,false,1+{and}2′⋅10,NA,NA
22,numerals-nort2628-1-twentytwo-1,numerals-nort2628-1,Chan2019,twentytwo,22,ˈtʰvɛˑɪʊnˌtvɪ(ˑ)nɪç,thveiuntvinic,,false,2+{and}2′⋅10,NA,NA
23,numerals-nort2628-1-twentythree-1,numerals-nort2628-1,Chan2019,twentythree,23,ˈdɾɛˑɪʊnˌtvɪ(ˑ)nɪç,dreiuntvinic,,false,3+{and}2′⋅10,NA,NA
24,numerals-nort2628-1-twentyfour-1,numerals-nort2628-1,Chan2019,twentyfour,24,ˈfɛˑɪɜ˞ʊnˌtvɪ(ˑ)nɪç,feieruntvinic,,false,4+{and}2′⋅10,NA,NA
25,numerals-nort2628-1-twentyfive-1,numerals-nort2628-1,Chan2019,twentyfive,25,ˈfiːfʊnˌtvɪ(ˑ)nɪç,fifuntvinic,,false,5+{and}2′⋅10,NA,NA
