,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-omag1248-1-one-1,numerals-omag1248-1,Chan2019,one,1,'wipi,wipi,,false,1,NA,NA
2,numerals-omag1248-1-two-1,numerals-omag1248-1,Chan2019,two,2,mu'kwikia,mukwikia,,false,2,NA,NA
3,numerals-omag1248-1-three-1,numerals-omag1248-1,Chan2019,three,3,musa'pɾɨka,musaprika,,false,3,NA,NA
4,numerals-omag1248-1-four-1,numerals-omag1248-1,Chan2019,four,4,ɪɾu'aka,iruaka,,false,4,NA,NA
5,numerals-omag1248-1-five-1,numerals-omag1248-1,Chan2019,five,5,'pitʃka,pitska,( < Quechua ),true,5,Numerals above 4 are loans from Quechua (except for 1-4 in composition).,NA
6,numerals-omag1248-1-six-1,numerals-omag1248-1,Chan2019,six,6,'sokta,sokta,,false,6,Numerals above 4 are loans from Quechua (except for 1-4 in composition).,NA
7,numerals-omag1248-1-seven-1,numerals-omag1248-1,Chan2019,seven,7,'kantʃis,kantsis,,false,7,Numerals above 4 are loans from Quechua (except for 1-4 in composition).,NA
8,numerals-omag1248-1-eight-1,numerals-omag1248-1,Chan2019,eight,8,'pusa,pusa,,false,8,Numerals above 4 are loans from Quechua (except for 1-4 in composition).,NA
9,numerals-omag1248-1-nine-1,numerals-omag1248-1,Chan2019,nine,9,'iskun,iskun,,false,9,Numerals above 4 are loans from Quechua (except for 1-4 in composition).,NA
10,numerals-omag1248-1-ten-1,numerals-omag1248-1,Chan2019,ten,10,'tʃuŋɡa,tsungga,,false,10,Numerals above 4 are loans from Quechua (except for 1-4 in composition).,NA
11,numerals-omag1248-1-eleven-1,numerals-omag1248-1,Chan2019,eleven,11,'tʃuŋɡa 'wipi,tsunggawipi,,false,10+1,Numerals above 4 are loans from Quechua (except for 1-4 in composition).,NA
12,numerals-omag1248-1-twelve-1,numerals-omag1248-1,Chan2019,twelve,12,'tʃuŋɡa mu'kwikia,tsunggamukwikia,,false,10+2,Numerals above 4 are loans from Quechua (except for 1-4 in composition).,NA
13,numerals-omag1248-1-thirteen-1,numerals-omag1248-1,Chan2019,thirteen,13,'tʃuŋɡa musa'pɾɨka,tsunggamusaprika,,false,10+3,Numerals above 4 are loans from Quechua (except for 1-4 in composition).,NA
14,numerals-omag1248-1-fourteen-1,numerals-omag1248-1,Chan2019,fourteen,14,'tʃuŋɡa iɾu'aka,tsunggairuaka,,false,10+4,Numerals above 4 are loans from Quechua (except for 1-4 in composition).,NA
15,numerals-omag1248-1-fifteen-1,numerals-omag1248-1,Chan2019,fifteen,15,'tʃuŋɡa 'pitʃka,tsunggapitska,,false,10+5,Numerals above 4 are loans from Quechua (except for 1-4 in composition).,NA
16,numerals-omag1248-1-sixteen-1,numerals-omag1248-1,Chan2019,sixteen,16,'tʃuŋɡa 'sokta,tsunggasokta,,false,10+6,Numerals above 4 are loans from Quechua (except for 1-4 in composition).,NA
17,numerals-omag1248-1-seventeen-1,numerals-omag1248-1,Chan2019,seventeen,17,'tʃuŋɡa 'kantʃis,tsunggakantsis,,false,10+7,Numerals above 4 are loans from Quechua (except for 1-4 in composition).,NA
18,numerals-omag1248-1-eighteen-1,numerals-omag1248-1,Chan2019,eighteen,18,'tʃuŋɡa 'pusa,tsunggapusa,,false,10+8,Numerals above 4 are loans from Quechua (except for 1-4 in composition).,NA
19,numerals-omag1248-1-nineteen-1,numerals-omag1248-1,Chan2019,nineteen,19,'tʃuŋɡa 'iskun,tsunggaiskun,,false,10+9,Numerals above 4 are loans from Quechua (except for 1-4 in composition).,NA
20,numerals-omag1248-1-twenty-1,numerals-omag1248-1,Chan2019,twenty,20,mu'kwikia 'tʃuŋɡa,mukwikiatsungga,,false,2⋅10,Numerals above 4 are loans from Quechua (except for 1-4 in composition).,NA
21,numerals-omag1248-1-twentyone-1,numerals-omag1248-1,Chan2019,twentyone,21,mu'kwikia 'tʃuŋɡa 'wipi,mukwikiatsunggawipi,,false,2⋅10+1,Numerals above 4 are loans from Quechua (except for 1-4 in composition).,NA
