,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-serb1264-1-one-1,numerals-serb1264-1,Chan2019,one,1,ˈjedan,jedan,,false,1,NA,NA
2,numerals-serb1264-1-two-1,numerals-serb1264-1,Chan2019,two,2,dvaː,dva,,false,2,NA,NA
3,numerals-serb1264-1-three-1,numerals-serb1264-1,Chan2019,three,3,triː,tri,,false,3,NA,NA
4,numerals-serb1264-1-four-1,numerals-serb1264-1,Chan2019,four,4,ˈt͡ʃetri,tsetri,,false,4,NA,NA
5,numerals-serb1264-1-five-1,numerals-serb1264-1,Chan2019,five,5,peːt,pet,,false,5,NA,NA
6,numerals-serb1264-1-six-1,numerals-serb1264-1,Chan2019,six,6,ʃeːst,sest,,false,6,NA,NA
7,numerals-serb1264-1-seven-1,numerals-serb1264-1,Chan2019,seven,7,ˈsedam,sedam,,false,7,NA,NA
8,numerals-serb1264-1-eight-1,numerals-serb1264-1,Chan2019,eight,8,ˈosam,osam,,false,8,NA,NA
9,numerals-serb1264-1-nine-1,numerals-serb1264-1,Chan2019,nine,9,ˈdevet,devet,,false,9,NA,NA
10,numerals-serb1264-1-ten-1,numerals-serb1264-1,Chan2019,ten,10,ˈdeset,deset,,false,10,NA,NA
11,numerals-serb1264-1-eleven-1,numerals-serb1264-1,Chan2019,eleven,11,jeˈdanaest,jedanaest,,false,1+{+}10’,10’ is 10 historically,NA
12,numerals-serb1264-1-twelve-1,numerals-serb1264-1,Chan2019,twelve,12,ˈdvaːnaest,dvanaest,,false,2+{+}10’,10’ is 10 historically,NA
13,numerals-serb1264-1-thirteen-1,numerals-serb1264-1,Chan2019,thirteen,13,ˈtriːnaest,trinaest,,false,3+{+}10’,10’ is 10 historically,NA
14,numerals-serb1264-1-fourteen-1,numerals-serb1264-1,Chan2019,fourteen,14,t͡ʃeˈtrnaest,tsetrnaest,,false,4+{+}10’,10’ is 10 historically,NA
15,numerals-serb1264-1-fifteen-1,numerals-serb1264-1,Chan2019,fifteen,15,ˈpetnaest,petnaest,,false,5+{+}10’,10’ is 10 historically,NA
16,numerals-serb1264-1-sixteen-1,numerals-serb1264-1,Chan2019,sixteen,16,ˈʃesnaest,sesnaest,,false,6+{+}10’,10’ is 10 historically,NA
17,numerals-serb1264-1-seventeen-1,numerals-serb1264-1,Chan2019,seventeen,17,seˈdamnaest,sedamnaest,,false,7+{+}10’,10’ is 10 historically,NA
18,numerals-serb1264-1-eighteen-1,numerals-serb1264-1,Chan2019,eighteen,18,oˈsamnaest,osamnaest,,false,8+{+}10’,10’ is 10 historically,NA
19,numerals-serb1264-1-nineteen-1,numerals-serb1264-1,Chan2019,nineteen,19,deˈvetnaest,devetnaest,,false,9+{+}10’,10’ is 10 historically,NA
20,numerals-serb1264-1-twenty-1,numerals-serb1264-1,Chan2019,twenty,20,ˈdvaːdeset,dvadeset,,false,2⋅10,NA,NA
21,numerals-serb1264-1-twentyone-1,numerals-serb1264-1,Chan2019,twentyone,21,ˈdvaːdeset ˈjeden,dvadesetjeden,,false,2⋅10[+]1,NA,NA
22,numerals-serb1264-1-twentytwo-1,numerals-serb1264-1,Chan2019,twentytwo,22,ˈdvaːdesetdvaː,dvadesetdva,,false,2⋅10[+]2,NA,NA
23,numerals-serb1264-1-twentythree-1,numerals-serb1264-1,Chan2019,twentythree,23,ˈdvaːdeset triː,dvadesettri,,false,2⋅10[+]3,NA,NA
24,numerals-serb1264-1-twentyfour-1,numerals-serb1264-1,Chan2019,twentyfour,24,ˈdvaːdeset ˈt͡ʃetri,dvadesettsetri,,false,2⋅10[+]4,NA,NA
25,numerals-serb1264-1-twentyfive-1,numerals-serb1264-1,Chan2019,twentyfive,25,ˈdvaːdeset peːt,dvadesetpet,,false,2⋅10[+]5,NA,NA
26,numerals-serb1264-1-twentysix-1,numerals-serb1264-1,Chan2019,twentysix,26,ˈdvaːdeset ʃeːst,dvadesetsest,,false,2⋅10[+]6,NA,NA
27,numerals-serb1264-1-twentyseven-1,numerals-serb1264-1,Chan2019,twentyseven,27,ˈdvaːdeset ˈsedam,dvadesetsedam,,false,2⋅10[+]7,NA,NA
28,numerals-serb1264-1-twentyeight-1,numerals-serb1264-1,Chan2019,twentyeight,28,ˈdvaːdeset ˈosam,dvadesetosam,,false,2⋅10[+]8,NA,NA
29,numerals-serb1264-1-twentynine-1,numerals-serb1264-1,Chan2019,twentynine,29,ˈdvaːdeset devet,dvadesetdevet,,false,2⋅10[+]9,NA,NA
30,numerals-serb1264-1-thirty-1,numerals-serb1264-1,Chan2019,thirty,30,triːdeset,trideset,,false,3⋅10,NA,NA
31,numerals-serb1264-1-forty-1,numerals-serb1264-1,Chan2019,forty,40,t͡ʃetrˈdeset,tsetrdeset,,false,4⋅10,NA,NA
32,numerals-serb1264-1-fifty-1,numerals-serb1264-1,Chan2019,fifty,50,peˈdeset,pedeset,,false,5⋅10,NA,NA
33,numerals-serb1264-1-sixty-1,numerals-serb1264-1,Chan2019,sixty,60,ʃezˈdeset,sezdeset,,false,6⋅10,NA,NA
34,numerals-serb1264-1-seventy-1,numerals-serb1264-1,Chan2019,seventy,70,sedamˈdeset,sedamdeset,,false,7⋅10,NA,NA
35,numerals-serb1264-1-eighty-1,numerals-serb1264-1,Chan2019,eighty,80,osamˈdeset,osamdeset,,false,8⋅10,NA,NA
36,numerals-serb1264-1-ninety-1,numerals-serb1264-1,Chan2019,ninety,90,deveˈdeset,devedeset,,false,9⋅10,NA,NA
37,numerals-serb1264-1-hundred-1,numerals-serb1264-1,Chan2019,hundred,100,stoː,sto,,false,100,NA,NA
38,numerals-serb1264-1-twohundred-1,numerals-serb1264-1,Chan2019,twohundred,200,ˈdvesta,dvesta,,false,2⋅100,NA,NA
39,numerals-serb1264-1-thousand-1,numerals-serb1264-1,Chan2019,thousand,1000,ˈxilʲada,xiljada,,false,1000,NA,NA
40,numerals-serb1264-1-twothousand-1,numerals-serb1264-1,Chan2019,twothousand,2000,ˈdveː ˈxilʲade,dvexiljade,,false,2⋅1000,NA,NA
