,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-tang1373-1-one-1,numerals-tang1373-1,Chan2019,one,1,ji,ji,,false,1,NA,NA
2,numerals-tang1373-1-two-1,numerals-tang1373-1,Chan2019,two,2,ɛ,e,,false,2,NA,NA
3,numerals-tang1373-1-three-1,numerals-tang1373-1,Chan2019,three,3,sɛ̃,se,,false,3,NA,NA
4,numerals-tang1373-1-four-1,numerals-tang1373-1,Chan2019,four,4,sɿ,sr,,false,4,NA,NA
5,numerals-tang1373-1-five-1,numerals-tang1373-1,Chan2019,five,5,vu,vu,,false,5,NA,NA
6,numerals-tang1373-1-six-1,numerals-tang1373-1,Chan2019,six,6,liəu,liau,,false,6,NA,NA
7,numerals-tang1373-1-seven-1,numerals-tang1373-1,Chan2019,seven,7,tɕʰi,tchi,,false,7,NA,NA
8,numerals-tang1373-1-eight-1,numerals-tang1373-1,Chan2019,eight,8,pa,pa,,false,8,NA,NA
9,numerals-tang1373-1-nine-1,numerals-tang1373-1,Chan2019,nine,9,tɕiəu,tciau,,false,9,NA,NA
10,numerals-tang1373-1-ten-1,numerals-tang1373-1,Chan2019,ten,10,ʂʅ,ss,,false,10,NA,NA
11,numerals-tang1373-1-eleven-1,numerals-tang1373-1,Chan2019,eleven,11,ʂʅ ji,ssji,,false,10+1,NA,NA
12,numerals-tang1373-1-twelve-1,numerals-tang1373-1,Chan2019,twelve,12,ʂʅ ɛ,sse,,false,10+2,NA,NA
13,numerals-tang1373-1-thirteen-1,numerals-tang1373-1,Chan2019,thirteen,13,ʂʅ sɛ̃,ssse,,false,10+3,NA,NA
14,numerals-tang1373-1-fourteen-1,numerals-tang1373-1,Chan2019,fourteen,14,ʂʅ sɿ,sssr,,false,10+4,NA,NA
15,numerals-tang1373-1-fifteen-1,numerals-tang1373-1,Chan2019,fifteen,15,ʂʅ vu,ssvu,,false,10+5,NA,NA
16,numerals-tang1373-1-sixteen-1,numerals-tang1373-1,Chan2019,sixteen,16,ʂʅ liəu,ssliau,,false,10+6,NA,NA
17,numerals-tang1373-1-seventeen-1,numerals-tang1373-1,Chan2019,seventeen,17,ʂʅ tɕʰi,sstchi,,false,10+7,NA,NA
18,numerals-tang1373-1-eighteen-1,numerals-tang1373-1,Chan2019,eighteen,18,ʂʅ pa,sspa,,false,10+8,NA,NA
19,numerals-tang1373-1-nineteen-1,numerals-tang1373-1,Chan2019,nineteen,19,ʂʅ tɕiəu,sstciau,,false,10+9,NA,NA
20,numerals-tang1373-1-twenty-1,numerals-tang1373-1,Chan2019,twenty,20,ɛ ʂʅ,ess,,false,2⋅10,NA,NA
21,numerals-tang1373-1-twentyone-1,numerals-tang1373-1,Chan2019,twentyone,21,ɛ ʂʅ ji,essji,,false,2⋅10+1,NA,NA
22,numerals-tang1373-1-twentytwo-1,numerals-tang1373-1,Chan2019,twentytwo,22,ɛ ʂʅ ɛ,esse,,false,2⋅10+2,NA,NA
23,numerals-tang1373-1-twentythree-1,numerals-tang1373-1,Chan2019,twentythree,23,ɛ ʂʅ sɛ̃,essse,,false,2⋅10+3,NA,NA
24,numerals-tang1373-1-twentyfour-1,numerals-tang1373-1,Chan2019,twentyfour,24,ɛ ʂʅ sɿ,esssr,,false,2⋅10+4,NA,NA
25,numerals-tang1373-1-twentyfive-1,numerals-tang1373-1,Chan2019,twentyfive,25,ɛ ʂʅ vu,essvu,,false,2⋅10+5,NA,NA
26,numerals-tang1373-1-twentysix-1,numerals-tang1373-1,Chan2019,twentysix,26,ɛ ʂʅ liəu,essliau,,false,2⋅10+6,NA,NA
27,numerals-tang1373-1-twentyseven-1,numerals-tang1373-1,Chan2019,twentyseven,27,ɛ ʂʅ tɕʰi,esstchi,,false,2⋅10+7,NA,NA
28,numerals-tang1373-1-twentyeight-1,numerals-tang1373-1,Chan2019,twentyeight,28,ɛ ʂʅ pa,esspa,,false,2⋅10+8,NA,NA
29,numerals-tang1373-1-twentynine-1,numerals-tang1373-1,Chan2019,twentynine,29,ɛ ʂʅ tɕiəu,esstciau,,false,2⋅10+9,NA,NA
30,numerals-tang1373-1-thirty-1,numerals-tang1373-1,Chan2019,thirty,30,sɛ̃ ʂʅ,sess,,false,3⋅10,NA,NA
31,numerals-tang1373-1-forty-1,numerals-tang1373-1,Chan2019,forty,40,sɿ ʂʅ,srss,,false,4⋅10,NA,NA
32,numerals-tang1373-1-fifty-1,numerals-tang1373-1,Chan2019,fifty,50,vu ʂʅ,vuss,,false,5⋅10,NA,NA
33,numerals-tang1373-1-sixty-1,numerals-tang1373-1,Chan2019,sixty,60,liəu ʂʅ,liauss,,false,6⋅10,NA,NA
34,numerals-tang1373-1-seventy-1,numerals-tang1373-1,Chan2019,seventy,70,tɕʰi ʂʅ,tchiss,,false,7⋅10,NA,NA
35,numerals-tang1373-1-eighty-1,numerals-tang1373-1,Chan2019,eighty,80,pa ʂʅ,pass,,false,8⋅10,NA,NA
36,numerals-tang1373-1-ninety-1,numerals-tang1373-1,Chan2019,ninety,90,tɕiəu ʂʅ,tciauss,,false,9⋅10,NA,NA
37,numerals-tang1373-1-hundred-1,numerals-tang1373-1,Chan2019,hundred,100,ji pɛ,jipe,,false,1⋅100,NA,NA
38,numerals-tang1373-1-twohundred-1,numerals-tang1373-1,Chan2019,twohundred,200,liɑ̃ pɛ,liape,,false,2′⋅100,NA,NA
39,numerals-tang1373-1-fourhundred-1,numerals-tang1373-1,Chan2019,fourhundred,400,sɿ pɛ,srpe,,false,4⋅100,NA,NA
40,numerals-tang1373-1-eighthundred-1,numerals-tang1373-1,Chan2019,eighthundred,800,pa pɛ,pape,,false,8⋅100,NA,NA
41,numerals-tang1373-1-thousand-1,numerals-tang1373-1,Chan2019,thousand,1000,ji tɕʰiɛ̃,jitchie,,false,1⋅1000,NA,NA
42,numerals-tang1373-1-twothousand-1,numerals-tang1373-1,Chan2019,twothousand,2000,liɑ̃ tɕʰiɛ̃,liatchie,,false,2′⋅1000,NA,NA
