,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-umat1237-1-one-1,numerals-umat1237-1,Chan2019,one,1,náx̩š,naxs,,false,1,NA,NA
2,numerals-umat1237-1-two-1,numerals-umat1237-1,Chan2019,two,2,nápt,napt,,false,2,NA,NA
3,numerals-umat1237-1-two-2,numerals-umat1237-1,Chan2019,two,2,nápu,napu,,false,2,NA,NA
4,numerals-umat1237-1-three-1,numerals-umat1237-1,Chan2019,three,3,mɨ́taat,mitaat,,false,3,NA,NA
5,numerals-umat1237-1-three-2,numerals-umat1237-1,Chan2019,three,3,mɨ́taw,mitaw,,false,3,NA,NA
6,numerals-umat1237-1-four-1,numerals-umat1237-1,Chan2019,four,4,pínapt,pinapt,,false,2′⋅2,NA,NA
7,numerals-umat1237-1-four-2,numerals-umat1237-1,Chan2019,four,4,pínapu,pinapu,,false,2′⋅2,NA,NA
8,numerals-umat1237-1-five-1,numerals-umat1237-1,Chan2019,five,5,páx̩at,paxat,,false,5,NA,NA
9,numerals-umat1237-1-five-2,numerals-umat1237-1,Chan2019,five,5,páx̩naw,paxnaw,,false,5,NA,NA
10,numerals-umat1237-1-six-1,numerals-umat1237-1,Chan2019,six,6,uyɬɨ́xs,uylixs,,false,5′+1,NA,NA
11,numerals-umat1237-1-seven-1,numerals-umat1237-1,Chan2019,seven,7,uynáapt,uynaapt,,false,5′+2,NA,NA
12,numerals-umat1237-1-seven-2,numerals-umat1237-1,Chan2019,seven,7,uynápu,uynapu,,false,5′+2,NA,NA
13,numerals-umat1237-1-eight-1,numerals-umat1237-1,Chan2019,eight,8,uymɨ́tat,uymitat,,false,5′+3,NA,NA
14,numerals-umat1237-1-eight-2,numerals-umat1237-1,Chan2019,eight,8,uymɨ́taw,uymitaw,,false,5′+3,NA,NA
15,numerals-umat1237-1-nine-1,numerals-umat1237-1,Chan2019,nine,9,kʼúyc,kuyc,,false,9,NA,NA
16,numerals-umat1237-1-ten-1,numerals-umat1237-1,Chan2019,ten,10,pútɨmt,putimt,,false,10,NA,NA
17,numerals-umat1237-1-ten-2,numerals-umat1237-1,Chan2019,ten,10,pútmu,putmu,,false,10,NA,NA
18,numerals-umat1237-1-eleven-1,numerals-umat1237-1,Chan2019,eleven,11,pútɨmt ku náx̩š,putimtkunaxs,,false,10+1,NA,NA
19,numerals-umat1237-1-twelve-1,numerals-umat1237-1,Chan2019,twelve,12,pútɨmt ku lepít,putimtkulepit,,false,10+2,Lepít is probably a phonetically conditioned variant of the numeral ‘2’.,NA
20,numerals-umat1237-1-thirteen-1,numerals-umat1237-1,Chan2019,thirteen,13,pútɨmt ku mɨ́taat,putimtkumitaat,,false,10+3,NA,NA
