,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,barlowpacific-dica1235-1-one-1,barlowpacific-dica1235-1,Barlow2024,one,1,siɑsɑ,siasa,,FALSE,1,,
2,barlowpacific-dica1235-1-two-1,barlowpacific-dica1235-1,Barlow2024,two,2,duwɑ,duwa,,FALSE,2,,
3,barlowpacific-dica1235-1-three-1,barlowpacific-dica1235-1,Barlow2024,three,3,tɑllu,tallu,,FALSE,3,,
4,barlowpacific-dica1235-1-four-1,barlowpacific-dica1235-1,Barlow2024,four,4,ɑppɑt,appat,,FALSE,4,,
5,barlowpacific-dica1235-1-five-1,barlowpacific-dica1235-1,Barlow2024,five,5,limɑ,lima,,FALSE,5,,
6,barlowpacific-dica1235-1-six-1,barlowpacific-dica1235-1,Barlow2024,six,6,ɑnnɑm,annam,,FALSE,6,,
7,barlowpacific-dica1235-1-seven-1,barlowpacific-dica1235-1,Barlow2024,seven,7,pitu,pitu,,FALSE,7,,
8,barlowpacific-dica1235-1-eight-1,barlowpacific-dica1235-1,Barlow2024,eight,8,wɑlu,walu,,FALSE,8,,
9,barlowpacific-dica1235-1-nine-1,barlowpacific-dica1235-1,Barlow2024,nine,9,siyɑm,siyam,,FALSE,9,,
10,barlowpacific-dica1235-1-ten-1,barlowpacific-dica1235-1,Barlow2024,ten,10,mɑpulu,mapulu,,FALSE,1′[⋅]10,,
11,barlowpacific-dica1235-1-twenty-1,barlowpacific-dica1235-1,Barlow2024,twenty,20,duwɑpulu,duwapulu,,FALSE,2[⋅]10,,
12,barlowpacific-dica1235-1-hundred-1,barlowpacific-dica1235-1,Barlow2024,hundred,100,sissɑ gɑsut,sissagasut,,FALSE,1[⋅]100,,
