,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-kaga1255-1-one-1,numerals-kaga1255-1,Chan2019,one,1,'isaʔ,isa,,FALSE,1,,
2,numerals-kaga1255-1-two-1,numerals-kaga1255-1,Chan2019,two,2,'dowa,dowa,,FALSE,2,,
3,numerals-kaga1255-1-three-1,numerals-kaga1255-1,Chan2019,three,3,toː,to,,FALSE,3,,
4,numerals-kaga1255-1-four-1,numerals-kaga1255-1,Chan2019,four,4,ʔopat,opat,,FALSE,4,,
5,numerals-kaga1255-1-five-1,numerals-kaga1255-1,Chan2019,five,5,'limaː,lima,,FALSE,5,,
6,numerals-kaga1255-1-six-1,numerals-kaga1255-1,Chan2019,six,6,'ənəm,anam,,FALSE,6,,
7,numerals-kaga1255-1-seven-1,numerals-kaga1255-1,Chan2019,seven,7,'pito,pito,,FALSE,7,,
8,numerals-kaga1255-1-eight-1,numerals-kaga1255-1,Chan2019,eight,8,'wao,wao,,FALSE,8,,
9,numerals-kaga1255-1-nine-1,numerals-kaga1255-1,Chan2019,nine,9,'siyam,siyam,,FALSE,9,,
10,numerals-kaga1255-1-ten-1,numerals-kaga1255-1,Chan2019,ten,10,sam'poː,sampo,,FALSE,10,,
11,numerals-kaga1255-1-eleven-1,numerals-kaga1255-1,Chan2019,eleven,11,sam'poː aw 'isaʔ,sampoawisa,,FALSE,10{and}+1,,
12,numerals-kaga1255-1-twelve-1,numerals-kaga1255-1,Chan2019,twelve,12,sam'poː aw 'dowa,sampoawdowa,,FALSE,10{and}+2,,
13,numerals-kaga1255-1-thirteen-1,numerals-kaga1255-1,Chan2019,thirteen,13,sam'poː aw toː,sampoawto,,FALSE,10{and}+3,,
14,numerals-kaga1255-1-fourteen-1,numerals-kaga1255-1,Chan2019,fourteen,14,sam'poː aw ʔopat,sampoawopat,,FALSE,10{and}+4,,
15,numerals-kaga1255-1-fifteen-1,numerals-kaga1255-1,Chan2019,fifteen,15,sam'poː aw 'limaː,sampoawlima,,FALSE,10{and}+5,,
16,numerals-kaga1255-1-sixteen-1,numerals-kaga1255-1,Chan2019,sixteen,16,sam'poː aw 'ənəm,sampoawanam,,FALSE,10{and}+6,,
17,numerals-kaga1255-1-seventeen-1,numerals-kaga1255-1,Chan2019,seventeen,17,sam'poː aw 'pito,sampoawpito,,FALSE,10{and}+7,,
18,numerals-kaga1255-1-eighteen-1,numerals-kaga1255-1,Chan2019,eighteen,18,sam'poː aw 'wao,sampoawwao,,FALSE,10{and}+8,,
19,numerals-kaga1255-1-nineteen-1,numerals-kaga1255-1,Chan2019,nineteen,19,sam'poː aw 'siyam,sampoawsiyam,,FALSE,10{and}+9,,
20,numerals-kaga1255-1-twenty-1,numerals-kaga1255-1,Chan2019,twenty,20,'kawwaːn,kawwan,,FALSE,{⋅}2[⋅]10,Multiplicative circumfix (?),10[⋅]2{⋅}
21,numerals-kaga1255-1-twentyone-1,numerals-kaga1255-1,Chan2019,twentyone,21,'kawwaːn aw 'isaʔ,kawwanawisa,,FALSE,({⋅}2[⋅]10){and}+1,,(10[⋅]2{⋅}){and}+1
22,numerals-kaga1255-1-twentytwo-1,numerals-kaga1255-1,Chan2019,twentytwo,22,'kawwaːn aw 'dowa,kawwanawdowa,,FALSE,({⋅}2[⋅]10){and}+2,,(10[⋅]2{⋅}){and}+2
23,numerals-kaga1255-1-twentythree-1,numerals-kaga1255-1,Chan2019,twentythree,23,'kawwaːn aw toː,kawwanawto,,FALSE,({⋅}2[⋅]10){and}+3,,(10[⋅]2{⋅}){and}+3
24,numerals-kaga1255-1-twentyfour-1,numerals-kaga1255-1,Chan2019,twentyfour,24,'kawwaːn aw ʔopat,kawwanawopat,,FALSE,({⋅}2[⋅]10){and}+4,,(10[⋅]2{⋅}){and}+4
25,numerals-kaga1255-1-twentyfive-1,numerals-kaga1255-1,Chan2019,twentyfive,25,'kawwaːn aw 'limaː,kawwanawlima,,FALSE,({⋅}2[⋅]10){and}+5,,(10[⋅]2{⋅}){and}+5
26,numerals-kaga1255-1-twentysix-1,numerals-kaga1255-1,Chan2019,twentysix,26,'kawwaːn aw 'ənəm,kawwanawanam,,FALSE,({⋅}2[⋅]10){and}+6,,(10[⋅]2{⋅}){and}+6
