,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-damp1237-2-one-1,numerals-damp1237-2,Chan2019,one,1,souduŋ,soudung,,FALSE,1{?},,
2,numerals-damp1237-2-one-2,numerals-damp1237-2,Chan2019,one,1,intʃa,intsa,( c = IPA [t͡ʃ]),FALSE,1′,,
3,numerals-damp1237-2-two-1,numerals-damp1237-2,Chan2019,two,2,darua,darua,,FALSE,2{2},,
4,numerals-damp1237-2-three-1,numerals-damp1237-2,Chan2019,three,3,totolu,totolu,,FALSE,{3}3,,
5,numerals-damp1237-2-four-1,numerals-damp1237-2,Chan2019,four,4,rapat,rapat,,FALSE,{4}4,,
6,numerals-damp1237-2-five-1,numerals-damp1237-2,Chan2019,five,5,lelima,lelima,,FALSE,{5}5,,
7,numerals-damp1237-2-six-1,numerals-damp1237-2,Chan2019,six,6,ronoŋ,ronong,,FALSE,{6}6,,
8,numerals-damp1237-2-seven-1,numerals-damp1237-2,Chan2019,seven,7,pepitu,pepitu,,FALSE,{7}7,,
9,numerals-damp1237-2-eight-1,numerals-damp1237-2,Chan2019,eight,8,roalu,roalu,,FALSE,{8}8,,
10,numerals-damp1237-2-nine-1,numerals-damp1237-2,Chan2019,nine,9,sesio,sesio,,FALSE,{9}9,,
11,numerals-damp1237-2-ten-1,numerals-damp1237-2,Chan2019,ten,10,sopulu,sopulu,,FALSE,1[⋅]10,,
12,numerals-damp1237-2-eleven-1,numerals-damp1237-2,Chan2019,eleven,11,sopulu souduŋ,sopulusoudung,,FALSE,(1[⋅]10)[+]1{?},,
13,numerals-damp1237-2-twelve-1,numerals-damp1237-2,Chan2019,twelve,12,sopulu huambesaŋ,sopuluhuambesang,,FALSE,(1[⋅]10)[+]2′,,
14,numerals-damp1237-2-thirteen-1,numerals-damp1237-2,Chan2019,thirteen,13,sopulu totolu,sopulutotolu,,FALSE,(1[⋅]10)[+]{3}3,,
15,numerals-damp1237-2-fourteen-1,numerals-damp1237-2,Chan2019,fourteen,14,sopulu rapat,sopulurapat,,FALSE,(1[⋅]10)[+]{4}4,,
16,numerals-damp1237-2-fifteen-1,numerals-damp1237-2,Chan2019,fifteen,15,sopulu lelima,sopululelima,,FALSE,(1[⋅]10)[+]{5}5,,
17,numerals-damp1237-2-sixteen-1,numerals-damp1237-2,Chan2019,sixteen,16,sopulu ronoŋ,sopuluronong,,FALSE,(1[⋅]10)[+]{6}6,,
18,numerals-damp1237-2-seventeen-1,numerals-damp1237-2,Chan2019,seventeen,17,sopulu pepitu,sopulupepitu,,FALSE,(1[⋅]10)[+]{7}7,,
19,numerals-damp1237-2-eighteen-1,numerals-damp1237-2,Chan2019,eighteen,18,sopulu roalu,sopuluroalu,,FALSE,(1[⋅]10)[+]{8}8,,
20,numerals-damp1237-2-nineteen-1,numerals-damp1237-2,Chan2019,nineteen,19,sopulu sesio,sopulusesio,,FALSE,(1[⋅]10)[+]{9}9,,
21,numerals-damp1237-2-twenty-1,numerals-damp1237-2,Chan2019,twenty,20,ruapulu,ruapulu,,FALSE,2[⋅]10,,
22,numerals-damp1237-2-twentyone-1,numerals-damp1237-2,Chan2019,twentyone,21,ruapulu souduŋ,ruapulusoudung,,FALSE,(2[⋅]10)[+]1{?},,
23,numerals-damp1237-2-twentytwo-1,numerals-damp1237-2,Chan2019,twentytwo,22,ruapulu huambesaŋ,ruapuluhuambesang,,FALSE,(2[⋅]10)[+]2′,,
24,numerals-damp1237-2-twentythree-1,numerals-damp1237-2,Chan2019,twentythree,23,ruapulu totolu,ruapulutotolu,,FALSE,(2[⋅]10)[+]{3}3,,
