,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-tora1261-1-one-1,numerals-tora1261-1,Chan2019,one,1,mesaʔ,mesa,,FALSE,{?}1,,
2,numerals-tora1261-1-two-1,numerals-tora1261-1,Chan2019,two,2,daʔdua,dadua,,FALSE,2,,
3,numerals-tora1261-1-three-1,numerals-tora1261-1,Chan2019,three,3,tallu,tallu,,FALSE,3,,
4,numerals-tora1261-1-four-1,numerals-tora1261-1,Chan2019,four,4,ʔappaʔ,appa,,FALSE,4,,
5,numerals-tora1261-1-five-1,numerals-tora1261-1,Chan2019,five,5,lima,lima,,FALSE,5,,
6,numerals-tora1261-1-six-1,numerals-tora1261-1,Chan2019,six,6,annan,annan,,FALSE,6,,
7,numerals-tora1261-1-seven-1,numerals-tora1261-1,Chan2019,seven,7,pitu,pitu,,FALSE,7,,
8,numerals-tora1261-1-eight-1,numerals-tora1261-1,Chan2019,eight,8,kařua,karua,(10 - 2 ),FALSE,[10]−2,,
9,numerals-tora1261-1-nine-1,numerals-tora1261-1,Chan2019,nine,9,kasseřa,kassera,(10 - 1),FALSE,[10]−1{?},,
10,numerals-tora1261-1-ten-1,numerals-tora1261-1,Chan2019,ten,10,sampulo,sampulo,,FALSE,1⋅10,,
11,numerals-tora1261-1-eleven-1,numerals-tora1261-1,Chan2019,eleven,11,sampulo mesaʔ,sampulomesa,,FALSE,(1⋅10)[+]{?}1,,
12,numerals-tora1261-1-twelve-1,numerals-tora1261-1,Chan2019,twelve,12,sampulo daʔdua,sampulodadua,,FALSE,(1⋅10)[+]2,,
13,numerals-tora1261-1-thirteen-1,numerals-tora1261-1,Chan2019,thirteen,13,sampulo tallu,sampulotallu,,FALSE,(1⋅10)[+]3,,
14,numerals-tora1261-1-fourteen-1,numerals-tora1261-1,Chan2019,fourteen,14,sampulo ʔappaʔ,sampuloappa,,FALSE,(1⋅10)[+]4,,
15,numerals-tora1261-1-fifteen-1,numerals-tora1261-1,Chan2019,fifteen,15,sampulo lima,sampulolima,,FALSE,(1⋅10)[+]5,,
16,numerals-tora1261-1-sixteen-1,numerals-tora1261-1,Chan2019,sixteen,16,sampulo annan,sampuloannan,,FALSE,(1⋅10)[+]6,,
