,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-dusu1271-1-one-1,numerals-dusu1271-1,Chan2019,one,1,ɛrai,erai,,FALSE,1,,
2,numerals-dusu1271-1-two-1,numerals-dusu1271-1,Chan2019,two,2,ruɛh,rueh,,FALSE,2,,
3,numerals-dusu1271-1-three-1,numerals-dusu1271-1,Chan2019,three,3,tɔlu,tolu,,FALSE,3,,
4,numerals-dusu1271-1-four-1,numerals-dusu1271-1,Chan2019,four,4,ɔpat,opat,,FALSE,4,,
5,numerals-dusu1271-1-five-1,numerals-dusu1271-1,Chan2019,five,5,dimɔ,dimo,,FALSE,5,,
6,numerals-dusu1271-1-six-1,numerals-dusu1271-1,Chan2019,six,6,ɔnɔm,onom,,FALSE,6,,
7,numerals-dusu1271-1-seven-1,numerals-dusu1271-1,Chan2019,seven,7,turu,turu,,FALSE,7,From ‘to point’,
8,numerals-dusu1271-1-eight-1,numerals-dusu1271-1,Chan2019,eight,8,βalu,balu,,FALSE,8,,
9,numerals-dusu1271-1-nine-1,numerals-dusu1271-1,Chan2019,nine,9,siɛ,sie,,FALSE,9,,
10,numerals-dusu1271-1-ten-1,numerals-dusu1271-1,Chan2019,ten,10,spuluh,spuluh,,FALSE,1′[⋅]10,,
11,numerals-dusu1271-1-eleven-1,numerals-dusu1271-1,Chan2019,eleven,11,səbəlas,sabalas,,FALSE,1′[+]10′,,
12,numerals-dusu1271-1-twelve-1,numerals-dusu1271-1,Chan2019,twelve,12,ruɛh bəlas,ruehbalas,,FALSE,2[+]10′,,
13,numerals-dusu1271-1-thirteen-1,numerals-dusu1271-1,Chan2019,thirteen,13,tɔlu bəlas,tolubalas,,FALSE,3[+]10′,,
14,numerals-dusu1271-1-fourteen-1,numerals-dusu1271-1,Chan2019,fourteen,14,ɔpat bəlas,opatbalas,,FALSE,4[+]10′,,
15,numerals-dusu1271-1-fifteen-1,numerals-dusu1271-1,Chan2019,fifteen,15,dimɔ bəlas,dimobalas,,FALSE,5[+]10′,,
16,numerals-dusu1271-1-sixteen-1,numerals-dusu1271-1,Chan2019,sixteen,16,ɔnɔm bəlas,onombalas,,FALSE,6[+]10′,,
17,numerals-dusu1271-1-seventeen-1,numerals-dusu1271-1,Chan2019,seventeen,17,turu bəlas,turubalas,,FALSE,7[+]10′,,
18,numerals-dusu1271-1-eighteen-1,numerals-dusu1271-1,Chan2019,eighteen,18,βalu bəlas,balubalas,,FALSE,8[+]10′,,
19,numerals-dusu1271-1-nineteen-1,numerals-dusu1271-1,Chan2019,nineteen,19,siɛ bəlas,siebalas,,FALSE,9[+]10′,,
20,numerals-dusu1271-1-twenty-1,numerals-dusu1271-1,Chan2019,twenty,20,ruɛh pulu,ruehpulu,,FALSE,2[⋅]10,,
21,numerals-dusu1271-1-twentyone-1,numerals-dusu1271-1,Chan2019,twentyone,21,ruɛh pulu ɛrai,ruehpuluerai,,FALSE,(2[⋅]10)[+]1,,
22,numerals-dusu1271-1-twentytwo-1,numerals-dusu1271-1,Chan2019,twentytwo,22,ruɛh pulu ruɛh,ruehpulurueh,,FALSE,(2[⋅]10)[+]2,,
23,numerals-dusu1271-1-twentythree-1,numerals-dusu1271-1,Chan2019,twentythree,23,ruɛh pulu tɔlu,ruehpulutolu,,FALSE,(2[⋅]10)[+]3,,
24,numerals-dusu1271-1-twentyfour-1,numerals-dusu1271-1,Chan2019,twentyfour,24,ruɛh pulu ɔpat,ruehpuluopat,,FALSE,(2[⋅]10)[+]4,,
25,numerals-dusu1271-1-twentyfive-1,numerals-dusu1271-1,Chan2019,twentyfive,25,ruɛh pulu dimɔ,ruehpuludimo,,FALSE,(2[⋅]10)[+]5,,
26,numerals-dusu1271-1-twentysix-1,numerals-dusu1271-1,Chan2019,twentysix,26,ruɛh pulu ɔnɔm,ruehpuluonom,,FALSE,(2[⋅]10)[+]6,,
27,numerals-dusu1271-1-twentyseven-1,numerals-dusu1271-1,Chan2019,twentyseven,27,ruɛh pulu turu,ruehpuluturu,,FALSE,(2[⋅]10)[+]7,,
28,numerals-dusu1271-1-twentyeight-1,numerals-dusu1271-1,Chan2019,twentyeight,28,ruɛh pulu βalu,ruehpulubalu,,FALSE,(2[⋅]10)[+]8,,
29,numerals-dusu1271-1-twentynine-1,numerals-dusu1271-1,Chan2019,twentynine,29,ruɛh pulu siɛ,ruehpulusie,,FALSE,(2[⋅]10)[+]9,,
30,numerals-dusu1271-1-thirty-1,numerals-dusu1271-1,Chan2019,thirty,30,tɔlu pulu,tolupulu,,FALSE,3[⋅]10,,
31,numerals-dusu1271-1-forty-1,numerals-dusu1271-1,Chan2019,forty,40,ɔpat pulu,opatpulu,,FALSE,4[⋅]10,,
32,numerals-dusu1271-1-fifty-1,numerals-dusu1271-1,Chan2019,fifty,50,dimɔ pulu,dimopulu,,FALSE,5[⋅]10,,
33,numerals-dusu1271-1-sixty-1,numerals-dusu1271-1,Chan2019,sixty,60,ɔnɔm pulu,onompulu,,FALSE,6[⋅]10,,
34,numerals-dusu1271-1-seventy-1,numerals-dusu1271-1,Chan2019,seventy,70,turu pulu,turupulu,,FALSE,7[⋅]10,,
35,numerals-dusu1271-1-eighty-1,numerals-dusu1271-1,Chan2019,eighty,80,βalu pulu,balupulu,,FALSE,8[⋅]10,,
