,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,barlowpacific-masi1268-1-one-1,barlowpacific-masi1268-1,Barlow2024,one,1,raike,raike,,FALSE,1,,
2,barlowpacific-masi1268-1-two-1,barlowpacific-masi1268-1,Barlow2024,two,2,roe,roe,,FALSE,2,,
3,barlowpacific-masi1268-1-two-2,barlowpacific-masi1268-1,Barlow2024,two,2,roroe,roroe,reduplicated when not joined to a noun,FALSE,{2}2,,
4,barlowpacific-masi1268-1-three-1,barlowpacific-masi1268-1,Barlow2024,three,3,telo,telo,,FALSE,3,,
5,barlowpacific-masi1268-1-three-2,barlowpacific-masi1268-1,Barlow2024,three,3,tetelo,tetelo,reduplicated when not joined to a noun,FALSE,{3}3,,
6,barlowpacific-masi1268-1-four-1,barlowpacific-masi1268-1,Barlow2024,four,4,efatse,efatse,,FALSE,4,,
7,barlowpacific-masi1268-1-five-1,barlowpacific-masi1268-1,Barlow2024,five,5,lime,lime,,FALSE,5,,
8,barlowpacific-masi1268-1-six-1,barlowpacific-masi1268-1,Barlow2024,six,6,ene,ene,,FALSE,6,,
9,barlowpacific-masi1268-1-seven-1,barlowpacific-masi1268-1,Barlow2024,seven,7,fito,fito,,FALSE,7,,
10,barlowpacific-masi1268-1-eight-1,barlowpacific-masi1268-1,Barlow2024,eight,8,valo,valo,,FALSE,8,,
11,barlowpacific-masi1268-1-nine-1,barlowpacific-masi1268-1,Barlow2024,nine,9,sive,sive,,FALSE,9,,
12,barlowpacific-masi1268-1-ten-1,barlowpacific-masi1268-1,Barlow2024,ten,10,folo,folo,,FALSE,10,,
13,barlowpacific-masi1268-1-eleven-1,barlowpacific-masi1268-1,Barlow2024,eleven,11,folo raik’amby,foloraikamby,,FALSE,10[+]1{+},,
14,barlowpacific-masi1268-1-twenty-1,barlowpacific-masi1268-1,Barlow2024,twenty,20,roampolo,roampolo,,FALSE,2⋅10,,
15,barlowpacific-masi1268-1-thirty-1,barlowpacific-masi1268-1,Barlow2024,thirty,30,telompolo,telompolo,,FALSE,3⋅10,,
16,barlowpacific-masi1268-1-forty-1,barlowpacific-masi1268-1,Barlow2024,forty,40,efa(m)polo,efampolo,,FALSE,4⋅10,,4[⋅]10
17,barlowpacific-masi1268-1-fifty-1,barlowpacific-masi1268-1,Barlow2024,fifty,50,limampolo,limampolo,,FALSE,5⋅10,,
18,barlowpacific-masi1268-1-sixty-1,barlowpacific-masi1268-1,Barlow2024,sixty,60,enempolo,enempolo,,FALSE,6⋅10,,
19,barlowpacific-masi1268-1-ninety-1,barlowpacific-masi1268-1,Barlow2024,ninety,90,sivampolo,sivampolo,,FALSE,9⋅10,,
20,barlowpacific-masi1268-1-hundred-1,barlowpacific-masi1268-1,Barlow2024,hundred,100,zato,zato,,FALSE,100,,
21,barlowpacific-masi1268-1-thousand-1,barlowpacific-masi1268-1,Barlow2024,thousand,1000,arivo raike,arivoraike,,FALSE,1000[⋅]1,1000 borrowed from Malay 1[⋅]1000 (?),
22,barlowpacific-masi1268-1-tenthousand-1,barlowpacific-masi1268-1,Barlow2024,tenthousand,10000,ale,ale,root,FALSE,10000,,
23,barlowpacific-masi1268-1-tenthousand-2,barlowpacific-masi1268-1,Barlow2024,tenthousand,10000,aleŋ indraike,alengindraike,commonly said,FALSE,10000⋅{⋅?}1,,
