,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,barlowpacific-maha1309-2-one-1,barlowpacific-maha1309-2,Barlow2024,one,1,ray,ray,,FALSE,1,,
2,barlowpacific-maha1309-2-two-1,barlowpacific-maha1309-2,Barlow2024,two,2,rohé,rohe,,FALSE,2,,
3,barlowpacific-maha1309-2-three-1,barlowpacific-maha1309-2,Barlow2024,three,3,telŏ,telo,,FALSE,3,,
4,barlowpacific-maha1309-2-four-1,barlowpacific-maha1309-2,Barlow2024,four,4,efatsă,efatsa,,FALSE,4,,
5,barlowpacific-maha1309-2-five-1,barlowpacific-maha1309-2,Barlow2024,five,5,limé,lime,,FALSE,5,,
6,barlowpacific-maha1309-2-six-1,barlowpacific-maha1309-2,Barlow2024,six,6,enĕ,ene,,FALSE,6,,
7,barlowpacific-maha1309-2-seven-1,barlowpacific-maha1309-2,Barlow2024,seven,7,fitó,fito,,FALSE,7,,
8,barlowpacific-maha1309-2-eight-1,barlowpacific-maha1309-2,Barlow2024,eight,8,caló,calo,,FALSE,8,,
9,barlowpacific-maha1309-2-nine-1,barlowpacific-maha1309-2,Barlow2024,nine,9,sirý,siry,,FALSE,9,,
10,barlowpacific-maha1309-2-ten-1,barlowpacific-maha1309-2,Barlow2024,ten,10,foló,folo,,FALSE,10,,
11,barlowpacific-maha1309-2-eleven-1,barlowpacific-maha1309-2,Barlow2024,eleven,11,folo iraikambý,foloiraikamby,,FALSE,10[+]1{+},,
12,barlowpacific-maha1309-2-twelve-1,barlowpacific-maha1309-2,Barlow2024,twelve,12,foloroambý,foloroamby,,FALSE,10[+]2{+},,
13,barlowpacific-maha1309-2-twenty-1,barlowpacific-maha1309-2,Barlow2024,twenty,20,roa polŏ,roapolo,,FALSE,2[⋅]10,,
14,barlowpacific-maha1309-2-thirty-1,barlowpacific-maha1309-2,Barlow2024,thirty,30,telom polŏ,telompolo,,FALSE,3⋅10,,
15,barlowpacific-maha1309-2-forty-1,barlowpacific-maha1309-2,Barlow2024,forty,40,efá polŏ,efapolo,,FALSE,4[⋅]10,,
16,barlowpacific-maha1309-2-fifty-1,barlowpacific-maha1309-2,Barlow2024,fifty,50,limampolǒ,limampolo,,FALSE,5⋅10,,
17,barlowpacific-maha1309-2-sixty-1,barlowpacific-maha1309-2,Barlow2024,sixty,60,enim polŏ,enimpolo,,FALSE,6⋅10,,
18,barlowpacific-maha1309-2-hundred-1,barlowpacific-maha1309-2,Barlow2024,hundred,100,zató,zato,,FALSE,100,,
19,barlowpacific-maha1309-2-thousand-1,barlowpacific-maha1309-2,Barlow2024,thousand,1000,arivŏ,arivo,,FALSE,1000,Borrowed from Malay 1[⋅]1000 (?),
20,barlowpacific-maha1309-2-tenthousand-1,barlowpacific-maha1309-2,Barlow2024,tenthousand,10000,alínă iraý,alinairay,,FALSE,10000⋅{⋅?}1,,
21,barlowpacific-maha1309-2-onehundredthousand-1,barlowpacific-maha1309-2,Barlow2024,onehundredthousand,1.00E+05,foloalĕ,foloale,,FALSE,10[⋅]10000,,
