,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-laha1253-1-one-1,numerals-laha1253-1,Chan2019,one,1,d͡ʒia,dzia,,FALSE,1,,
2,numerals-laha1253-1-two-1,numerals-laha1253-1,Chan2019,two,2,dəɡʷa,dagwa,,FALSE,2,,
3,numerals-laha1253-1-three-1,numerals-laha1253-1,Chan2019,three,3,təlo,talo,,FALSE,3,,
4,numerals-laha1253-1-four-1,numerals-laha1253-1,Chan2019,four,4,pat,pat,,FALSE,4,,
5,numerals-laha1253-1-five-1,numerals-laha1253-1,Chan2019,five,5,limah,limah,,FALSE,5,,
6,numerals-laha1253-1-six-1,numerals-laha1253-1,Chan2019,six,6,anum,anum,,FALSE,6,,
7,numerals-laha1253-1-seven-1,numerals-laha1253-1,Chan2019,seven,7,tud͡ʒu,tudzu,,FALSE,7,From ‘to point’,
8,numerals-laha1253-1-eight-1,numerals-laha1253-1,Chan2019,eight,8,ayan,ayan,,FALSE,8,,
9,numerals-laha1253-1-nine-1,numerals-laha1253-1,Chan2019,nine,9,pitan,pitan,,FALSE,9,Historically subtractive (?),
10,numerals-laha1253-1-ten-1,numerals-laha1253-1,Chan2019,ten,10,pəloan,paloan,,FALSE,10{?},,
11,numerals-laha1253-1-eleven-1,numerals-laha1253-1,Chan2019,eleven,11,pəloan d͡ʒia,paloandzia,,FALSE,10{?}[+]1,,
12,numerals-laha1253-1-twelve-1,numerals-laha1253-1,Chan2019,twelve,12,pəloan dəɡʷa,paloandagwa,,FALSE,10{?}[+]2,,
13,numerals-laha1253-1-thirteen-1,numerals-laha1253-1,Chan2019,thirteen,13,pəloan təlo,paloantalo,,FALSE,10{?}[+]3,,
14,numerals-laha1253-1-fourteen-1,numerals-laha1253-1,Chan2019,fourteen,14,pəloan pat,paloanpat,,FALSE,10{?}[+]4,,
15,numerals-laha1253-1-fifteen-1,numerals-laha1253-1,Chan2019,fifteen,15,pəloan limah,paloanlimah,,FALSE,10{?}[+]5,,
