,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,barlowpacific-oran1258-1-one-1,barlowpacific-oran1258-1,Barlow2024,one,1,satoʔ,sato,,FALSE,1{?},,
2,barlowpacific-oran1258-1-two-1,barlowpacific-oran1258-1,Barlow2024,two,2,duə,dua,,FALSE,2,,
3,barlowpacific-oran1258-1-two-2,barlowpacific-oran1258-1,Barlow2024,two,2,duʷo,duwo,Duano dialect,FALSE,2,,
4,barlowpacific-oran1258-1-three-1,barlowpacific-oran1258-1,Barlow2024,three,3,tigu,tigu,Duano dialect,FALSE,3,Innovative (?); ultimately borrowed from Sanskrit (?),
5,barlowpacific-oran1258-1-four-1,barlowpacific-oran1258-1,Barlow2024,four,4,ompat,ompat,,FALSE,4,,
6,barlowpacific-oran1258-1-five-1,barlowpacific-oran1258-1,Barlow2024,five,5,limu,limu,,FALSE,5,,
7,barlowpacific-oran1258-1-six-1,barlowpacific-oran1258-1,Barlow2024,six,6,onam,onam,,FALSE,6,,
8,barlowpacific-oran1258-1-seven-1,barlowpacific-oran1258-1,Barlow2024,seven,7,tujoh,tujoh,Duano dialect,FALSE,7,From ‘to point’,
9,barlowpacific-oran1258-1-eight-1,barlowpacific-oran1258-1,Barlow2024,eight,8,ləpan,lapan,,FALSE,8,"Historically ‘[two] left over’ (i.e., subtractive)",
10,barlowpacific-oran1258-1-nine-1,barlowpacific-oran1258-1,Barlow2024,nine,9,səmilən,samilan,,FALSE,9,"Historically ‘one left over’ (i.e., subtractive)",
11,barlowpacific-oran1258-1-eleven-1,barlowpacific-oran1258-1,Barlow2024,eleven,11,səbələs,sabalas,,FALSE,1[+]10,,
12,barlowpacific-oran1258-1-twentyfive-1,barlowpacific-oran1258-1,Barlow2024,twentyfive,25,duə puloh limu,duapulohlimu,Duano dialect,FALSE,(2[⋅]10′)[+]5,,
13,barlowpacific-oran1258-1-seventytwo-1,barlowpacific-oran1258-1,Barlow2024,seventytwo,72,tujoh puloh duə,tujohpulohdua,Duano dialect,FALSE,(7[⋅]10′)[+]2,,
14,barlowpacific-oran1258-1-twohundred-1,barlowpacific-oran1258-1,Barlow2024,twohundred,200,duə ɣatus,duagatus,Duano dialect,FALSE,2[⋅]100,,
15,barlowpacific-oran1258-1-onethousandandone-1,barlowpacific-oran1258-1,Barlow2024,onethousandandone,1001,səɣibusatoʔ,sagibusato,,FALSE,(1[⋅]1000)[+]1{?},,
16,barlowpacific-oran1258-1-twothousand-1,barlowpacific-oran1258-1,Barlow2024,twothousand,2000,duə ɣibu,duagibu,Duano dialect,FALSE,2[⋅]1000,,
