,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,barlowpacific-banj1239-1-one-1,barlowpacific-banj1239-1,Barlow2024,one,1,satoe,satoe,,FALSE,1{?},,
2,barlowpacific-banj1239-1-one-2,barlowpacific-banj1239-1,Barlow2024,one,1,asa,asa,,FALSE,{?}1,,
3,barlowpacific-banj1239-1-two-1,barlowpacific-banj1239-1,Barlow2024,two,2,doea,doea,,FALSE,2,,
4,barlowpacific-banj1239-1-three-1,barlowpacific-banj1239-1,Barlow2024,three,3,tiga,tiga,,FALSE,3,Innovative (?); ultimately borrowed from Sanskrit (?),
5,barlowpacific-banj1239-1-three-2,barlowpacific-banj1239-1,Barlow2024,three,3,taloe,taloe,,FALSE,3,,
6,barlowpacific-banj1239-1-four-1,barlowpacific-banj1239-1,Barlow2024,four,4,ampat,ampat,,FALSE,4,,
7,barlowpacific-banj1239-1-five-1,barlowpacific-banj1239-1,Barlow2024,five,5,lima,lima,,FALSE,5,,
8,barlowpacific-banj1239-1-six-1,barlowpacific-banj1239-1,Barlow2024,six,6,anam,anam,,FALSE,6,,
9,barlowpacific-banj1239-1-seven-1,barlowpacific-banj1239-1,Barlow2024,seven,7,toedjoeh,toedjoeh,,FALSE,7,From ‘to point’,
10,barlowpacific-banj1239-1-eight-1,barlowpacific-banj1239-1,Barlow2024,eight,8,dělapan,delapan,,FALSE,8,"Historically ‘two left over’ (i.e., subtractive)",
11,barlowpacific-banj1239-1-nine-1,barlowpacific-banj1239-1,Barlow2024,nine,9,sěmbilan,sembilan,,FALSE,9,"Historically ‘one left over’ (i.e., subtractive)",
12,barlowpacific-banj1239-1-ten-1,barlowpacific-banj1239-1,Barlow2024,ten,10,sěpoeloeh,sepoeloeh,,FALSE,1[⋅]10,,
13,barlowpacific-banj1239-1-eleven-1,barlowpacific-banj1239-1,Barlow2024,eleven,11,sebělas,sebelas,,FALSE,1[+]10′,,
14,barlowpacific-banj1239-1-twelve-1,barlowpacific-banj1239-1,Barlow2024,twelve,12,doea bělas,doeabelas,,FALSE,2[+]10′,,
15,barlowpacific-banj1239-1-thirteen-1,barlowpacific-banj1239-1,Barlow2024,thirteen,13,tiga bělas,tigabelas,,FALSE,3[+]10′,,
16,barlowpacific-banj1239-1-fourteen-1,barlowpacific-banj1239-1,Barlow2024,fourteen,14,ěmpat bělas,empatbelas,,FALSE,4[+]10′,,
17,barlowpacific-banj1239-1-nineteen-1,barlowpacific-banj1239-1,Barlow2024,nineteen,19,sěmbilan bělas,sembilanbelas,,FALSE,9[+]10′,,
18,barlowpacific-banj1239-1-twenty-1,barlowpacific-banj1239-1,Barlow2024,twenty,20,doea poeloeh,doeapoeloeh,,FALSE,2[⋅]10,,
19,barlowpacific-banj1239-1-twentyone-1,barlowpacific-banj1239-1,Barlow2024,twentyone,21,doea poeloeh satoe,doeapoeloehsatoe,,FALSE,(2[⋅]10)[+]1{?},,
20,barlowpacific-banj1239-1-twentyone-2,barlowpacific-banj1239-1,Barlow2024,twentyone,21,(selikoer),doeapoeloehselikoer,,FALSE,1[+]20,Borrowed from Javanese (?),
21,barlowpacific-banj1239-1-twentytwo-1,barlowpacific-banj1239-1,Barlow2024,twentytwo,22,doea poeloeh doea,doeapoeloehdoea,,FALSE,(2[⋅]10)[+]2,,
22,barlowpacific-banj1239-1-twentytwo-2,barlowpacific-banj1239-1,Barlow2024,twentytwo,22,(doea likoer),doeapoeloehdoealikoer,,FALSE,2[+]20,Borrowed from Javanese (?),
23,barlowpacific-banj1239-1-thirty-1,barlowpacific-banj1239-1,Barlow2024,thirty,30,tiga poeloeh,tigapoeloeh,,FALSE,3[⋅]10,,
24,barlowpacific-banj1239-1-forty-1,barlowpacific-banj1239-1,Barlow2024,forty,40,ěmpat peoloeh,empatpeoloeh,,FALSE,4[⋅]10,,
25,barlowpacific-banj1239-1-fifty-1,barlowpacific-banj1239-1,Barlow2024,fifty,50,lima poeloeh,limapoeloeh,,FALSE,5[⋅]10,,
26,barlowpacific-banj1239-1-sixty-1,barlowpacific-banj1239-1,Barlow2024,sixty,60,ěnam poeloeh,enampoeloeh,,FALSE,6[⋅]10,,
27,barlowpacific-banj1239-1-seventy-1,barlowpacific-banj1239-1,Barlow2024,seventy,70,toedjoeh poeloeh,toedjoehpoeloeh,,FALSE,7[⋅]10,,
28,barlowpacific-banj1239-1-eighty-1,barlowpacific-banj1239-1,Barlow2024,eighty,80,dělapan poeloeh,delapanpoeloeh,,FALSE,8[⋅]10,,
29,barlowpacific-banj1239-1-ninety-1,barlowpacific-banj1239-1,Barlow2024,ninety,90,sembilan poeloeh,sembilanpoeloeh,,FALSE,9[⋅]10,,
30,barlowpacific-banj1239-1-hundred-1,barlowpacific-banj1239-1,Barlow2024,hundred,100,seratoes,seratoes,,FALSE,1[⋅]100,,100
31,barlowpacific-banj1239-1-thousand-1,barlowpacific-banj1239-1,Barlow2024,thousand,1000,seriboe,seriboe,,FALSE,1[⋅]1000,,
32,barlowpacific-banj1239-1-tenthousand-1,barlowpacific-banj1239-1,Barlow2024,tenthousand,10000,sepoeloeh riboe,sepoeloehriboe,,FALSE,1[⋅]10[⋅]1000,,
