,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-wers1238-1-one-1,numerals-wers1238-1,Chan2019,one,1,nɔʔ,no,,FALSE,1,,
2,numerals-wers1238-1-two-1,numerals-wers1238-1,Chan2019,two,2,jɔkuʔ,joku,,FALSE,2,,
3,numerals-wers1238-1-three-1,numerals-wers1238-1,Chan2019,three,3,tuʔ,tu,,FALSE,3,,
4,numerals-wers1238-1-four-1,numerals-wers1238-1,Chan2019,four,4,aɾasɔkuʔ,arasoku,,FALSE,4,Historically 5′−1′ (?),
5,numerals-wers1238-1-five-1,numerals-wers1238-1,Chan2019,five,5,wetiŋ,weting,,FALSE,5,,
6,numerals-wers1238-1-six-1,numerals-wers1238-1,Chan2019,six,6,wetiŋ nɔʔ,wetingno,,FALSE,5[+]1,,
7,numerals-wers1238-1-seven-1,numerals-wers1238-1,Chan2019,seven,7,wetiŋ jɔkuʔ,wetingjoku,,FALSE,5[+]2,,
8,numerals-wers1238-1-eight-1,numerals-wers1238-1,Chan2019,eight,8,wetiŋ tuʔ,wetingtu,,FALSE,5[+]3,,
9,numerals-wers1238-1-nine-1,numerals-wers1238-1,Chan2019,nine,9,wetiŋ aɾasɔkuʔ,wetingarasoku,,FALSE,5[+]4,,
10,numerals-wers1238-1-ten-1,numerals-wers1238-1,Chan2019,ten,10,adajɔkuʔ,adajoku,,FALSE,5′⋅2,Or should this be analyzed as atomic 10 (?),10
11,numerals-wers1238-1-eleven-1,numerals-wers1238-1,Chan2019,eleven,11,adajɔkuʔ ɡɘɾisiŋ nɔʔ,adajokugerisingno,,FALSE,(5′⋅2)+1,,
12,numerals-wers1238-1-twelve-1,numerals-wers1238-1,Chan2019,twelve,12,adajɔkuʔ ɡɘɾisiŋ jɔkuʔ,adajokugerisingjoku,,FALSE,(5′⋅2)+2,,
13,numerals-wers1238-1-thirteen-1,numerals-wers1238-1,Chan2019,thirteen,13,adajɔkuʔ ɡɘɾisiŋ tuʔ,adajokugerisingtu,,FALSE,(5′⋅2)+3,,
14,numerals-wers1238-1-fourteen-1,numerals-wers1238-1,Chan2019,fourteen,14,adajɔkuʔ ɡɘɾisiŋ aɾasɔkuʔ,adajokugerisingarasoku,,FALSE,(5′⋅2)+4,,
15,numerals-wers1238-1-fifteen-1,numerals-wers1238-1,Chan2019,fifteen,15,adajɔkuʔ ɡɘɾisiŋ wetiŋ,adajokugerisingweting,,FALSE,(5′⋅2)+5,,
16,numerals-wers1238-1-sixteen-1,numerals-wers1238-1,Chan2019,sixteen,16,adajɔkuʔ ɡɘɾisiŋ wetiŋ nɔʔ,adajokugerisingwetingno,,FALSE,(5′⋅2)+(5[+]1),,
17,numerals-wers1238-1-seventeen-1,numerals-wers1238-1,Chan2019,seventeen,17,adajɔkuʔ ɡɘɾisiŋ wetiŋ jɔkuʔ,adajokugerisingwetingjoku,,FALSE,(5′⋅2)+(5[+]2),,
18,numerals-wers1238-1-eighteen-1,numerals-wers1238-1,Chan2019,eighteen,18,adajɔkuʔ ɡɘɾisiŋ wetiŋ tuʔ,adajokugerisingwetingtu,,FALSE,(5′⋅2)+(5[+]3),,
19,numerals-wers1238-1-nineteen-1,numerals-wers1238-1,Chan2019,nineteen,19,adajɔkuʔ ɡɘɾisiŋ wetiŋ aɾasɔkuʔ,adajokugerisingwetingarasoku,,FALSE,(5′⋅2)+(5[+]4),,
20,numerals-wers1238-1-twenty-1,numerals-wers1238-1,Chan2019,twenty,20,adajɔkuʔ mijɔkuʔ,adajokumijoku,,FALSE,(5′⋅2)⋅2,,
