,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,barlowpacific-cent2117-3-one-1,barlowpacific-cent2117-3,Barlow2024,one,1,tsjowok,tsjowok,,FALSE,1,,
2,barlowpacific-cent2117-3-two-1,barlowpacific-cent2117-3,Barlow2024,two,2,(j)amnuk,jamnuk,,FALSE,2,,
3,barlowpacific-cent2117-3-three-1,barlowpacific-cent2117-3,Barlow2024,three,3,mbamintsjop,mbamintsjop,,FALSE,3,Historically 2+1 (?),
4,barlowpacific-cent2117-3-four-1,barlowpacific-cent2117-3,Barlow2024,four,4,ek tsjowok mbap,ektsjowokmbap,"lit. one finger remaining; i.e., one finger of the hand is not used when counting",FALSE,{finger}1−{remain}[5],‘finger one remain’,
5,barlowpacific-cent2117-3-five-1,barlowpacific-cent2117-3,Barlow2024,five,5,mban tsjowok takas,mbantsjowoktakas,"lit. one hand whole, thus five fingers",FALSE,5[⋅]1{all},‘hand one all’,
6,barlowpacific-cent2117-3-six-1,barlowpacific-cent2117-3,Barlow2024,six,6,poman mban tsjowok,pomanmbantsjowok,"lit. the other hand one, thus five plus one",FALSE,{other}5[+]1,‘other hand one’,
7,barlowpacific-cent2117-3-seven-1,barlowpacific-cent2117-3,Barlow2024,seven,7,poman mban amnuk,pomanmbanamnuk,"lit. the other hand two, thus five plus two",FALSE,{other}5[+]2,‘other hand two’,
8,barlowpacific-cent2117-3-eight-1,barlowpacific-cent2117-3,Barlow2024,eight,8,poman mban mbamintsjop,pomanmbanmbamintsjop,,FALSE,{other}5[+]3,‘other hand three’,
9,barlowpacific-cent2117-3-eight-2,barlowpacific-cent2117-3,Barlow2024,eight,8,ek jamnuk mbap,ekjamnukmbap,two fingers (of two hands) remain,FALSE,{finger}2−{remain}[10],‘finger two remain’,
10,barlowpacific-cent2117-3-nine-1,barlowpacific-cent2117-3,Barlow2024,nine,9,poman mban ek tsjowok mbap,pomanmbanektsjowokmbap,of the other hand one finger left,FALSE,{other}{5}{finger}1−{remain}[10],‘other hand finger one remain’,
11,barlowpacific-cent2117-3-ten-1,barlowpacific-cent2117-3,Barlow2024,ten,10,mban amnuk takas,mbanamnuktakas,"lit. two hands all the way, all fingers",FALSE,5[⋅]2{all},‘hand two all’,
12,barlowpacific-cent2117-3-eleven-1,barlowpacific-cent2117-3,Barlow2024,eleven,11,mbeị mbetet tsjowok,mbeimbetettsjowok,from the feet one big toe,FALSE,[10]{5′}{toe}+1,‘foot toe one’,
13,barlowpacific-cent2117-3-twelve-1,barlowpacific-cent2117-3,Barlow2024,twelve,12,mbeị amnuk,mbeiamnuk,from the foot two (toes),FALSE,[10]{5′}+2,‘foot two’,
14,barlowpacific-cent2117-3-thirteen-1,barlowpacific-cent2117-3,Barlow2024,thirteen,13,mbeị mbamintsjop,mbeimbamintsjop,,FALSE,[10]{5′}+3,‘foot three’,
15,barlowpacific-cent2117-3-fourteen-1,barlowpacific-cent2117-3,Barlow2024,fourteen,14,mbeị ek tsjowok mbap,mbeiektsjowokmbap,from the foot one toe left,FALSE,[10]{5′}+({finger}1−{remain}[5]),‘foot finger one remain’,
16,barlowpacific-cent2117-3-fifteen-1,barlowpacific-cent2117-3,Barlow2024,fifteen,15,poman mbeị takas,pomanmbeitakas,one foot all the way,FALSE,[10]{other}+5′{all},‘other foot all’,
17,barlowpacific-cent2117-3-sixteen-1,barlowpacific-cent2117-3,Barlow2024,sixteen,16,poman mbeị tsjowok,pomanmbeitsjowok,from the other foot one,FALSE,[10]{other}+5′[+]1,‘other foot one’,
18,barlowpacific-cent2117-3-seventeen-1,barlowpacific-cent2117-3,Barlow2024,seventeen,17,poman mbeị amnuk,pomanmbeiamnuk,,FALSE,[10]{other}+5′[+]2,‘other foot two’,
19,barlowpacific-cent2117-3-eighteen-1,barlowpacific-cent2117-3,Barlow2024,eighteen,18,poman mbeị mbamintsjop,pomanmbeimbamintsjop,,FALSE,[10]{other}+5′[+]3,‘other foot three’,
20,barlowpacific-cent2117-3-nineteen-1,barlowpacific-cent2117-3,Barlow2024,nineteen,19,poman mbeị ek tsjowok mbap,pomanmbeiektsjowokmbap,from the other foot one toe left,FALSE,[10]{other}+5′[+]({finger}1−{remain}[5]),‘other foot finger one remain’,
21,barlowpacific-cent2117-3-twenty-1,barlowpacific-cent2117-3,Barlow2024,twenty,20,mbeị amnuk takas,mbeiamnuktakas,both feet all the way,FALSE,[10+](5′[⋅]2{all}),‘foot two all’,
22,barlowpacific-cent2117-3-twenty-2,barlowpacific-cent2117-3,Barlow2024,twenty,20,"mban amnuk am, mbeị amnuk am takas",mbanamnukammbeiamnukamtakas,both hands and both feet completely,FALSE,(5[⋅]2{both})[+](5′[⋅]2{both}{all}),‘hand two both foot two both all’,
