,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,barlowpacific-fait1240-2-one-1,barlowpacific-fait1240-2,Barlow2024,one,1,pɑkut,pakut,,FALSE,1,,
2,barlowpacific-fait1240-2-one-2,barlowpacific-fait1240-2,Barlow2024,one,1,pɑ,pa,,FALSE,1,,
3,barlowpacific-fait1240-2-two-1,barlowpacific-fait1240-2,Barlow2024,two,2,ɑliɡɑ,aliga,,FALSE,2,,
4,barlowpacific-fait1240-2-two-2,barlowpacific-fait1240-2,Barlow2024,two,2,ɑˈriŋɡɑ,aringga,,FALSE,2,,
5,barlowpacific-fait1240-2-three-1,barlowpacific-fait1240-2,Barlow2024,three,3,ˈsɑke,sake,(S sɑke sɑkerʌ),FALSE,3,,
6,barlowpacific-fait1240-2-four-1,barlowpacific-fait1240-2,Barlow2024,four,4,ɑpɑ mɑniŋɡɑ,apamaningga,"[<ɑpɑmɑ niŋɡɑ> = ‘fourth finger’, p.21]",FALSE,?,Appears to be a list of body parts (used in body-part tallying) with attempts at conversion into a decimal-like system,
7,barlowpacific-fait1240-2-five-1,barlowpacific-fait1240-2,Barlow2024,five,5,kɑtɑ,kata,"(S ˈkʌtʌ) [<ɑpɑmɑ kɑtɑ> = ‘thumb’, p.21; cf. Z’graggen 1980:13); from ‘head finger’?]",FALSE,?,Appears to be a list of body parts (used in body-part tallying) with attempts at conversion into a decimal-like system,
8,barlowpacific-fait1240-2-six-1,barlowpacific-fait1240-2,Barlow2024,six,6,umbuˈɣur,umbugur,,FALSE,?,Appears to be a list of body parts (used in body-part tallying) with attempts at conversion into a decimal-like system,
9,barlowpacific-fait1240-2-seven-1,barlowpacific-fait1240-2,Barlow2024,seven,7,kenɑ,kena,,FALSE,?,Appears to be a list of body parts (used in body-part tallying) with attempts at conversion into a decimal-like system,
10,barlowpacific-fait1240-2-eight-1,barlowpacific-fait1240-2,Barlow2024,eight,8,sows,sows,,FALSE,?,Appears to be a list of body parts (used in body-part tallying) with attempts at conversion into a decimal-like system,
11,barlowpacific-fait1240-2-nine-1,barlowpacific-fait1240-2,Barlow2024,nine,9,ɑnɑs,anas,,FALSE,?,Appears to be a list of body parts (used in body-part tallying) with attempts at conversion into a decimal-like system,
12,barlowpacific-fait1240-2-ten-1,barlowpacific-fait1240-2,Barlow2024,ten,10,yɑmesɨm,yamesim,,FALSE,10,Appears to be a list of body parts (used in body-part tallying) with attempts at conversion into a decimal-like system,
13,barlowpacific-fait1240-2-eleven-1,barlowpacific-fait1240-2,Barlow2024,eleven,11,pɑβrɑ yɑmesɨm,pabrayamesim,,FALSE,1+10,,
14,barlowpacific-fait1240-2-twelve-1,barlowpacific-fait1240-2,Barlow2024,twelve,12,pɑβrɑ ɑriŋɡɑ,pabraaringga,,FALSE,1[⋅10]+2,"Inspired by written notation (i.e., <1>, <2>) (?)",
15,barlowpacific-fait1240-2-thirteen-1,barlowpacific-fait1240-2,Barlow2024,thirteen,13,pɑβrɑ sɑke,pabrasake,,FALSE,1[⋅10]+3,"Inspired by written notation (i.e., <1>, <3>) (?)",
16,barlowpacific-fait1240-2-twenty-1,barlowpacific-fait1240-2,Barlow2024,twenty,20,ɑriŋɡɑβɨrɑ yɑmesɨm,aringgabirayamesim,,FALSE,2⋅10,,
17,barlowpacific-fait1240-2-twentyone-1,barlowpacific-fait1240-2,Barlow2024,twentyone,21,ɑriŋɡɑβɨrɑ yɑmesɨm pɑ,aringgabirayamesimpa,,FALSE,(2⋅10)[+]1,,
18,barlowpacific-fait1240-2-twentythree-1,barlowpacific-fait1240-2,Barlow2024,twentythree,23,ɑriŋɡɑβɨrɑ yɑmesɨm sɑke,aringgabirayamesimsake,,FALSE,(2⋅10)[+]3,,
