,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-maia1254-1-one-1,numerals-maia1254-1,Chan2019,one,1,duwa,duwa,,FALSE,1,,
2,numerals-maia1254-1-two-1,numerals-maia1254-1,Chan2019,two,2,iner,iner,,FALSE,2,,
3,numerals-maia1254-1-three-1,numerals-maia1254-1,Chan2019,three,3,arop,arop,,FALSE,3,,
4,numerals-maia1254-1-four-1,numerals-maia1254-1,Chan2019,four,4,rabam,rabam,,FALSE,4,,
5,numerals-maia1254-1-five-1,numerals-maia1254-1,Chan2019,five,5,iɡur,igur,,FALSE,5,,
6,numerals-maia1254-1-six-1,numerals-maia1254-1,Chan2019,six,6,iɡur kuvikra duwa,igurkuvikraduwa,(litː 'five other side one'),FALSE,5+{other.side}1,,
7,numerals-maia1254-1-seven-1,numerals-maia1254-1,Chan2019,seven,7,iɡur kuvikra iner,igurkuvikrainer,(litː 'five other side two'),FALSE,5+{other.side}2,,
8,numerals-maia1254-1-eight-1,numerals-maia1254-1,Chan2019,eight,8,iɡur kuvikra arop,igurkuvikraarop,(litː 'five other side three'),FALSE,5+{other.side}3,,
9,numerals-maia1254-1-nine-1,numerals-maia1254-1,Chan2019,nine,9,iɡur kuvikra rabam,igurkuvikrarabam,(litː 'five other side four'),FALSE,5+{other.side}4,,
10,numerals-maia1254-1-ten-1,numerals-maia1254-1,Chan2019,ten,10,iɡur kuvikra iɡur,igurkuvikraigur,(litː ' five other side five'),FALSE,5+{other.side}5,,
