,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,barlowpacific-mian1254-1-one-1,barlowpacific-mian1254-1,Barlow2024,one,1,utúa,utua,,FALSE,1,,
2,barlowpacific-mian1254-1-two-1,barlowpacific-mian1254-1,Barlow2024,two,2,na̤r,nar,,FALSE,2,,
3,barlowpacific-mian1254-1-three-1,barlowpacific-mian1254-1,Barlow2024,three,3,aró̱p,arop,,FALSE,3,,
4,barlowpacific-mian1254-1-four-1,barlowpacific-mian1254-1,Barlow2024,four,4,ará̤bam,arabam,,FALSE,4,,
5,barlowpacific-mian1254-1-five-1,barlowpacific-mian1254-1,Barlow2024,five,5,uná pakák,unapakak,,FALSE,5,,
6,barlowpacific-mian1254-1-six-1,barlowpacific-mian1254-1,Barlow2024,six,6,dawira utúa,dawirautua,,FALSE,5′+1,,
7,barlowpacific-mian1254-1-seven-1,barlowpacific-mian1254-1,Barlow2024,seven,7,dawira na̤r,dawiranar,,FALSE,5′+2,,
8,barlowpacific-mian1254-1-eight-1,barlowpacific-mian1254-1,Barlow2024,eight,8,dawira aro̱p,dawiraarop,,FALSE,5′+3,,
9,barlowpacific-mian1254-1-nine-1,barlowpacific-mian1254-1,Barlow2024,nine,9,dawira ará̤bam,dawiraarabam,,FALSE,5′+4,,
10,barlowpacific-mian1254-1-ten-1,barlowpacific-mian1254-1,Barlow2024,ten,10,wabota,wabota,,FALSE,10,,
11,barlowpacific-mian1254-1-eleven-1,barlowpacific-mian1254-1,Barlow2024,eleven,11,tuburomóro utúa,tuburomoroutua,,FALSE,10′+1,,
12,barlowpacific-mian1254-1-twelve-1,barlowpacific-mian1254-1,Barlow2024,twelve,12,tuburomóro na̤r,tuburomoronar,,FALSE,10′+2,,
13,barlowpacific-mian1254-1-thirteen-1,barlowpacific-mian1254-1,Barlow2024,thirteen,13,tuburomóro aro̱p,tuburomoroarop,,FALSE,10′+3,,
14,barlowpacific-mian1254-1-fourteen-1,barlowpacific-mian1254-1,Barlow2024,fourteen,14,tuburomóro ará̤bam,tuburomoroarabam,,FALSE,10′+4,,
15,barlowpacific-mian1254-1-fifteen-1,barlowpacific-mian1254-1,Barlow2024,fifteen,15,tuburomóro uná pakák,tuburomorounapakak,,FALSE,10′+5,,
16,barlowpacific-mian1254-1-sixteen-1,barlowpacific-mian1254-1,Barlow2024,sixteen,16,tuburomóro dawira utúa,tuburomorodawirautua,,FALSE,10′+5′+1,,
17,barlowpacific-mian1254-1-seventeen-1,barlowpacific-mian1254-1,Barlow2024,seventeen,17,tuburomóro dawira na̤r,tuburomorodawiranar,,FALSE,10′+5′+2,,
18,barlowpacific-mian1254-1-eighteen-1,barlowpacific-mian1254-1,Barlow2024,eighteen,18,tuburomóro dawira aro̱p,tuburomorodawiraarop,,FALSE,10′+5′+3,,
19,barlowpacific-mian1254-1-nineteen-1,barlowpacific-mian1254-1,Barlow2024,nineteen,19,tuburomóro dawira ará̤bam,tuburomorodawiraarabam,,FALSE,10′+5′+4,,
20,barlowpacific-mian1254-1-twenty-1,barlowpacific-mian1254-1,Barlow2024,twenty,20,moato utúa,moatoutua,‘man one’,FALSE,20⋅1,‘man one’,
