,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-buru1306-1-one-1,numerals-buru1306-1,Chan2019,one,1,mohot,mohot,,FALSE,1,,
2,numerals-buru1306-1-one-2,numerals-buru1306-1,Chan2019,one,1,mohok,mohok,,FALSE,1,,
3,numerals-buru1306-1-two-1,numerals-buru1306-1,Chan2019,two,2,yaɣət,yagat,,FALSE,2,,
4,numerals-buru1306-1-two-2,numerals-buru1306-1,Chan2019,two,2,weit,weit,,FALSE,2,,
5,numerals-buru1306-1-three-1,numerals-buru1306-1,Chan2019,three,3,karəbut,karabut,,FALSE,3,,
6,numerals-buru1306-1-three-2,numerals-buru1306-1,Chan2019,three,3,karəmbət,karambat,,FALSE,3,,
7,numerals-buru1306-1-four-1,numerals-buru1306-1,Chan2019,four,4,kimbim,kimbim,,FALSE,4,Historically 2′+2′ (?),
8,numerals-buru1306-1-four-2,numerals-buru1306-1,Chan2019,four,4,kwɣəp,kwgap,,FALSE,4,Historically 2″+2 (?),
9,numerals-buru1306-1-four-3,numerals-buru1306-1,Chan2019,four,4,nam kwaɣə,namkwaga,,FALSE,4,Historically 2″+2 (?),
10,numerals-buru1306-1-four-4,numerals-buru1306-1,Chan2019,four,4,kiɣuwet,kiguwet,,FALSE,4,Historically 2″+2 (?),
11,numerals-buru1306-1-four-5,numerals-buru1306-1,Chan2019,four,4,kiɡwet,kigwet,,FALSE,4,Historically 2″+2 (?),
12,numerals-buru1306-1-five-1,numerals-buru1306-1,Chan2019,five,5,bərə kun,barakun,,FALSE,5[⋅]1′,‘hand one’ (?),
13,numerals-buru1306-1-five-2,numerals-buru1306-1,Chan2019,five,5,biri kun,birikun,(litː ''hand one'' ),FALSE,5[⋅]1′,‘hand one’ (?),
14,numerals-buru1306-1-six-1,numerals-buru1306-1,Chan2019,six,6,aŋɡəlikep moɣot,anggalikepmogot,(litː ''on the other hand side one''),FALSE,[5]+1,‘other.side? one’ (?),
15,numerals-buru1306-1-seven-1,numerals-buru1306-1,Chan2019,seven,7,aŋɡəlikep yaɣət,anggalikepyagat,,FALSE,[5]+2,,
16,numerals-buru1306-1-eight-1,numerals-buru1306-1,Chan2019,eight,8,aŋɡəlikep karəbut,anggalikepkarabut,,FALSE,[5]+3,,
17,numerals-buru1306-1-nine-1,numerals-buru1306-1,Chan2019,nine,9,aŋɡəlikep kiɣuwet,anggalikepkiguwet,,FALSE,[5]+4,,
18,numerals-buru1306-1-nine-2,numerals-buru1306-1,Chan2019,nine,9,aŋɡəlikep kimkim kwaɣəp,anggalikepkimkimkwagap,,FALSE,?,The form appears erroneously to contain two versions of “4” in the same form,
19,numerals-buru1306-1-ten-1,numerals-buru1306-1,Chan2019,ten,10,bərə yaɣət,barayagat,,FALSE,5[⋅]2,‘hand two’,
20,numerals-buru1306-1-ten-2,numerals-buru1306-1,Chan2019,ten,10,biri weit,biriweit,(litː ''hand two'' ),FALSE,5[⋅]2,‘hand two’,
21,numerals-buru1306-1-eleven-1,numerals-buru1306-1,Chan2019,eleven,11,bərə yaɣət kəna aŋɡəlikep moɣot,barayagatkanaanggalikepmogot,(litː ''hands two foot one one the other side one'),FALSE,(5[⋅]2){5′}+1,‘hand two foot ‘other.side? one’ (?),
22,numerals-buru1306-1-twelve-1,numerals-buru1306-1,Chan2019,twelve,12,bərə yaɣət kəna aŋɡəlikep yaɣət,barayagatkanaanggalikepyagat,,FALSE,(5[⋅]2){5′}+2,,
23,numerals-buru1306-1-thirteen-1,numerals-buru1306-1,Chan2019,thirteen,13,bərə yaɣət kəna aŋɡəlikep karəbut,barayagatkanaanggalikepkarabut,,FALSE,(5[⋅]2){5′}+3,,
24,numerals-buru1306-1-fourteen-1,numerals-buru1306-1,Chan2019,fourteen,14,bərə yaɣət kəna aŋɡəlikep kiɣuwet,barayagatkanaanggalikepkiguwet,,FALSE,(5[⋅]2){5′}+4,,
25,numerals-buru1306-1-fifteen-1,numerals-buru1306-1,Chan2019,fifteen,15,bərə yaɣət kəna kun,barayagatkanakun,(litː ''hands two foot one'),FALSE,(5[⋅]2)[+](5′[⋅]1′),‘hand two foot one’ (?),
26,numerals-buru1306-1-sixteen-1,numerals-buru1306-1,Chan2019,sixteen,16,bərə yaɣət kəna kun aŋɡəlikep moɣot,barayagatkanakunanggalikepmogot,(litː ''hands two foot on the other side one'),FALSE,(5[⋅]2)[+](5′[⋅]1′)+1,‘hand two foot one ‘other.side? one’ (?),
27,numerals-buru1306-1-seventeen-1,numerals-buru1306-1,Chan2019,seventeen,17,bərə yaɣət kəna kun aŋɡəlikep yaɣət,barayagatkanakunanggalikepyagat,,FALSE,(5[⋅]2)[+](5′[⋅]1′)+2,,
28,numerals-buru1306-1-eighteen-1,numerals-buru1306-1,Chan2019,eighteen,18,bərə yaɣət kəna kun aŋɡəlikep karəbut,barayagatkanakunanggalikepkarabut,,FALSE,(5[⋅]2)[+](5′[⋅]1′)+3,,
29,numerals-buru1306-1-nineteen-1,numerals-buru1306-1,Chan2019,nineteen,19,bərə yaɣət kəna kun aŋɡəlikep kiɣuwet,barayagatkanakunanggalikepkiguwet,,FALSE,(5[⋅]2)[+](5′[⋅]1′)+4,,
30,numerals-buru1306-1-twenty-1,numerals-buru1306-1,Chan2019,twenty,20,kəna bərə kərek,kanabarakarek,(litː ''foots and hands all'),FALSE,(5′[+]5)[⋅]2‴,‘foot hand all’,
31,numerals-buru1306-1-twenty-2,numerals-buru1306-1,Chan2019,twenty,20,azi kun,azikun,(litː 'man one'),FALSE,20[⋅]1′,‘man one’,
