,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-kofe1239-1-one-1,numerals-kofe1239-1,Chan2019,one,1,ho'ai,hoai,,FALSE,1,,
2,numerals-kofe1239-1-one-2,numerals-kofe1239-1,Chan2019,one,1,ho'ei,hoei,,FALSE,1,,
3,numerals-kofe1239-1-one-3,numerals-kofe1239-1,Chan2019,one,1,oi'ai,oiai,,FALSE,1,,
4,numerals-kofe1239-1-two-1,numerals-kofe1239-1,Chan2019,two,2,a'βimi,abimi,,FALSE,2,,
5,numerals-kofe1239-1-two-2,numerals-kofe1239-1,Chan2019,two,2,a'βini,abini,,FALSE,2,,
6,numerals-kofe1239-1-three-1,numerals-kofe1239-1,Chan2019,three,3,zaⁱ,zai,,FALSE,3,,
7,numerals-kofe1239-1-three-2,numerals-kofe1239-1,Chan2019,three,3,dzaⁱ,dzai,,FALSE,3,,
8,numerals-kofe1239-1-four-1,numerals-kofe1239-1,Chan2019,four,4,nɛ.ɛ'ɡurɛ,neegure,,FALSE,4,,
9,numerals-kofe1239-1-five-1,numerals-kofe1239-1,Chan2019,five,5,'aβe,abe,,FALSE,5,,
10,numerals-kofe1239-1-five-2,numerals-kofe1239-1,Chan2019,five,5,aⁱ'we,aiwe,,FALSE,5,,
11,numerals-kofe1239-1-six-1,numerals-kofe1239-1,Chan2019,six,6,dumulo'ai,dumuloai,,FALSE,5′+1,,
12,numerals-kofe1239-1-seven-1,numerals-kofe1239-1,Chan2019,seven,7,dumu'lawimi,dumulawimi,,FALSE,5′+2,,
13,numerals-kofe1239-1-eight-1,numerals-kofe1239-1,Chan2019,eight,8,dumulᵘe'zaⁱ,dumuluezai,,FALSE,5′+3,,
14,numerals-kofe1239-1-nine-1,numerals-kofe1239-1,Chan2019,nine,9,dumulᵘe'zeⁱ,dumuluezei,,FALSE,?,9 = 8 (?_,
15,numerals-kofe1239-1-ten-1,numerals-kofe1239-1,Chan2019,ten,10,aⁱweⁱa'βimi,aiweiabimi,,FALSE,5∙2,,
