,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-yess1239-1-one-1,numerals-yess1239-1,Chan2019,one,1,wuri,wuri,,FALSE,1,,
2,numerals-yess1239-1-two-1,numerals-yess1239-1,Chan2019,two,2,pesi,pesi,,FALSE,2,,
3,numerals-yess1239-1-three-1,numerals-yess1239-1,Chan2019,three,3,mur,mur,,FALSE,3,,
4,numerals-yess1239-1-four-1,numerals-yess1239-1,Chan2019,four,4,eis,eis,,FALSE,4,,
5,numerals-yess1239-1-five-1,numerals-yess1239-1,Chan2019,five,5,letrane,letrane,,FALSE,5{some},‘hand some’,
6,numerals-yess1239-1-six-1,numerals-yess1239-1,Chan2019,six,6,letrane wuri kera,letranewurikera,,FALSE,5{some}[+]1{holding?},,
7,numerals-yess1239-1-seven-1,numerals-yess1239-1,Chan2019,seven,7,letrane pes kera,letranepeskera,,FALSE,5{some}[+]2{holding?},,
8,numerals-yess1239-1-eight-1,numerals-yess1239-1,Chan2019,eight,8,letrane mur kera,letranemurkera,,FALSE,5{some}[+]3{holding?},,
9,numerals-yess1239-1-nine-1,numerals-yess1239-1,Chan2019,nine,9,letrane eis kera,letraneeiskera,,FALSE,5{some}[+]4{holding?},,
10,numerals-yess1239-1-ten-1,numerals-yess1239-1,Chan2019,ten,10,letpeis,letpeis,(litː ''hand-two''),FALSE,5⋅2,‘hand two’,
11,numerals-yess1239-1-eleven-1,numerals-yess1239-1,Chan2019,eleven,11,letpeis towe wuri kera,letpeistowewurikera,,FALSE,(5[⋅]2)+{+?}1{holding?},,
12,numerals-yess1239-1-twelve-1,numerals-yess1239-1,Chan2019,twelve,12,letpeis towe pes kera,letpeistowepeskera,,FALSE,(5[⋅]2)+{+?}2{holding?},,
13,numerals-yess1239-1-thirteen-1,numerals-yess1239-1,Chan2019,thirteen,13,letpeis towe mur kera,letpeistowemurkera,,FALSE,(5[⋅]2)+{+?}3{holding?},,
14,numerals-yess1239-1-fourteen-1,numerals-yess1239-1,Chan2019,fourteen,14,letpeis towe eis kera,letpeistoweeiskera,,FALSE,(5[⋅]2)+{+?}4{holding?},,
15,numerals-yess1239-1-fifteen-1,numerals-yess1239-1,Chan2019,fifteen,15,letpeis towe letrane kera,letpeistoweletranekera,,FALSE,(5[⋅]2)+{+?}5{some}{holding?},,
16,numerals-yess1239-1-sixteen-1,numerals-yess1239-1,Chan2019,sixteen,16,letpeis towe letrane wuri kera,letpeistoweletranewurikera,,FALSE,(5[⋅]2)+{+?}5{some}[+]1{holding?},,
17,numerals-yess1239-1-seventeen-1,numerals-yess1239-1,Chan2019,seventeen,17,letpeis towe letrane pes kera,letpeistoweletranepeskera,,FALSE,(5[⋅]2)+{+?}5{some}[+]2{holding?},,
18,numerals-yess1239-1-eighteen-1,numerals-yess1239-1,Chan2019,eighteen,18,letpeis towe letrane mur kera,letpeistoweletranemurkera,,FALSE,(5[⋅]2)+{+?}5{some}[+]3{holding?},,
19,numerals-yess1239-1-nineteen-1,numerals-yess1239-1,Chan2019,nineteen,19,letpeis towe letrane eis kera,letpeistoweletraneeiskera,,FALSE,(5[⋅]2)+{+?}5{some}[+]4{holding?},,
20,numerals-yess1239-1-twenty-1,numerals-yess1239-1,Chan2019,twenty,20,tame wuri ok,tamewuriok,,FALSE,20[⋅]1{full},‘man one full’,
21,numerals-yess1239-1-forty-1,numerals-yess1239-1,Chan2019,forty,40,tame pesri ok,tamepesriok,,FALSE,20[⋅]2{full},,
22,numerals-yess1239-1-sixty-1,numerals-yess1239-1,Chan2019,sixty,60,tame murri ok,tamemurriok,,FALSE,20[⋅]3{full},,
23,numerals-yess1239-1-eighty-1,numerals-yess1239-1,Chan2019,eighty,80,tame eisri ok,tameeisriok,,FALSE,20[⋅]4{full},,
24,numerals-yess1239-1-hundred-1,numerals-yess1239-1,Chan2019,hundred,100,tame letraneri ok,tameletraneriok,,FALSE,20[⋅]5{some}{full},,
25,numerals-yess1239-1-twohundred-1,numerals-yess1239-1,Chan2019,twohundred,200,tame nuɡwape ok,tamenugwapeok,,FALSE,?,"200, 1000, and 2000 all look similar; perhaps these expressions mean ‘many’ (?)",
26,numerals-yess1239-1-thousand-1,numerals-yess1239-1,Chan2019,thousand,1000,tame nuɡwape,tamenugwape,,FALSE,?,"200, 1000, and 2000 all look similar; perhaps these expressions mean ‘many’ (?)",
27,numerals-yess1239-1-twothousand-1,numerals-yess1239-1,Chan2019,twothousand,2000,tame nuɡwapewai,tamenugwapewai,,FALSE,?,"200, 1000, and 2000 all look similar; perhaps these expressions mean ‘many’ (?)",
