,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-suki1245-1-one-1,numerals-suki1245-1,Chan2019,one,1,nimap,nimap,,FALSE,1,,
2,numerals-suki1245-1-two-1,numerals-suki1245-1,Chan2019,two,2,menes,menes,,FALSE,2,,
3,numerals-suki1245-1-three-1,numerals-suki1245-1,Chan2019,three,3,menes nimap,menesnimap,,FALSE,2[+]1,,
4,numerals-suki1245-1-four-1,numerals-suki1245-1,Chan2019,four,4,menes menes,menesmenes,,FALSE,2[+]2,,
5,numerals-suki1245-1-five-1,numerals-suki1245-1,Chan2019,five,5,damti(yap),damtiyap,(kabse),FALSE,5,‘half’ or ‘half only’,5{only}
6,numerals-suki1245-1-six-1,numerals-suki1245-1,Chan2019,six,6,damti(yap) kabse nimap,damtiyapkabsenimap,,FALSE,5{hand}+1,,5{only}{hand}+1
7,numerals-suki1245-1-seven-1,numerals-suki1245-1,Chan2019,seven,7,damti(yap) kabse menes,damtiyapkabsemenes,,FALSE,5{hand}+2,,5{only}{hand}+2
8,numerals-suki1245-1-eight-1,numerals-suki1245-1,Chan2019,eight,8,damti(yap) kabse menes nimap,damtiyapkabsemenesnimap,,FALSE,5{hand}+2[+]1,,5{only}{hand}+2[+]1
9,numerals-suki1245-1-nine-1,numerals-suki1245-1,Chan2019,nine,9,damti(yap) kabse menes menes,damtiyapkabsemenesmenes,,FALSE,5{hand}+2[+]2,,5{only}{hand}+2[+]2
10,numerals-suki1245-1-ten-1,numerals-suki1245-1,Chan2019,ten,10,damti damti,damtidamti,,FALSE,5[+]5,‘half half’,
