,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-ende1246-1-one-1,numerals-ende1246-1,Chan2019,one,1,saʔəsa,saasa,,FALSE,1[⋅]1,,
2,numerals-ende1246-1-two-1,numerals-ende1246-1,Chan2019,two,2,əsa rua,asarua,,FALSE,1[⋅]2,,
3,numerals-ende1246-1-three-1,numerals-ende1246-1,Chan2019,three,3,əsa təlu,asatalu,,FALSE,1[⋅]3,,
4,numerals-ende1246-1-four-1,numerals-ende1246-1,Chan2019,four,4,əsa ʋutu,asavutu,,FALSE,1[⋅]4,,
5,numerals-ende1246-1-five-1,numerals-ende1246-1,Chan2019,five,5,əsa lima,asalima,,FALSE,1[⋅]5,,
6,numerals-ende1246-1-six-1,numerals-ende1246-1,Chan2019,six,6,əsa lima əsa,asalimaasa,(5 + 1),FALSE,1[⋅](5[+]1),,
7,numerals-ende1246-1-seven-1,numerals-ende1246-1,Chan2019,seven,7,əsa lima rua,asalimarua,(5 + 2),FALSE,1[⋅](5[+]2),,
8,numerals-ende1246-1-eight-1,numerals-ende1246-1,Chan2019,eight,8,əsa rua mbutu,asaruambutu,(2  x  4),FALSE,1[⋅]2[⋅]4,,
9,numerals-ende1246-1-nine-1,numerals-ende1246-1,Chan2019,nine,9,əsa təra əsa,asataraasa,(10 -  1),FALSE,1[⋅]([10]−1),,
10,numerals-ende1246-1-ten-1,numerals-ende1246-1,Chan2019,ten,10,əsa sambulu,asasambulu,,FALSE,1[⋅]1[⋅]10,,
11,numerals-ende1246-1-eleven-1,numerals-ende1246-1,Chan2019,eleven,11,sambulu saʔəsa,sambulusaasa,,FALSE,(1[⋅]10)[+](1[⋅]1),,
12,numerals-ende1246-1-twelve-1,numerals-ende1246-1,Chan2019,twelve,12,sambulu əsə rua,sambuluasarua,,FALSE,(1[⋅]10)[+](1[⋅]2),,
