,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-ngad1261-1-one-1,numerals-ngad1261-1,Chan2019,one,1,ʔəsa,asa,,FALSE,1,,
2,numerals-ngad1261-1-two-1,numerals-ngad1261-1,Chan2019,two,2,zua,zua,,FALSE,2,,
3,numerals-ngad1261-1-three-1,numerals-ngad1261-1,Chan2019,three,3,təlu,talu,,FALSE,3,,
4,numerals-ngad1261-1-four-1,numerals-ngad1261-1,Chan2019,four,4,vutu,vutu,,FALSE,4,,
5,numerals-ngad1261-1-five-1,numerals-ngad1261-1,Chan2019,five,5,lima,lima,,FALSE,5,,
6,numerals-ngad1261-1-six-1,numerals-ngad1261-1,Chan2019,six,6,lima əsa,limaasa,( 5 + 1 ),FALSE,5[+]1,,
7,numerals-ngad1261-1-seven-1,numerals-ngad1261-1,Chan2019,seven,7,lima zua,limazua,( 5 + 2 ),FALSE,5[+]2,,
8,numerals-ngad1261-1-eight-1,numerals-ngad1261-1,Chan2019,eight,8,zua butu,zuabutu,( 2  x  4 ),FALSE,2⋅4,,
9,numerals-ngad1261-1-nine-1,numerals-ngad1261-1,Chan2019,nine,9,tarəsa,tarasa,( 10 -  1 ),FALSE,[10]−1,,
10,numerals-ngad1261-1-ten-1,numerals-ngad1261-1,Chan2019,ten,10,səbulu,sabulu,,FALSE,1[⋅]10,,
11,numerals-ngad1261-1-eleven-1,numerals-ngad1261-1,Chan2019,eleven,11,səbulu (neʔe) səʔəsa,sabuluneesaasa,,FALSE,(1[⋅]10){and}+(1[⋅]1),,(1[⋅]10)[+](1[⋅]1)
12,numerals-ngad1261-1-twelve-1,numerals-ngad1261-1,Chan2019,twelve,12,səbulu (neʔe) zua,sabuluneezua,,FALSE,(1[⋅]10){and}+2,,(1[⋅]10)[+]2
13,numerals-ngad1261-1-thirteen-1,numerals-ngad1261-1,Chan2019,thirteen,13,səbulu (neʔe) təlu,sabuluneetalu,,FALSE,(1[⋅]10){and}+3,,(1[⋅]10)[+]3
14,numerals-ngad1261-1-fourteen-1,numerals-ngad1261-1,Chan2019,fourteen,14,səbulu (neʔe) vutu,sabuluneevutu,,FALSE,(1[⋅]10){and}+4,,(1[⋅]10)[+]4
15,numerals-ngad1261-1-fifteen-1,numerals-ngad1261-1,Chan2019,fifteen,15,səbulu (neʔe) lima,sabuluneelima,,FALSE,(1[⋅]10){and}+5,,(1[⋅]10)[+]5
16,numerals-ngad1261-1-sixteen-1,numerals-ngad1261-1,Chan2019,sixteen,16,səbulu (neʔe) lima əsa,sabuluneelimaasa,,FALSE,(1[⋅]10){and}+5[+]1,,(1[⋅]10)[+]5[+]1
17,numerals-ngad1261-1-seventeen-1,numerals-ngad1261-1,Chan2019,seventeen,17,səbulu (neʔe) lima zua,sabuluneelimazua,,FALSE,(1[⋅]10){and}+5[+]2,,(1[⋅]10)[+]5[+]2
18,numerals-ngad1261-1-eighteen-1,numerals-ngad1261-1,Chan2019,eighteen,18,səbulu (neʔe) zua butu,sabuluneezuabutu,,FALSE,(1[⋅]10){and}+(2⋅4),,(1[⋅]10)[+](2⋅4)
19,numerals-ngad1261-1-nineteen-1,numerals-ngad1261-1,Chan2019,nineteen,19,səbulu (neʔe) tarəsa,sabuluneetarasa,,FALSE,(1[⋅]10){and}+([10]−1),,(1[⋅]10)[+]([10]−1)
20,numerals-ngad1261-1-twenty-1,numerals-ngad1261-1,Chan2019,twenty,20,bulu zua,buluzua,,FALSE,10[⋅]2,,
21,numerals-ngad1261-1-twentyone-1,numerals-ngad1261-1,Chan2019,twentyone,21,bulu zua (neʔe) səʔəsa,buluzuaneesaasa,,FALSE,(10[⋅]2){and}+(1[⋅]1),,(10[⋅]2)[+](1[⋅]1)
22,numerals-ngad1261-1-twentytwo-1,numerals-ngad1261-1,Chan2019,twentytwo,22,bulu zua (neʔe) zua,buluzuaneezua,,FALSE,(10[⋅]2){and}+2,,(10[⋅]2)[+]2
23,numerals-ngad1261-1-twentythree-1,numerals-ngad1261-1,Chan2019,twentythree,23,bulu zua (neʔe) təlu,buluzuaneetalu,,FALSE,(10[⋅]2){and}+3,,(10[⋅]2)[+]3
24,numerals-ngad1261-1-twentyfour-1,numerals-ngad1261-1,Chan2019,twentyfour,24,bulu zua (neʔe) vutu,buluzuaneevutu,,FALSE,(10[⋅]2){and}+4,,(10[⋅]2)[+]4
25,numerals-ngad1261-1-twentyfive-1,numerals-ngad1261-1,Chan2019,twentyfive,25,bulu zua (neʔe) lima,buluzuaneelima,,FALSE,(10[⋅]2){and}+5,,(10[⋅]2)[+]5
26,numerals-ngad1261-1-twentysix-1,numerals-ngad1261-1,Chan2019,twentysix,26,bulu zua (neʔe) lima əsa,buluzuaneelimaasa,,FALSE,(10[⋅]2){and}+5[+]1,,(10[⋅]2)[+]5[+]1
27,numerals-ngad1261-1-twentyseven-1,numerals-ngad1261-1,Chan2019,twentyseven,27,bulu zua (neʔe) lima zua,buluzuaneelimazua,,FALSE,(10[⋅]2){and}+5[+]2,,(10[⋅]2)[+]5[+]2
28,numerals-ngad1261-1-twentyeight-1,numerals-ngad1261-1,Chan2019,twentyeight,28,bulu zua (neʔe) zua butu,buluzuaneezuabutu,,FALSE,(10[⋅]2){and}+(2⋅4),,(10[⋅]2)[+](2⋅4)
29,numerals-ngad1261-1-twentynine-1,numerals-ngad1261-1,Chan2019,twentynine,29,bulu zua (neʔe) taraəsa,buluzuaneetaraasa,,FALSE,(10[⋅]2){and}+([10]−1),,(10[⋅]2)[+]([10]−1)
30,numerals-ngad1261-1-thirty-1,numerals-ngad1261-1,Chan2019,thirty,30,bulu təlu,bulutalu,,FALSE,10[⋅]3,,
31,numerals-ngad1261-1-forty-1,numerals-ngad1261-1,Chan2019,forty,40,bulu vutu,buluvutu,,FALSE,10[⋅]4,,
32,numerals-ngad1261-1-fifty-1,numerals-ngad1261-1,Chan2019,fifty,50,bulu lima,bululima,,FALSE,10[⋅]5,,
33,numerals-ngad1261-1-sixty-1,numerals-ngad1261-1,Chan2019,sixty,60,bulu lima əsa,bululimaasa,,FALSE,10[⋅](5[+]1),,
34,numerals-ngad1261-1-seventy-1,numerals-ngad1261-1,Chan2019,seventy,70,bulu lima zua,bululimazua,,FALSE,10[⋅](5[+]2),,
35,numerals-ngad1261-1-eighty-1,numerals-ngad1261-1,Chan2019,eighty,80,bulu zua butu,buluzuabutu,,FALSE,10[⋅]2⋅4,,
36,numerals-ngad1261-1-ninety-1,numerals-ngad1261-1,Chan2019,ninety,90,bulu taraəsa,bulutaraasa,,FALSE,10[⋅]([10]−1),,
37,numerals-ngad1261-1-hundred-1,numerals-ngad1261-1,Chan2019,hundred,100,sə ŋasu,sangasu,,FALSE,1[⋅]100,,
38,numerals-ngad1261-1-twohundred-1,numerals-ngad1261-1,Chan2019,twohundred,200,ŋasu zua,ngasuzua,,FALSE,100[⋅]2,,
39,numerals-ngad1261-1-thousand-1,numerals-ngad1261-1,Chan2019,thousand,1000,sə ribu,saribu,,FALSE,1[⋅]1000,,
40,numerals-ngad1261-1-twothousand-1,numerals-ngad1261-1,Chan2019,twothousand,2000,zua ribu,zuaribu,,FALSE,1000[⋅]2,,
