,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-uabm1237-1-one-1,numerals-uabm1237-1,Chan2019,one,1,mesaʔ=ɛs,mesaes,,FALSE,{1′}1,,
2,numerals-uabm1237-1-two-1,numerals-uabm1237-1,Chan2019,two,2,nua,nua,,FALSE,2,,
3,numerals-uabm1237-1-two-2,numerals-uabm1237-1,Chan2019,two,2,nub,nub,,FALSE,2,,
4,numerals-uabm1237-1-three-1,numerals-uabm1237-1,Chan2019,three,3,tenu,tenu,,FALSE,3,,
5,numerals-uabm1237-1-three-2,numerals-uabm1237-1,Chan2019,three,3,teun,teun,,FALSE,3,Metathesis (?),
6,numerals-uabm1237-1-three-3,numerals-uabm1237-1,Chan2019,three,3,ten,ten,,FALSE,3,,
7,numerals-uabm1237-1-three-4,numerals-uabm1237-1,Chan2019,three,3,tenu̥,tenu,**,FALSE,3,,
8,numerals-uabm1237-1-four-1,numerals-uabm1237-1,Chan2019,four,4,ha,ha,,FALSE,4,,
9,numerals-uabm1237-1-five-1,numerals-uabm1237-1,Chan2019,five,5,nim,nim,,FALSE,5,,
10,numerals-uabm1237-1-six-1,numerals-uabm1237-1,Chan2019,six,6,nɛ,ne,,FALSE,6,,
11,numerals-uabm1237-1-seven-1,numerals-uabm1237-1,Chan2019,seven,7,hitu,hitu,,FALSE,7,,
12,numerals-uabm1237-1-seven-2,numerals-uabm1237-1,Chan2019,seven,7,hiut,hiut,,FALSE,7,Metathesis (?),
13,numerals-uabm1237-1-seven-3,numerals-uabm1237-1,Chan2019,seven,7,hit,hit,,FALSE,7,,
14,numerals-uabm1237-1-seven-4,numerals-uabm1237-1,Chan2019,seven,7,hitu̥,hitu,,FALSE,7,,
15,numerals-uabm1237-1-eight-1,numerals-uabm1237-1,Chan2019,eight,8,faun,faun,,FALSE,8,Metathesis (?),
16,numerals-uabm1237-1-eight-2,numerals-uabm1237-1,Chan2019,eight,8,faɔn,faon,,FALSE,8,Metathesis (?),
17,numerals-uabm1237-1-eight-3,numerals-uabm1237-1,Chan2019,eight,8,fan,fan,,FALSE,8,,
18,numerals-uabm1237-1-eight-4,numerals-uabm1237-1,Chan2019,eight,8,fanu̥,fanu,,FALSE,8,,
19,numerals-uabm1237-1-nine-1,numerals-uabm1237-1,Chan2019,nine,9,seo,seo,,FALSE,9,,
