,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-irar1238-1-one-1,numerals-irar1238-1,Chan2019,one,1,ɛsuɛm,esuem,,FALSE,1{?},,
2,numerals-irar1238-1-one-2,numerals-irar1238-1,Chan2019,one,1,ɛso,eso,,FALSE,1,,
3,numerals-irar1238-1-two-1,numerals-irar1238-1,Chan2019,two,2,ru,ru,,FALSE,2,,
4,numerals-irar1238-1-three-1,numerals-irar1238-1,Chan2019,three,3,tur,tur,,FALSE,3,,
5,numerals-irar1238-1-four-1,numerals-irar1238-1,Chan2019,four,4,ɡiɡiti,gigiti,,FALSE,4,From ‘little [finger]’ (?),
6,numerals-irar1238-1-five-1,numerals-irar1238-1,Chan2019,five,5,fradfid,fradfid,,FALSE,5{side},‘hand side’,
7,numerals-irar1238-1-six-1,numerals-irar1238-1,Chan2019,six,6,fradfid-ɛ-trɛ-(ɛ)su,fradfidetreesu,( 5 + 1 ),FALSE,5+{+}1,,
8,numerals-irar1238-1-seven-1,numerals-irar1238-1,Chan2019,seven,7,fradfid-ɛ-trɛ-ru,fradfidetreru,( 5 + 2 ),FALSE,5+{+}2,,
9,numerals-irar1238-1-eight-1,numerals-irar1238-1,Chan2019,eight,8,fradfid-ɛ-trɛ-tur,fradfidetretur,( 5 + 3 ),FALSE,5+{+}3,,
10,numerals-irar1238-1-nine-1,numerals-irar1238-1,Chan2019,nine,9,fradfid-ɛ-trɛ-ɡiɡiti,fradfidetregigiti,( 5 + 4 ),FALSE,5+{+}4,,
11,numerals-irar1238-1-ten-1,numerals-irar1238-1,Chan2019,ten,10,fradru,fradru,,FALSE,5[⋅]2,‘hand two’,
12,numerals-irar1238-1-eleven-1,numerals-irar1238-1,Chan2019,eleven,11,fradru-risi-ɛsuɛm,fradrurisiesuem,,FALSE,(5[⋅]2)+{+′}1{?},,
13,numerals-irar1238-1-twelve-1,numerals-irar1238-1,Chan2019,twelve,12,fradru-risi-ru,fradrurisiru,,FALSE,(5[⋅]2)+{+′}2,,
14,numerals-irar1238-1-thirteen-1,numerals-irar1238-1,Chan2019,thirteen,13,fradru-risi-tur,fradrurisitur,,FALSE,(5[⋅]2)+{+′}3,,
