,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-bipi1237-1-one-1,numerals-bipi1237-1,Chan2019,one,1,sih,sih,,FALSE,1,,
2,numerals-bipi1237-1-two-1,numerals-bipi1237-1,Chan2019,two,2,xuoh,xuoh,,FALSE,2{CLF?},,
3,numerals-bipi1237-1-three-1,numerals-bipi1237-1,Chan2019,three,3,taloh,taloh,,FALSE,3,,
4,numerals-bipi1237-1-four-1,numerals-bipi1237-1,Chan2019,four,4,hah,hah,,FALSE,4,,
5,numerals-bipi1237-1-five-1,numerals-bipi1237-1,Chan2019,five,5,limeh,limeh,,FALSE,5,,
6,numerals-bipi1237-1-six-1,numerals-bipi1237-1,Chan2019,six,6,wonoh,wonoh,,FALSE,6,,
7,numerals-bipi1237-1-seven-1,numerals-bipi1237-1,Chan2019,seven,7,andritaloh,andritaloh,( 10 - 3 ),FALSE,[10]−3,,
8,numerals-bipi1237-1-eight-1,numerals-bipi1237-1,Chan2019,eight,8,adrorxuoh,adrorxuoh,( 10 - 2 ),FALSE,[10]−2{CLF?},,
9,numerals-bipi1237-1-nine-1,numerals-bipi1237-1,Chan2019,nine,9,androsih,androsih,( 10 - 1 ),FALSE,[10]−1,,
10,numerals-bipi1237-1-ten-1,numerals-bipi1237-1,Chan2019,ten,10,saŋon,sangon,,FALSE,1′⋅10,,
11,numerals-bipi1237-1-eleven-1,numerals-bipi1237-1,Chan2019,eleven,11,saŋon e sih,sangonesih,,FALSE,(1′⋅10)+{+}1,,
12,numerals-bipi1237-1-twelve-1,numerals-bipi1237-1,Chan2019,twelve,12,saŋon e xuoh,sangonexuoh,,FALSE,(1′⋅10)+{+}2,,
13,numerals-bipi1237-1-thirteen-1,numerals-bipi1237-1,Chan2019,thirteen,13,saŋon e taloh,sangonetaloh,,FALSE,(1′⋅10)+{+}3,,
14,numerals-bipi1237-1-fourteen-1,numerals-bipi1237-1,Chan2019,fourteen,14,saŋon e hah,sangonehah,,FALSE,(1′⋅10)+{+}4,,
15,numerals-bipi1237-1-fifteen-1,numerals-bipi1237-1,Chan2019,fifteen,15,saŋon e limeh,sangonelimeh,,FALSE,(1′⋅10)+{+}5,,
16,numerals-bipi1237-1-sixteen-1,numerals-bipi1237-1,Chan2019,sixteen,16,saŋon e wonoh,sangonewonoh,,FALSE,(1′⋅10)+{+}6,,
17,numerals-bipi1237-1-seventeen-1,numerals-bipi1237-1,Chan2019,seventeen,17,saŋon e adritaloh,sangoneadritaloh,,FALSE,(1′⋅10)+{+}([10]−3),,
18,numerals-bipi1237-1-eighteen-1,numerals-bipi1237-1,Chan2019,eighteen,18,saŋon e adrorxuoh,sangoneadrorxuoh,,FALSE,(1′⋅10)+{+}([10]−2{CLF?}),,
19,numerals-bipi1237-1-nineteen-1,numerals-bipi1237-1,Chan2019,nineteen,19,saŋon e adrosih,sangoneadrosih,,FALSE,(1′⋅10)+{+}([10]−1),,
20,numerals-bipi1237-1-twenty-1,numerals-bipi1237-1,Chan2019,twenty,20,xuŋon,xungon,,FALSE,2⋅10,,
21,numerals-bipi1237-1-twentyone-1,numerals-bipi1237-1,Chan2019,twentyone,21,xuŋon e sih,xungonesih,,FALSE,(2⋅10)+{+}1,,
22,numerals-bipi1237-1-twentytwo-1,numerals-bipi1237-1,Chan2019,twentytwo,22,xuŋon e xuoh,xungonexuoh,,FALSE,(2⋅10)+{+}2,,
23,numerals-bipi1237-1-twentythree-1,numerals-bipi1237-1,Chan2019,twentythree,23,xuŋon e taloh,xungonetaloh,,FALSE,(2⋅10)+{+}3,,
24,numerals-bipi1237-1-twentyfour-1,numerals-bipi1237-1,Chan2019,twentyfour,24,xuŋon e hah,xungonehah,,FALSE,(2⋅10)+{+}4,,
25,numerals-bipi1237-1-twentyfive-1,numerals-bipi1237-1,Chan2019,twentyfive,25,xuŋon e limeh,xungonelimeh,,FALSE,(2⋅10)+{+}5,,
26,numerals-bipi1237-1-twentysix-1,numerals-bipi1237-1,Chan2019,twentysix,26,xuŋon e wonoh,xungonewonoh,,FALSE,(2⋅10)+{+}6,,
27,numerals-bipi1237-1-twentyseven-1,numerals-bipi1237-1,Chan2019,twentyseven,27,xuŋon e adritaloh,xungoneadritaloh,,FALSE,(2⋅10)+{+}([10]−3),,
28,numerals-bipi1237-1-twentyeight-1,numerals-bipi1237-1,Chan2019,twentyeight,28,xuŋon e adrorxuoh,xungoneadrorxuoh,,FALSE,(2⋅10)+{+}([10]−2{CLF?}),,
29,numerals-bipi1237-1-twentynine-1,numerals-bipi1237-1,Chan2019,twentynine,29,xuŋon e adrosih,xungoneadrosih,,FALSE,(2⋅10)+{+}([10]−1),,
30,numerals-bipi1237-1-thirty-1,numerals-bipi1237-1,Chan2019,thirty,30,tuluŋon,tulungon,,FALSE,3′⋅10,,
31,numerals-bipi1237-1-forty-1,numerals-bipi1237-1,Chan2019,forty,40,haŋon,hangon,,FALSE,4⋅10,,
32,numerals-bipi1237-1-fifty-1,numerals-bipi1237-1,Chan2019,fifty,50,limeŋon,limengon,,FALSE,5⋅10,,
33,numerals-bipi1237-1-sixty-1,numerals-bipi1237-1,Chan2019,sixty,60,wonoŋon,wonongon,,FALSE,6⋅10,,
34,numerals-bipi1237-1-seventy-1,numerals-bipi1237-1,Chan2019,seventy,70,adroutuluŋon,adroutulungon,,FALSE,([10]−3)⋅10,,
35,numerals-bipi1237-1-eighty-1,numerals-bipi1237-1,Chan2019,eighty,80,adroxuŋon,adroxungon,,FALSE,([10]−2)⋅10,,
36,numerals-bipi1237-1-ninety-1,numerals-bipi1237-1,Chan2019,ninety,90,adrosaŋon,adrosangon,,FALSE,([10]−1)⋅10,,
37,numerals-bipi1237-1-hundred-1,numerals-bipi1237-1,Chan2019,hundred,100,saŋak,sangak,,FALSE,1′⋅100,,
38,numerals-bipi1237-1-twohundred-1,numerals-bipi1237-1,Chan2019,twohundred,200,xuŋek,xungek,,FALSE,2⋅100,,
39,numerals-bipi1237-1-threehundred-1,numerals-bipi1237-1,Chan2019,threehundred,300,tuluŋek,tulungek,,FALSE,3′⋅100,,
