,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,barlowpacific-eree1241-1-one-1,barlowpacific-eree1241-1,Barlow2024,one,1,sih ,sih,,FALSE,1{CLF?},,
2,barlowpacific-eree1241-1-two-1,barlowpacific-eree1241-1,Barlow2024,two,2,ruoh ,ruoh,,FALSE,2{CLF?},,
3,barlowpacific-eree1241-1-three-1,barlowpacific-eree1241-1,Barlow2024,three,3,tulah ,tulah,,FALSE,3{CLF?},,
4,barlowpacific-eree1241-1-four-1,barlowpacific-eree1241-1,Barlow2024,four,4,hahuw ,hahuw,,FALSE,4{CLF?},,
5,barlowpacific-eree1241-1-five-1,barlowpacific-eree1241-1,Barlow2024,five,5,limoh ,limoh,,FALSE,5{CLF?},,
6,barlowpacific-eree1241-1-six-1,barlowpacific-eree1241-1,Barlow2024,six,6,onah ,onah,,FALSE,6{CLF?},,
7,barlowpacific-eree1241-1-seven-1,barlowpacific-eree1241-1,Barlow2024,seven,7,drotulah ,drotulah,,FALSE,[10]−3{CLF?},,
8,barlowpacific-eree1241-1-eight-1,barlowpacific-eree1241-1,Barlow2024,eight,8,droruoh ,droruoh,,FALSE,[10]−2{CLF?},,
9,barlowpacific-eree1241-1-nine-1,barlowpacific-eree1241-1,Barlow2024,nine,9,droasih ,droasih,,FALSE,[10]−1{CLF?},,
10,barlowpacific-eree1241-1-ten-1,barlowpacific-eree1241-1,Barlow2024,ten,10,saŋul ,sangul,,FALSE,1⋅10,,
11,barlowpacific-eree1241-1-eleven-1,barlowpacific-eree1241-1,Barlow2024,eleven,11,saŋul pe sih ,sangulpesih,,FALSE,(1⋅10)+{+}1{CLF?},,
12,barlowpacific-eree1241-1-twelve-1,barlowpacific-eree1241-1,Barlow2024,twelve,12,saŋul pe ruoh ,sangulperuoh,,FALSE,(1⋅10)+{+}2{CLF?},,
13,barlowpacific-eree1241-1-twenty-1,barlowpacific-eree1241-1,Barlow2024,twenty,20,ruŋul ,rungul,,FALSE,2⋅10,,
14,barlowpacific-eree1241-1-thirty-1,barlowpacific-eree1241-1,Barlow2024,thirty,30,tuluŋul ,tulungul,,FALSE,3⋅10,,
15,barlowpacific-eree1241-1-forty-1,barlowpacific-eree1241-1,Barlow2024,forty,40,haŋul ,hangul,,FALSE,4⋅10,,
16,barlowpacific-eree1241-1-fifty-1,barlowpacific-eree1241-1,Barlow2024,fifty,50,limŋul ,limngul,,FALSE,5⋅10,,
17,barlowpacific-eree1241-1-sixty-1,barlowpacific-eree1241-1,Barlow2024,sixty,60,anŋul ,anngul,,FALSE,6⋅10,,
18,barlowpacific-eree1241-1-seventy-1,barlowpacific-eree1241-1,Barlow2024,seventy,70,drotuluŋul ,drotulungul,,FALSE,([10]−3)⋅10,,
19,barlowpacific-eree1241-1-eighty-1,barlowpacific-eree1241-1,Barlow2024,eighty,80,droruŋul ,drorungul,,FALSE,([10]−2)⋅10,,
20,barlowpacific-eree1241-1-ninety-1,barlowpacific-eree1241-1,Barlow2024,ninety,90,adrisaŋul ,adrisangul,,FALSE,([10]−1)⋅10,,
21,barlowpacific-eree1241-1-hundred-1,barlowpacific-eree1241-1,Barlow2024,hundred,100,siŋat ,singat,,FALSE,1⋅100,,
22,barlowpacific-eree1241-1-twohundred-1,barlowpacific-eree1241-1,Barlow2024,twohundred,200,ruŋet ,runget,,FALSE,2⋅100,,
23,barlowpacific-eree1241-1-threehundred-1,barlowpacific-eree1241-1,Barlow2024,threehundred,300,tulŋet ,tulnget,,FALSE,3⋅100,,
24,barlowpacific-eree1241-1-fourhundred-1,barlowpacific-eree1241-1,Barlow2024,fourhundred,400,haaŋat ,haangat,,FALSE,4⋅100,,
25,barlowpacific-eree1241-1-fivehundred-1,barlowpacific-eree1241-1,Barlow2024,fivehundred,500,limŋet ,limnget,,FALSE,5⋅100,,
26,barlowpacific-eree1241-1-sixhundred-1,barlowpacific-eree1241-1,Barlow2024,sixhundred,600,anŋat ,anngat,,FALSE,6⋅100,,
27,barlowpacific-eree1241-1-sevenhundred-1,barlowpacific-eree1241-1,Barlow2024,sevenhundred,700,drotulŋet ,drotulnget,,FALSE,([10]−3)⋅100,,
28,barlowpacific-eree1241-1-eighthundred-1,barlowpacific-eree1241-1,Barlow2024,eighthundred,800,drorŋet ,drornget,,FALSE,([10]−2)⋅100,,
29,barlowpacific-eree1241-1-ninehundred-1,barlowpacific-eree1241-1,Barlow2024,ninehundred,900,adrisiŋat ,adrisingat,,FALSE,([10]−1)⋅100,,
30,barlowpacific-eree1241-1-thousand-1,barlowpacific-eree1241-1,Barlow2024,thousand,1000,hapwaw ,hapwaw,,FALSE,1000,,
