,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,barlowpacific-lenk1247-2-one-1,barlowpacific-lenk1247-2,Barlow2024,one,1,sip ,sip,,FALSE,1{CLF?},,
2,barlowpacific-lenk1247-2-two-1,barlowpacific-lenk1247-2,Barlow2024,two,2,huep ,huep,,FALSE,2{CLF?},,
3,barlowpacific-lenk1247-2-three-1,barlowpacific-lenk1247-2,Barlow2024,three,3,trilip ,trilip,,FALSE,3{CLF?},,
4,barlowpacific-lenk1247-2-four-1,barlowpacific-lenk1247-2,Barlow2024,four,4,trolotr ,trolotr,,FALSE,4,Innovative (?),
5,barlowpacific-lenk1247-2-five-1,barlowpacific-lenk1247-2,Barlow2024,five,5,ŋuran ,nguran,,FALSE,5,Innovative (?); prefix (?); onset run from following subtractive forms (?),
6,barlowpacific-lenk1247-2-six-1,barlowpacific-lenk1247-2,Barlow2024,six,6,enep ,enep,,FALSE,6{CLF?},,
7,barlowpacific-lenk1247-2-seven-1,barlowpacific-lenk1247-2,Barlow2024,seven,7,ŋaritrilip ,ngaritrilip,,FALSE,[10]−3{CLF?},,
8,barlowpacific-lenk1247-2-eight-1,barlowpacific-lenk1247-2,Barlow2024,eight,8,ŋarihuep ,ngarihuep,,FALSE,[10]−2{CLF?},,
9,barlowpacific-lenk1247-2-nine-1,barlowpacific-lenk1247-2,Barlow2024,nine,9,ŋarisip ,ngarisip,,FALSE,[10]−1{CLF?},,
10,barlowpacific-lenk1247-2-ten-1,barlowpacific-lenk1247-2,Barlow2024,ten,10,saŋahul ,sangahul,,FALSE,1⋅10,,
11,barlowpacific-lenk1247-2-eleven-1,barlowpacific-lenk1247-2,Barlow2024,eleven,11,saŋahul a sip ,sangahulasip,,FALSE,(1⋅10)+{+}1{CLF?},,
12,barlowpacific-lenk1247-2-twelve-1,barlowpacific-lenk1247-2,Barlow2024,twelve,12,saŋahul a huep ,sangahulahuep,,FALSE,(1⋅10)+{+}2{CLF?},,
13,barlowpacific-lenk1247-2-twenty-1,barlowpacific-lenk1247-2,Barlow2024,twenty,20,huŋhul ,hunghul,,FALSE,2⋅10,,
14,barlowpacific-lenk1247-2-thirty-1,barlowpacific-lenk1247-2,Barlow2024,thirty,30,truluŋuhul ,trulunguhul,,FALSE,3⋅10,,
15,barlowpacific-lenk1247-2-forty-1,barlowpacific-lenk1247-2,Barlow2024,forty,40,hawey ,hawey,,FALSE,40,Reflects inherited 4 (?),4′⋅10′
16,barlowpacific-lenk1247-2-fifty-1,barlowpacific-lenk1247-2,Barlow2024,fifty,50,tropol ,tropol,,FALSE,50,,
17,barlowpacific-lenk1247-2-hundred-1,barlowpacific-lenk1247-2,Barlow2024,hundred,100,soŋotr ,songotr,,FALSE,1⋅100,,
18,barlowpacific-lenk1247-2-twohundred-1,barlowpacific-lenk1247-2,Barlow2024,twohundred,200,huŋotr ,hungotr,,FALSE,2⋅100,,
