,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,barlowpacific-penc1239-2-one-1,barlowpacific-penc1239-2,Barlow2024,one,1,sǝw ,saw,,FALSE,1,,
2,barlowpacific-penc1239-2-two-1,barlowpacific-penc1239-2,Barlow2024,two,2,lup ,lup,,FALSE,2{CLF?},,
3,barlowpacific-penc1239-2-three-1,barlowpacific-penc1239-2,Barlow2024,three,3,tulup ,tulup,,FALSE,3{CLF?},,
4,barlowpacific-penc1239-2-four-1,barlowpacific-penc1239-2,Barlow2024,four,4,talǝt ,talat,,FALSE,4,Innovative (?),
5,barlowpacific-penc1239-2-five-1,barlowpacific-penc1239-2,Barlow2024,five,5,rurǝn ,ruran,,FALSE,5,Innovative (?),
6,barlowpacific-penc1239-2-six-1,barlowpacific-penc1239-2,Barlow2024,six,6,unup ,unup,,FALSE,6{CLF?},,
7,barlowpacific-penc1239-2-seven-1,barlowpacific-penc1239-2,Barlow2024,seven,7,karutulup ,karutulup,,FALSE,[10]−3{CLF?},,
8,barlowpacific-penc1239-2-eight-1,barlowpacific-penc1239-2,Barlow2024,eight,8,karulup ,karulup,,FALSE,[10]−2{CLF?},,
9,barlowpacific-penc1239-2-nine-1,barlowpacific-penc1239-2,Barlow2024,nine,9,karusǝw ,karusaw,,FALSE,[10]−1,,
10,barlowpacific-penc1239-2-ten-1,barlowpacific-penc1239-2,Barlow2024,ten,10,saŋahul ,sangahul,,FALSE,1⋅10,,
11,barlowpacific-penc1239-2-eleven-1,barlowpacific-penc1239-2,Barlow2024,eleven,11,saŋahul a sǝw ,sangahulasaw,,FALSE,(1⋅10)+{+}1,,
12,barlowpacific-penc1239-2-twelve-1,barlowpacific-penc1239-2,Barlow2024,twelve,12,saŋahul a lup ,sangahulalup,,FALSE,(1⋅10)+{+}2{CLF?},,
13,barlowpacific-penc1239-2-twenty-1,barlowpacific-penc1239-2,Barlow2024,twenty,20,tiŋihul ,tingihul,,FALSE,2′⋅10,,
14,barlowpacific-penc1239-2-thirty-1,barlowpacific-penc1239-2,Barlow2024,thirty,30,liŋihul ,lingihul,,FALSE,3′⋅10,,
15,barlowpacific-penc1239-2-forty-1,barlowpacific-penc1239-2,Barlow2024,forty,40,hawiy ,hawiy,,FALSE,40,Reflects inherited 4 (?),4′⋅10′
16,barlowpacific-penc1239-2-fifty-1,barlowpacific-penc1239-2,Barlow2024,fifty,50,topol ,topol,,FALSE,50,,
17,barlowpacific-penc1239-2-sixty-1,barlowpacific-penc1239-2,Barlow2024,sixty,60,topol a saŋahul ,topolasangahul,,FALSE,50+{+}(1⋅10),,
18,barlowpacific-penc1239-2-seventy-1,barlowpacific-penc1239-2,Barlow2024,seventy,70,topol a tiŋihul ,topolatingihul,,FALSE,50+{+}(2′⋅10),,
19,barlowpacific-penc1239-2-eighty-1,barlowpacific-penc1239-2,Barlow2024,eighty,80,topol a liŋihul ,topolalingihul,,FALSE,50+{+}(3′⋅10),,
20,barlowpacific-penc1239-2-ninety-1,barlowpacific-penc1239-2,Barlow2024,ninety,90,topol a hawiy ,topolahawiy,,FALSE,50+{+}40,,50+{+}(4′⋅10′)
21,barlowpacific-penc1239-2-hundred-1,barlowpacific-penc1239-2,Barlow2024,hundred,100,saŋǝt ,sangat,,FALSE,1⋅100,,
22,barlowpacific-penc1239-2-twohundred-1,barlowpacific-penc1239-2,Barlow2024,twohundred,200,luŋǝt ,lungat,,FALSE,2⋅100,,
