,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-bong1287-1-one-1,numerals-bong1287-1,Chan2019,one,1,itkwase,itkwase,,FALSE,1,Suffix (?),
2,numerals-bong1287-1-one-2,numerals-bong1287-1,Chan2019,one,1,tekuase,tekuase,,FALSE,1,Suffix (?),
3,numerals-bong1287-1-two-1,numerals-bong1287-1,Chan2019,two,2,erkuat,erkuat,,FALSE,2,Suffix (?),
4,numerals-bong1287-1-two-2,numerals-bong1287-1,Chan2019,two,2,arkwat,arkwat,,FALSE,2,Suffix (?),
5,numerals-bong1287-1-three-1,numerals-bong1287-1,Chan2019,three,3,tor,tor,,FALSE,3,,
6,numerals-bong1287-1-four-1,numerals-bong1287-1,Chan2019,four,4,fau,fau,,FALSE,4,,
7,numerals-bong1287-1-five-1,numerals-bong1287-1,Chan2019,five,5,miekfirpose,miekfirpose,,FALSE,{hand}5{?},‘hand side? ?’ (?),
8,numerals-bong1287-1-five-2,numerals-bong1287-1,Chan2019,five,5,rim,rim,,FALSE,5′,,
9,numerals-bong1287-1-six-1,numerals-bong1287-1,Chan2019,six,6,miekfari tekuase,miekfaritekuase,( 5+1 ),FALSE,{hand}5[+]1,,
10,numerals-bong1287-1-seven-1,numerals-bong1287-1,Chan2019,seven,7,miekfari erkuat,miekfarierkuat,( 5+2 ),FALSE,{hand}5[+]2,,
11,numerals-bong1287-1-eight-1,numerals-bong1287-1,Chan2019,eight,8,miekfari tor,miekfaritor,( 5+3 ),FALSE,{hand}5[+]3,,
12,numerals-bong1287-1-nine-1,numerals-bong1287-1,Chan2019,nine,9,miekfari fau,miekfarifau,( 5+4 ),FALSE,{hand}5[+]4,,
13,numerals-bong1287-1-ten-1,numerals-bong1287-1,Chan2019,ten,10,miekfari foroma,miekfariforoma,,FALSE,{hand}5[+]5{?},‘hand side? side? ?’ (?),
14,numerals-bong1287-1-eleven-1,numerals-bong1287-1,Chan2019,eleven,11,miekfari foroma-dakfarui tekuase,miekfariforomadakfaruitekuase,,FALSE,{hand}5[+]5{?}{foot?}+1,‘hand side? side? ? foot? side? one’ (?),
15,numerals-bong1287-1-twelve-1,numerals-bong1287-1,Chan2019,twelve,12,miekfari foroma-dakfarui erkuat,miekfariforomadakfaruierkuat,,FALSE,{hand}5[+]5{?}{foot?}+2,,
16,numerals-bong1287-1-thirteen-1,numerals-bong1287-1,Chan2019,thirteen,13,miekfari foroma-dakfarui tor,miekfariforomadakfaruitor,,FALSE,{hand}5[+]5{?}{foot?}+3,,
17,numerals-bong1287-1-fourteen-1,numerals-bong1287-1,Chan2019,fourteen,14,miekfari foroma-dakfarui fau,miekfariforomadakfaruifau,,FALSE,{hand}5[+]5{?}{foot?}+4,,
18,numerals-bong1287-1-fifteen-1,numerals-bong1287-1,Chan2019,fifteen,15,miekfari foroma-dakfarui rim,miekfariforomadakfaruirim,,FALSE,{hand}5[+]5{?}{foot?}+5′,,
19,numerals-bong1287-1-sixteen-1,numerals-bong1287-1,Chan2019,sixteen,16,miekfari foroma-dakfarui miekfari tekuase,miekfariforomadakfaruimiekfaritekuase,,FALSE,{hand}5[+]5{?}{foot?}+{hand}5[+]1,,
20,numerals-bong1287-1-seventeen-1,numerals-bong1287-1,Chan2019,seventeen,17,miekfari foroma-dakfarui miekfari erkuat,miekfariforomadakfaruimiekfarierkuat,,FALSE,{hand}5[+]5{?}{foot?}+{hand}5[+]2,,
21,numerals-bong1287-1-eighteen-1,numerals-bong1287-1,Chan2019,eighteen,18,miekfari foroma-dakfarui miekfari tor,miekfariforomadakfaruimiekfaritor,,FALSE,{hand}5[+]5{?}{foot?}+{hand}5[+]3,,
22,numerals-bong1287-1-nineteen-1,numerals-bong1287-1,Chan2019,nineteen,19,miekfari foroma-dakfarui miekfari fau,miekfariforomadakfaruimiekfarifau,,FALSE,{hand}5[+]5{?}{foot?}+{hand}5[+]4,,
23,numerals-bong1287-1-twenty-1,numerals-bong1287-1,Chan2019,twenty,20,temot tekuase,temottekuase,( lit: 'one person'),FALSE,20[⋅]1,‘person one’,
24,numerals-bong1287-1-forty-1,numerals-bong1287-1,Chan2019,forty,40,temot erkuart,temoterkuart,( lit: 'two persons'),FALSE,20[⋅]2,,
