,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-gimi1242-1-one-1,numerals-gimi1242-1,Chan2019,one,1,nake,nake,,FALSE,1,,
2,numerals-gimi1242-1-two-1,numerals-gimi1242-1,Chan2019,two,2,tip,tip,,FALSE,2,Innovative (?),
3,numerals-gimi1242-1-three-1,numerals-gimi1242-1,Chan2019,three,3,mok,mok,,FALSE,3,Innovative (?),
4,numerals-gimi1242-1-four-1,numerals-gimi1242-1,Chan2019,four,4,penɡ,peng,,FALSE,4,,
5,numerals-gimi1242-1-five-1,numerals-gimi1242-1,Chan2019,five,5,liem,liem,,FALSE,5,,
6,numerals-gimi1242-1-six-1,numerals-gimi1242-1,Chan2019,six,6,nake le kon liem nɡo,nakelekonliemngo,( 5 + 1 ),FALSE,1+{+}{?}5{?},,
7,numerals-gimi1242-1-seven-1,numerals-gimi1242-1,Chan2019,seven,7,tip le kon liem nɡo,tiplekonliemngo,( 5 + 2 ),FALSE,2+{+}{?}5{?},,
8,numerals-gimi1242-1-eight-1,numerals-gimi1242-1,Chan2019,eight,8,mok le kon liem nɡo,moklekonliemngo,( 5 + 3 ),FALSE,3+{+}{?}5{?},,
9,numerals-gimi1242-1-nine-1,numerals-gimi1242-1,Chan2019,nine,9,penɡ le kon liem nɡo,penglekonliemngo,( 5 + 4 ),FALSE,4+{+}{?}5{?},,
10,numerals-gimi1242-1-ten-1,numerals-gimi1242-1,Chan2019,ten,10,sunɡul,sungul,,FALSE,10,Historically 1⋅10 (?),
11,numerals-gimi1242-1-eleven-1,numerals-gimi1242-1,Chan2019,eleven,11,sunɡul nake ile nake,sungulnakeilenake,,FALSE,(10[⋅]1)+{+}1,,
12,numerals-gimi1242-1-twelve-1,numerals-gimi1242-1,Chan2019,twelve,12,sunɡul nake ile tip,sungulnakeiletip,,FALSE,(10[⋅]1)+{+}2,,
13,numerals-gimi1242-1-thirteen-1,numerals-gimi1242-1,Chan2019,thirteen,13,sunɡul nake ile mok,sungulnakeilemok,,FALSE,(10[⋅]1)+{+}3,,
14,numerals-gimi1242-1-fourteen-1,numerals-gimi1242-1,Chan2019,fourteen,14,sunɡul nake ile penɡ,sungulnakeilepeng,,FALSE,(10[⋅]1)+{+}4,,
15,numerals-gimi1242-1-fifteen-1,numerals-gimi1242-1,Chan2019,fifteen,15,sunɡul nake ile liem,sungulnakeileliem,,FALSE,(10[⋅]1)+{+}5,,
16,numerals-gimi1242-1-sixteen-1,numerals-gimi1242-1,Chan2019,sixteen,16,sunɡul nake ile nake ke kon liem nɡo,sungulnakeilenakekekonliemngo,,FALSE,(10[⋅]1)+{+}1+{+}{?}5{?},,
17,numerals-gimi1242-1-seventeen-1,numerals-gimi1242-1,Chan2019,seventeen,17,sunɡul nake ile tip ke kon liem nɡo,sungulnakeiletipkekonliemngo,,FALSE,(10[⋅]1)+{+}2+{+}{?}5{?},,
18,numerals-gimi1242-1-eighteen-1,numerals-gimi1242-1,Chan2019,eighteen,18,sunɡul nake ile mok ke kon liem nɡo,sungulnakeilemokkekonliemngo,,FALSE,(10[⋅]1)+{+}3+{+}{?}5{?},,
19,numerals-gimi1242-1-nineteen-1,numerals-gimi1242-1,Chan2019,nineteen,19,sunɡul nake ile penɡ ke kon liem nɡo,sungulnakeilepengkekonliemngo,,FALSE,(10[⋅]1)+{+}4+{+}{?}5{?},,
20,numerals-gimi1242-1-twenty-1,numerals-gimi1242-1,Chan2019,twenty,20,sunɡul tip,sungultip,,FALSE,10[⋅]2,,
21,numerals-gimi1242-1-twentyone-1,numerals-gimi1242-1,Chan2019,twentyone,21,sunɡul tip ile nake,sungultipilenake,,FALSE,(10[⋅]2)+{+}1,,
22,numerals-gimi1242-1-twentytwo-1,numerals-gimi1242-1,Chan2019,twentytwo,22,sunɡul tip ile tip,sungultipiletip,,FALSE,(10[⋅]2)+{+}2,,
23,numerals-gimi1242-1-twentythree-1,numerals-gimi1242-1,Chan2019,twentythree,23,sunɡul tip ile mok,sungultipilemok,,FALSE,(10[⋅]2)+{+}3,,
24,numerals-gimi1242-1-twentyfour-1,numerals-gimi1242-1,Chan2019,twentyfour,24,sunɡul tip ile penɡ,sungultipilepeng,,FALSE,(10[⋅]2)+{+}4,,
25,numerals-gimi1242-1-twentyfive-1,numerals-gimi1242-1,Chan2019,twentyfive,25,sunɡul tip ile liem,sungultipileliem,,FALSE,(10[⋅]2)+{+}5,,
26,numerals-gimi1242-1-twentysix-1,numerals-gimi1242-1,Chan2019,twentysix,26,sunɡul tip ile nake le kon liem nɡo,sungultipilenakelekonliemngo,,FALSE,(10[⋅]2)+{+}1+{+}{?}5{?},,
27,numerals-gimi1242-1-twentyseven-1,numerals-gimi1242-1,Chan2019,twentyseven,27,sunɡul tip ile tip le kon liem nɡo,sungultipiletiplekonliemngo,,FALSE,(10[⋅]2)+{+}2+{+}{?}5{?},,
28,numerals-gimi1242-1-twentyeight-1,numerals-gimi1242-1,Chan2019,twentyeight,28,sunɡul tip ile mok le kon liem nɡo,sungultipilemoklekonliemngo,,FALSE,(10[⋅]2)+{+}3+{+}{?}5{?},,
29,numerals-gimi1242-1-twentynine-1,numerals-gimi1242-1,Chan2019,twentynine,29,sunɡul tip ile penɡ le kon liem nɡo,sungultipilepenglekonliemngo,,FALSE,(10[⋅]2)+{+}4+{+}{?}5{?},,
30,numerals-gimi1242-1-thirty-1,numerals-gimi1242-1,Chan2019,thirty,30,sunɡul mok,sungulmok,,FALSE,10[⋅]3,,
31,numerals-gimi1242-1-forty-1,numerals-gimi1242-1,Chan2019,forty,40,sunɡul penɡ,sungulpeng,,FALSE,10[⋅]4,,
32,numerals-gimi1242-1-fifty-1,numerals-gimi1242-1,Chan2019,fifty,50,sunɡul liem,sungulliem,,FALSE,10[⋅]5,,
33,numerals-gimi1242-1-sixty-1,numerals-gimi1242-1,Chan2019,sixty,60,sunɡul nake le kon liem nɡo,sungulnakelekonliemngo,,FALSE,10[⋅](1+{+}{?}5{?}),,
34,numerals-gimi1242-1-seventy-1,numerals-gimi1242-1,Chan2019,seventy,70,sunɡul tip le kon liem nɡo,sungultiplekonliemngo,,FALSE,10[⋅](2+{+}{?}5{?}),,
35,numerals-gimi1242-1-eighty-1,numerals-gimi1242-1,Chan2019,eighty,80,sunɡul mok le kon liem nɡo,sungulmoklekonliemngo,,FALSE,10[⋅](3+{+}{?}5{?}),,
36,numerals-gimi1242-1-ninety-1,numerals-gimi1242-1,Chan2019,ninety,90,sunɡul penɡ le kon liem nɡo,sungulpenglekonliemngo,,FALSE,10[⋅](4+{+}{?}5{?}),,
37,numerals-gimi1242-1-hundred-1,numerals-gimi1242-1,Chan2019,hundred,100,sunɡul sunɡul,sungulsungul,,FALSE,10[⋅]10,,
38,numerals-gimi1242-1-twohundred-1,numerals-gimi1242-1,Chan2019,twohundred,200,tu handret,tuhandret,< English 'hundred',TRUE,2′[⋅]100,Borrowed from English,
39,numerals-gimi1242-1-thousand-1,numerals-gimi1242-1,Chan2019,thousand,1000,wan tausen,wantausen,< English 'thousand',TRUE,1′[⋅]1000,Borrowed from English,
40,numerals-gimi1242-1-twothousand-1,numerals-gimi1242-1,Chan2019,twothousand,2000,tu tausen,tutausen,,FALSE,2′[⋅]1000,Borrowed from English,
