,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-kove1237-2-one-1,numerals-kove1237-2,Chan2019,one,1,eze,eze,,FALSE,1,,
2,numerals-kove1237-2-two-1,numerals-kove1237-2,Chan2019,two,2,hua,hua,,FALSE,2,,
3,numerals-kove1237-2-three-1,numerals-kove1237-2,Chan2019,three,3,tolu,tolu,,FALSE,3,,
4,numerals-kove1237-2-four-1,numerals-kove1237-2,Chan2019,four,4,paŋe,pange,,FALSE,4,,
5,numerals-kove1237-2-five-1,numerals-kove1237-2,Chan2019,five,5,lima,lima,,FALSE,5,,
6,numerals-kove1237-2-six-1,numerals-kove1237-2,Chan2019,six,6,lima ɣa eze,limagaeze,( 5 + 1 ),FALSE,5{and}+1,,
7,numerals-kove1237-2-seven-1,numerals-kove1237-2,Chan2019,seven,7,lima ɣa hua,limagahua,( 5 + 2 ),FALSE,5{and}+2,,
8,numerals-kove1237-2-eight-1,numerals-kove1237-2,Chan2019,eight,8,lima ɣa tolu,limagatolu,( 5 + 3 ),FALSE,5{and}+3,,
9,numerals-kove1237-2-nine-1,numerals-kove1237-2,Chan2019,nine,9,lima ɣa paŋe,limagapange,( 5 + 4 ),FALSE,5{and}+4,,
10,numerals-kove1237-2-ten-1,numerals-kove1237-2,Chan2019,ten,10,saŋaulu,sangaulu,,FALSE,10⋅1′,Historically 1⋅10 (?),
11,numerals-kove1237-2-eleven-1,numerals-kove1237-2,Chan2019,eleven,11,saŋaulu ɣa eze,sangaulugaeze,,FALSE,(10⋅1′){and}+1,,
12,numerals-kove1237-2-twelve-1,numerals-kove1237-2,Chan2019,twelve,12,saŋaulu ɣa hua,sangaulugahua,,FALSE,(10⋅1′){and}+2,,
13,numerals-kove1237-2-thirteen-1,numerals-kove1237-2,Chan2019,thirteen,13,saŋaulu ɣa tolu,sangaulugatolu,,FALSE,(10⋅1′){and}+3,,
14,numerals-kove1237-2-fourteen-1,numerals-kove1237-2,Chan2019,fourteen,14,saŋaulu ɣa paŋe,sangaulugapange,,FALSE,(10⋅1′){and}+4,,
15,numerals-kove1237-2-fifteen-1,numerals-kove1237-2,Chan2019,fifteen,15,saŋaulu ɣa lima,sangaulugalima,,FALSE,(10⋅1′){and}+5,,
16,numerals-kove1237-2-sixteen-1,numerals-kove1237-2,Chan2019,sixteen,16,saŋaulu ɣa lima ɣa eze,sangaulugalimagaeze,,FALSE,(10⋅1′){and}+5{and}+1,,
17,numerals-kove1237-2-seventeen-1,numerals-kove1237-2,Chan2019,seventeen,17,saŋaulu ɣa lima ɣa hua,sangaulugalimagahua,,FALSE,(10⋅1′){and}+5{and}+2,,
18,numerals-kove1237-2-eighteen-1,numerals-kove1237-2,Chan2019,eighteen,18,saŋaulu ɣa lima ɣa tolu,sangaulugalimagatolu,,FALSE,(10⋅1′){and}+5{and}+3,,
19,numerals-kove1237-2-nineteen-1,numerals-kove1237-2,Chan2019,nineteen,19,saŋaulu ɣa lima ɣa paŋe,sangaulugalimagapange,,FALSE,(10⋅1′){and}+5{and}+4,,
20,numerals-kove1237-2-twenty-1,numerals-kove1237-2,Chan2019,twenty,20,saŋahua,sangahua,,FALSE,10[⋅]2,,
21,numerals-kove1237-2-twentyone-1,numerals-kove1237-2,Chan2019,twentyone,21,saŋahua ɣa eze,sangahuagaeze,,FALSE,(10[⋅]2){and}+1,,
22,numerals-kove1237-2-twentytwo-1,numerals-kove1237-2,Chan2019,twentytwo,22,saŋahua ɣa hua,sangahuagahua,,FALSE,(10[⋅]2){and}+2,,
23,numerals-kove1237-2-twentythree-1,numerals-kove1237-2,Chan2019,twentythree,23,saŋahua ɣa tolu,sangahuagatolu,,FALSE,(10[⋅]2){and}+3,,
24,numerals-kove1237-2-twentyfour-1,numerals-kove1237-2,Chan2019,twentyfour,24,saŋahua ɣa paŋe,sangahuagapange,,FALSE,(10[⋅]2){and}+4,,
25,numerals-kove1237-2-twentyfive-1,numerals-kove1237-2,Chan2019,twentyfive,25,saŋahua ɣa lima,sangahuagalima,,FALSE,(10[⋅]2){and}+5,,
26,numerals-kove1237-2-twentysix-1,numerals-kove1237-2,Chan2019,twentysix,26,saŋahua ɣa lima ɣa eze,sangahuagalimagaeze,,FALSE,(10[⋅]2){and}+5{and}+1,,
27,numerals-kove1237-2-twentyseven-1,numerals-kove1237-2,Chan2019,twentyseven,27,saŋahua ɣa lima ɣa hua,sangahuagalimagahua,,FALSE,(10[⋅]2){and}+5{and}+2,,
28,numerals-kove1237-2-twentyeight-1,numerals-kove1237-2,Chan2019,twentyeight,28,saŋahua ɣa lima ɣa tolu,sangahuagalimagatolu,,FALSE,(10[⋅]2){and}+5{and}+3,,
29,numerals-kove1237-2-twentynine-1,numerals-kove1237-2,Chan2019,twentynine,29,saŋahua ɣa lima ɣa paŋe,sangahuagalimagapange,,FALSE,(10[⋅]2){and}+5{and}+4,,
30,numerals-kove1237-2-thirty-1,numerals-kove1237-2,Chan2019,thirty,30,saŋatolu,sangatolu,,FALSE,10[⋅]3,,
31,numerals-kove1237-2-forty-1,numerals-kove1237-2,Chan2019,forty,40,saŋapaŋe,sangapange,,FALSE,10[⋅]4,,
32,numerals-kove1237-2-fifty-1,numerals-kove1237-2,Chan2019,fifty,50,saŋalima,sangalima,,FALSE,10[⋅]5,,
33,numerals-kove1237-2-sixty-1,numerals-kove1237-2,Chan2019,sixty,60,saŋalima ɣa eze,sangalimagaeze,,FALSE,?,This form appears to be (10[⋅]5){and}1 = 51,(10[⋅]5)[+]([10][⋅]1)
34,numerals-kove1237-2-seventy-1,numerals-kove1237-2,Chan2019,seventy,70,saŋalima ɣa hua,sangalimagahua,,FALSE,?,This form appears to be (10[⋅]5){and}2 = 52,(10[⋅]5)[+]([10][⋅]2)
35,numerals-kove1237-2-eighty-1,numerals-kove1237-2,Chan2019,eighty,80,saŋalima ɣa tolu,sangalimagatolu,,FALSE,?,This form appears to be (10[⋅]5){and}3 = 53,(10[⋅]5)[+]([10][⋅]2)
36,numerals-kove1237-2-ninety-1,numerals-kove1237-2,Chan2019,ninety,90,saŋalima ɣa paŋe,sangalimagapange,,FALSE,?,This form appears to be (10[⋅]5){and}4 = 54,(10[⋅]5)[+](]10][⋅]4)
37,numerals-kove1237-2-hundred-1,numerals-kove1237-2,Chan2019,hundred,100,βuno,buno,,FALSE,100,,
38,numerals-kove1237-2-twohundred-1,numerals-kove1237-2,Chan2019,twohundred,200,βuno hua,bunohua,,FALSE,100[⋅]2,,
39,numerals-kove1237-2-thousand-1,numerals-kove1237-2,Chan2019,thousand,1000,βuno saŋaulu,bunosangaulu,,FALSE,100[⋅]10⋅1′,,
